supplier_node_id,supplier_name,supplier_country,esg_score,composite_outcome_risk,high_risk_label,predicted_risk_probability,top_risk_driver,cancellation_rate,late_shipment_rate,payment_overdue_rate,sanctions_ever
SUP0002,Rhodes PLC,Germany,87.8,0.28067069054808463,0,0.09073731,price_deviation_pct,0.07096774193548387,0.1267605633802817,0.07096774193548387,0.0
SUP0005,Cole LLC,Mexico,58.0,0.41460608750186523,0,0.08910499,avg_lead_time_days,0.04310344827586207,0.23943661971830985,0.08620689655172414,0.0
SUP0039,"Campos, Vaughn and Marquez",South Korea,62.6,0.12717328359152377,0,0.064681046,price_deviation_pct,0.054945054945054944,0.05555555555555555,0.054945054945054944,0.0
SUP0036,Dennis Inc,South Korea,60.1,0.32097297296160154,0,0.055510588,price_deviation_pct,0.06896551724137931,0.140625,0.08374384236453201,0.0
SUP0024,Campos Inc,Mexico,79.6,0.30928430051931455,0,0.053564277,price_deviation_pct,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0
SUP0018,Underwood LLC,Philippines,54.2,0.39084426961883856,0,0.052837092,price_deviation_pct,0.061224489795918366,0.17567567567567569,0.10204081632653061,0.0
SUP0027,"Valencia, Smith and Le",Vietnam,70.4,0.2122370940279109,0,0.039543524,price_deviation_pct,0.0,0.17204301075268819,0.06578947368421052,0.0
SUP0023,Robinson-Bright,Indonesia,70.0,0.3989213208822676,0,0.039543524,price_deviation_pct,0.02127659574468085,0.22535211267605634,0.10638297872340426,0.0
SUP0012,Stanley LLC,Japan,60.6,0.38346798973726587,0,0.030227682,price_deviation_pct,0.07272727272727272,0.2077922077922078,0.06666666666666667,0.0
SUP0004,"Johnson, Gonzalez and Santos",Mexico,76.5,0.38946897171034395,0,0.03021606,price_deviation_pct,0.06976744186046512,0.17721518987341772,0.09302325581395349,0.0
SUP0016,"Sanchez, Ford and Nelson",Mexico,67.6,0.3256979185844538,0,0.027907617,price_deviation_pct,0.03614457831325301,0.14893617021276595,0.10843373493975904,0.0
SUP0030,Stanton-Gill,Indonesia,60.5,0.30049337997509057,0,0.025100566,price_deviation_pct,0.06837606837606838,0.14864864864864866,0.06837606837606838,0.0
SUP0001,"Rodriguez, Figueroa and Sanchez",South Korea,74.7,0.4247018074470582,0,0.023865046,price_deviation_pct,0.1,0.17647058823529413,0.08571428571428572,0.0
