snapshot_id,warehouse_node_id,product_id,snapshot_date,stock_qty,reorder_point,safety_stock_x,warehouse_name,warehouse_country,product_name,category,unit_cost,inventory_value,is_below_reorder_point,reorder_point_model,safety_stock_y,model_type,reorder_point_placeholder,reorder_point_change
INVSNP0000011,WH0001,PRD0018,2025-08-01,573,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,184442.97,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000012,WH0001,PRD0018,2025-09-01,540,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,173820.6,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000013,WH0001,PRD0018,2025-10-01,577,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,185730.53,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000014,WH0001,PRD0018,2025-11-01,530,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,170601.69999999998,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000015,WH0001,PRD0018,2025-12-01,844,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,271675.16,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000016,WH0001,PRD0018,2026-01-01,406,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,130687.34,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000017,WH0001,PRD0018,2026-02-01,632,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,203434.48,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000018,WH0001,PRD0018,2026-03-01,605,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,194743.45,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000019,WH0001,PRD0018,2026-04-01,696,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,224035.44,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000020,WH0001,PRD0018,2026-05-01,669,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,215344.41,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000021,WH0001,PRD0018,2026-06-01,617,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,198606.13,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000022,WH0001,PRD0018,2026-07-01,688,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,221460.32,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000023,WH0001,PRD0018,2026-08-01,520,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,167382.8,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000024,WH0001,PRD0018,2026-09-01,595,150,60,Germany Warehouse 1,Germany,FURN-Almost-18,Furniture,321.89,191524.55,False,173.7,73.6,prophet,150,23.69999999999999
INVSNP0000025,WH0001,PRD0022,2024-10-01,599,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,67207.8,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000026,WH0001,PRD0022,2024-11-01,799,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,89647.8,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000027,WH0001,PRD0022,2024-12-01,610,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,68442.0,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000028,WH0001,PRD0022,2025-01-01,737,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,82691.40000000001,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000029,WH0001,PRD0022,2025-02-01,731,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,82018.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000030,WH0001,PRD0022,2025-03-01,729,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,81793.8,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000031,WH0001,PRD0022,2025-04-01,608,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,68217.6,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000032,WH0001,PRD0022,2025-05-01,550,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,61710.0,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000033,WH0001,PRD0022,2025-06-01,574,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,64402.8,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000034,WH0001,PRD0022,2025-07-01,698,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,78315.6,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000035,WH0001,PRD0022,2025-08-01,636,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,71359.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000036,WH0001,PRD0022,2025-09-01,686,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,76969.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000037,WH0001,PRD0022,2025-10-01,721,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,80896.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000038,WH0001,PRD0022,2025-11-01,521,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,58456.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000039,WH0001,PRD0022,2025-12-01,614,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,68890.8,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000040,WH0001,PRD0022,2026-01-01,686,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,76969.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000041,WH0001,PRD0022,2026-02-01,677,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,75959.40000000001,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000042,WH0001,PRD0022,2026-03-01,598,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,67095.6,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000043,WH0001,PRD0022,2026-04-01,680,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,76296.0,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000044,WH0001,PRD0022,2026-05-01,923,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,103560.6,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000045,WH0001,PRD0022,2026-06-01,720,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,80784.0,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000046,WH0001,PRD0022,2026-07-01,681,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,76408.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000047,WH0001,PRD0022,2026-08-01,791,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,88750.2,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000048,WH0001,PRD0022,2026-09-01,863,177,71,Germany Warehouse 1,Germany,AUTO-My-22,Automotive Parts,112.2,96828.6,False,247.7,52.7,prophet,177,70.69999999999999
INVSNP0000049,WH0001,PRD0141,2024-10-01,174,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,14327.16,False,157.1,39.8,prophet,63,94.1
INVSNP0000050,WH0001,PRD0141,2024-11-01,256,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,21079.04,False,157.1,39.8,prophet,63,94.1
INVSNP0000051,WH0001,PRD0141,2024-12-01,315,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,25937.1,False,157.1,39.8,prophet,63,94.1
INVSNP0000052,WH0001,PRD0141,2025-01-01,208,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,17126.72,False,157.1,39.8,prophet,63,94.1
INVSNP0000053,WH0001,PRD0141,2025-02-01,245,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,20173.3,False,157.1,39.8,prophet,63,94.1
INVSNP0000054,WH0001,PRD0141,2025-03-01,285,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,23466.9,False,157.1,39.8,prophet,63,94.1
INVSNP0000055,WH0001,PRD0141,2025-04-01,277,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,22808.18,False,157.1,39.8,prophet,63,94.1
INVSNP0000056,WH0001,PRD0141,2025-05-01,244,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,20090.96,False,157.1,39.8,prophet,63,94.1
INVSNP0000057,WH0001,PRD0141,2025-06-01,236,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,19432.24,False,157.1,39.8,prophet,63,94.1
INVSNP0000058,WH0001,PRD0141,2025-07-01,283,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,23302.22,False,157.1,39.8,prophet,63,94.1
INVSNP0000059,WH0001,PRD0141,2025-08-01,293,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,24125.620000000003,False,157.1,39.8,prophet,63,94.1
INVSNP0000060,WH0001,PRD0141,2025-09-01,272,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,22396.48,False,157.1,39.8,prophet,63,94.1
INVSNP0000061,WH0001,PRD0141,2025-10-01,317,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,26101.78,False,157.1,39.8,prophet,63,94.1
INVSNP0000062,WH0001,PRD0141,2025-11-01,210,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,17291.4,False,157.1,39.8,prophet,63,94.1
INVSNP0000063,WH0001,PRD0141,2025-12-01,301,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,24784.34,False,157.1,39.8,prophet,63,94.1
INVSNP0000064,WH0001,PRD0141,2026-01-01,276,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,22725.84,False,157.1,39.8,prophet,63,94.1
INVSNP0000065,WH0001,PRD0141,2026-02-01,296,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,24372.64,False,157.1,39.8,prophet,63,94.1
INVSNP0000066,WH0001,PRD0141,2026-03-01,245,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,20173.3,False,157.1,39.8,prophet,63,94.1
INVSNP0000067,WH0001,PRD0141,2026-04-01,245,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,20173.3,False,157.1,39.8,prophet,63,94.1
INVSNP0000068,WH0001,PRD0141,2026-05-01,257,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,21161.38,False,157.1,39.8,prophet,63,94.1
INVSNP0000069,WH0001,PRD0141,2026-06-01,302,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,24866.68,False,157.1,39.8,prophet,63,94.1
INVSNP0000070,WH0001,PRD0141,2026-07-01,225,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,18526.5,False,157.1,39.8,prophet,63,94.1
INVSNP0000071,WH0001,PRD0141,2026-08-01,226,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,18608.84,False,157.1,39.8,prophet,63,94.1
INVSNP0000072,WH0001,PRD0141,2026-09-01,302,63,25,Germany Warehouse 1,Germany,CHEM-Art-141,Chemicals,82.34,24866.68,False,157.1,39.8,prophet,63,94.1
INVSNP0000073,WH0001,PRD0063,2024-10-01,3349,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,183927.08,False,204.9,34.6,prophet,797,-592.1
INVSNP0000074,WH0001,PRD0063,2024-11-01,2905,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,159542.6,False,204.9,34.6,prophet,797,-592.1
INVSNP0000075,WH0001,PRD0063,2024-12-01,2964,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,162782.88,False,204.9,34.6,prophet,797,-592.1
INVSNP0000076,WH0001,PRD0063,2025-01-01,3430,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,188375.6,False,204.9,34.6,prophet,797,-592.1
INVSNP0000077,WH0001,PRD0063,2025-02-01,3156,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,173327.52000000002,False,204.9,34.6,prophet,797,-592.1
INVSNP0000078,WH0001,PRD0063,2025-03-01,3412,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,187387.04,False,204.9,34.6,prophet,797,-592.1
INVSNP0000079,WH0001,PRD0063,2025-04-01,3295,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,180961.4,False,204.9,34.6,prophet,797,-592.1
INVSNP0000080,WH0001,PRD0063,2025-05-01,3703,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,203368.76,False,204.9,34.6,prophet,797,-592.1
INVSNP0000081,WH0001,PRD0063,2025-06-01,3227,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,177226.84,False,204.9,34.6,prophet,797,-592.1
INVSNP0000082,WH0001,PRD0063,2025-07-01,3661,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,201062.12,False,204.9,34.6,prophet,797,-592.1
INVSNP0000083,WH0001,PRD0063,2025-08-01,3797,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,208531.24,False,204.9,34.6,prophet,797,-592.1
INVSNP0000084,WH0001,PRD0063,2025-09-01,3144,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,172668.48,False,204.9,34.6,prophet,797,-592.1
INVSNP0000085,WH0001,PRD0063,2025-10-01,2713,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,148997.96,False,204.9,34.6,prophet,797,-592.1
INVSNP0000086,WH0001,PRD0063,2025-11-01,3202,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,175853.84,False,204.9,34.6,prophet,797,-592.1
INVSNP0000087,WH0001,PRD0063,2025-12-01,3041,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,167011.72,False,204.9,34.6,prophet,797,-592.1
INVSNP0000088,WH0001,PRD0063,2026-01-01,3200,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,175744.0,False,204.9,34.6,prophet,797,-592.1
INVSNP0000089,WH0001,PRD0063,2026-02-01,3686,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,202435.12,False,204.9,34.6,prophet,797,-592.1
INVSNP0000090,WH0001,PRD0063,2026-03-01,3584,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,196833.28,False,204.9,34.6,prophet,797,-592.1
INVSNP0000091,WH0001,PRD0063,2026-04-01,2708,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,148723.36000000002,False,204.9,34.6,prophet,797,-592.1
INVSNP0000092,WH0001,PRD0063,2026-05-01,2674,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,146856.08000000002,False,204.9,34.6,prophet,797,-592.1
INVSNP0000093,WH0001,PRD0063,2026-06-01,3348,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,183872.16,False,204.9,34.6,prophet,797,-592.1
INVSNP0000094,WH0001,PRD0063,2026-07-01,3333,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,183048.36,False,204.9,34.6,prophet,797,-592.1
INVSNP0000095,WH0001,PRD0063,2026-08-01,2803,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,153940.76,False,204.9,34.6,prophet,797,-592.1
INVSNP0000096,WH0001,PRD0063,2026-09-01,3609,797,318,Germany Warehouse 1,Germany,AUTO-Boy-63,Automotive Parts,54.92,198206.28,False,204.9,34.6,prophet,797,-592.1
INVSNP0000097,WH0001,PRD0113,2024-10-01,843,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,1977205.92,False,202.5,47.2,prophet,321,-118.5
INVSNP0000098,WH0001,PRD0113,2024-11-01,1838,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,4310918.72,False,202.5,47.2,prophet,321,-118.5
INVSNP0000099,WH0001,PRD0113,2024-12-01,1513,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3548650.72,False,202.5,47.2,prophet,321,-118.5
INVSNP0000100,WH0001,PRD0113,2025-01-01,1132,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2655038.08,False,202.5,47.2,prophet,321,-118.5
INVSNP0000101,WH0001,PRD0113,2025-02-01,1057,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2479130.08,False,202.5,47.2,prophet,321,-118.5
INVSNP0000102,WH0001,PRD0113,2025-03-01,1381,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3239052.64,False,202.5,47.2,prophet,321,-118.5
INVSNP0000103,WH0001,PRD0113,2025-04-01,1445,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3389160.8000000003,False,202.5,47.2,prophet,321,-118.5
INVSNP0000104,WH0001,PRD0113,2025-05-01,1359,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3187452.96,False,202.5,47.2,prophet,321,-118.5
INVSNP0000105,WH0001,PRD0113,2025-06-01,1530,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3588523.2,False,202.5,47.2,prophet,321,-118.5
INVSNP0000106,WH0001,PRD0113,2025-07-01,1390,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3260161.6,False,202.5,47.2,prophet,321,-118.5
INVSNP0000107,WH0001,PRD0113,2025-08-01,1188,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2786382.72,False,202.5,47.2,prophet,321,-118.5
INVSNP0000108,WH0001,PRD0113,2025-09-01,1620,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3799612.8,False,202.5,47.2,prophet,321,-118.5
INVSNP0000109,WH0001,PRD0113,2025-10-01,1249,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2929454.56,False,202.5,47.2,prophet,321,-118.5
INVSNP0000110,WH0001,PRD0113,2025-11-01,1099,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2577638.56,False,202.5,47.2,prophet,321,-118.5
INVSNP0000111,WH0001,PRD0113,2025-12-01,1384,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3246088.96,False,202.5,47.2,prophet,321,-118.5
INVSNP0000112,WH0001,PRD0113,2026-01-01,1375,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3224980.0,False,202.5,47.2,prophet,321,-118.5
INVSNP0000113,WH0001,PRD0113,2026-02-01,1517,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3558032.48,False,202.5,47.2,prophet,321,-118.5
INVSNP0000114,WH0001,PRD0113,2026-03-01,1278,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2997472.3200000003,False,202.5,47.2,prophet,321,-118.5
INVSNP0000115,WH0001,PRD0113,2026-04-01,1545,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3623704.8,False,202.5,47.2,prophet,321,-118.5
INVSNP0000116,WH0001,PRD0113,2026-05-01,1323,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3103017.12,False,202.5,47.2,prophet,321,-118.5
INVSNP0000117,WH0001,PRD0113,2026-06-01,1276,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2992781.44,False,202.5,47.2,prophet,321,-118.5
INVSNP0000118,WH0001,PRD0113,2026-07-01,1713,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,4017738.72,False,202.5,47.2,prophet,321,-118.5
INVSNP0000119,WH0001,PRD0113,2026-08-01,1342,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,3147580.48,False,202.5,47.2,prophet,321,-118.5
INVSNP0000120,WH0001,PRD0113,2026-09-01,1000,321,128,Germany Warehouse 1,Germany,MACH-Land-113,Machinery,2345.44,2345440.0,False,202.5,47.2,prophet,321,-118.5
INVSNP0000121,WH0001,PRD0036,2024-10-01,4742,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,103944.64,False,109.6,44.2,prophet,959,-849.4
INVSNP0000122,WH0001,PRD0036,2024-11-01,3273,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,71744.16,False,109.6,44.2,prophet,959,-849.4
INVSNP0000123,WH0001,PRD0036,2024-12-01,3138,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,68784.96,False,109.6,44.2,prophet,959,-849.4
INVSNP0000124,WH0001,PRD0036,2025-01-01,3559,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,78013.28,False,109.6,44.2,prophet,959,-849.4
INVSNP0000125,WH0001,PRD0036,2025-02-01,3209,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,70341.28,False,109.6,44.2,prophet,959,-849.4
INVSNP0000126,WH0001,PRD0036,2025-03-01,3199,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,70122.08,False,109.6,44.2,prophet,959,-849.4
INVSNP0000127,WH0001,PRD0036,2025-04-01,2947,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,64598.240000000005,False,109.6,44.2,prophet,959,-849.4
INVSNP0000128,WH0001,PRD0036,2025-05-01,4172,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,91450.24,False,109.6,44.2,prophet,959,-849.4
INVSNP0000129,WH0001,PRD0036,2025-06-01,4245,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,93050.4,False,109.6,44.2,prophet,959,-849.4
INVSNP0000130,WH0001,PRD0036,2025-07-01,4398,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,96404.16,False,109.6,44.2,prophet,959,-849.4
INVSNP0000131,WH0001,PRD0036,2025-08-01,4850,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,106312.0,False,109.6,44.2,prophet,959,-849.4
INVSNP0000132,WH0001,PRD0036,2025-09-01,3727,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,81695.84000000001,False,109.6,44.2,prophet,959,-849.4
INVSNP0000133,WH0001,PRD0036,2025-10-01,3821,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,83756.32,False,109.6,44.2,prophet,959,-849.4
INVSNP0000134,WH0001,PRD0036,2025-11-01,4060,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,88995.20000000001,False,109.6,44.2,prophet,959,-849.4
INVSNP0000135,WH0001,PRD0036,2025-12-01,2950,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,64664.00000000001,False,109.6,44.2,prophet,959,-849.4
INVSNP0000136,WH0001,PRD0036,2026-01-01,4650,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,101928.0,False,109.6,44.2,prophet,959,-849.4
INVSNP0000137,WH0001,PRD0036,2026-02-01,3708,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,81279.36,False,109.6,44.2,prophet,959,-849.4
INVSNP0000138,WH0001,PRD0036,2026-03-01,4095,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,89762.40000000001,False,109.6,44.2,prophet,959,-849.4
INVSNP0000139,WH0001,PRD0036,2026-04-01,3426,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,75097.92000000001,False,109.6,44.2,prophet,959,-849.4
INVSNP0000140,WH0001,PRD0036,2026-05-01,3025,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,66308.0,False,109.6,44.2,prophet,959,-849.4
INVSNP0000141,WH0001,PRD0036,2026-06-01,4171,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,91428.32,False,109.6,44.2,prophet,959,-849.4
INVSNP0000142,WH0001,PRD0036,2026-07-01,4053,959,383,Germany Warehouse 1,Germany,ELEC-Eight-36,Electronics,21.92,88841.76000000001,False,109.6,44.2,prophet,959,-849.4
