shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity,leg
SHP000067,SUP0002,WH0001,PRD0150,road,2025-02-17,2025-02-18,1,1,277.48,69,supplier_to_warehouse
SHP000068,SUP0010,WH0009,PRD0103,air,2024-09-27,2024-09-28,2,1,28662.65,210,supplier_to_warehouse
SHP000069,SUP0020,WH0005,PRD0093,rail,2025-04-21,2025-04-24,4,3,9511.14,539,supplier_to_warehouse
SHP000070,SUP0021,WH0005,PRD0057,ocean,2025-03-17,2025-03-26,8,9,2803.65,195,supplier_to_warehouse
SHP000071,SUP0008,WH0005,PRD0036,rail,2025-02-04,2025-02-07,3,3,2518.1,161,supplier_to_warehouse
SHP000072,SUP0019,WH0007,PRD0131,road,2026-07-20,2026-07-21,1,1,2150.41,542,supplier_to_warehouse
SHP000073,SUP0002,WH0001,PRD0127,rail,2026-06-02,2026-06-03,1,1,475.88,213,supplier_to_warehouse
SHP000074,SUP0012,WH0010,PRD0024,ocean,2025-04-20,2025-05-11,22,21,10865.96,212,supplier_to_warehouse
SHP000075,SUP0019,WH0001,PRD0013,rail,2025-12-23,2025-12-24,1,1,456.37,455,supplier_to_warehouse
SHP000076,SUP0025,WH0009,PRD0029,ocean,2025-06-18,2025-07-10,19,22,6402.08,146,supplier_to_warehouse
SHP000077,SUP0023,WH0007,PRD0040,ocean,2026-06-29,2026-07-28,27,29,8181.05,124,supplier_to_warehouse
SHP000078,SUP0017,WH0004,PRD0041,ocean,2025-08-03,2025-08-19,15,16,2570.37,81,supplier_to_warehouse
SHP000079,SUP0028,WH0005,PRD0109,rail,2025-03-15,2025-03-22,8,7,14193.43,291,supplier_to_warehouse
SHP000080,SUP0039,WH0006,PRD0017,ocean,2025-03-02,2025-03-29,27,27,30758.77,478,supplier_to_warehouse
SHP000081,SUP0030,WH0005,PRD0099,ocean,2025-10-16,2025-11-03,18,18,7397.52,176,supplier_to_warehouse
SHP000082,SUP0036,WH0005,PRD0098,ocean,2025-03-13,2025-04-02,18,20,4898.4,116,supplier_to_warehouse
SHP000083,SUP0012,WH0006,PRD0120,ocean,2025-11-02,2025-11-29,25,27,17540.13,295,supplier_to_warehouse
SHP000084,SUP0022,WH0008,PRD0136,air,2026-06-17,2026-06-20,3,3,74393.32,304,supplier_to_warehouse
SHP000085,SUP0016,WH0005,PRD0065,ocean,2025-06-20,2025-07-26,35,36,14010.66,162,supplier_to_warehouse
SHP000086,SUP0016,WH0004,PRD0142,ocean,2025-02-10,2025-03-13,35,31,7532.57,86,supplier_to_warehouse
SHP000087,SUP0028,WH0004,PRD0003,rail,2026-08-29,2026-09-08,9,10,6363.97,126,supplier_to_warehouse
SHP000088,SUP0014,WH0008,PRD0030,ocean,2025-09-08,2025-10-02,26,24,10959.67,173,supplier_to_warehouse
SHP000089,SUP0001,WH0006,PRD0138,ocean,2024-11-09,2024-12-05,26,26,31642.47,502,supplier_to_warehouse
SHP000090,SUP0027,WH0010,PRD0069,air,2024-10-08,2024-10-12,4,4,33861.67,84,supplier_to_warehouse
SHP000091,SUP0016,WH0009,PRD0088,ocean,2024-11-22,2024-12-14,24,22,12757.15,219,supplier_to_warehouse
SHP000092,SUP0030,WH0007,PRD0029,air,2025-12-03,2025-12-08,5,5,64035.22,128,supplier_to_warehouse
SHP000093,SUP0009,WH0004,PRD0076,ocean,2026-04-02,2026-05-01,31,29,65417.39,867,supplier_to_warehouse
SHP000094,SUP0023,WH0004,PRD0112,ocean,2025-07-07,2025-07-27,18,20,19634.63,485,supplier_to_warehouse
SHP000095,SUP0032,WH0010,PRD0041,ocean,2024-10-20,2024-11-12,22,23,7242.14,138,supplier_to_warehouse
SHP000096,SUP0025,WH0007,PRD0117,ocean,2025-06-08,2025-06-26,19,18,16716.16,379,supplier_to_warehouse
SHP000097,SUP0001,WH0007,PRD0001,air,2026-08-28,2026-08-31,4,3,37866.19,97,supplier_to_warehouse
SHP000098,SUP0004,WH0010,PRD0068,ocean,2025-09-23,2025-10-17,25,24,13427.4,225,supplier_to_warehouse
SHP000099,SUP0004,WH0009,PRD0129,ocean,2026-08-10,2026-09-03,24,24,12371.16,216,supplier_to_warehouse
SHP000100,SUP0007,WH0010,PRD0046,ocean,2026-05-21,2026-06-11,21,21,14588.02,301,supplier_to_warehouse
SHP000101,SUP0036,WH0001,PRD0130,ocean,2024-09-12,2024-10-01,22,19,24488.46,474,supplier_to_warehouse
SHP000102,SUP0016,WH0005,PRD0028,ocean,2026-02-09,2026-03-15,35,34,14097.15,163,supplier_to_warehouse
SHP000103,SUP0007,WH0001,PRD0077,ocean,2026-01-11,2026-01-30,22,19,19806.89,388,supplier_to_warehouse
SHP000104,SUP0009,WH0006,PRD0130,road,2025-09-28,2025-09-29,1,1,1454.82,568,supplier_to_warehouse
SHP000105,SUP0022,WH0004,PRD0051,ocean,2025-03-16,2025-03-19,7,3,676.1,69,supplier_to_warehouse
SHP000106,SUP0027,WH0004,PRD0040,rail,2025-12-13,2025-12-21,10,8,5936.71,102,supplier_to_warehouse
SHP000107,SUP0037,WH0006,PRD0096,rail,2024-11-23,2024-11-25,1,2,693.19,230,supplier_to_warehouse
SHP000108,SUP0035,WH0006,PRD0042,air,2025-07-16,2025-07-20,4,4,131177.28,395,supplier_to_warehouse
SHP000109,SUP0034,WH0001,PRD0139,air,2025-07-30,2025-08-01,3,2,41330.03,142,supplier_to_warehouse
SHP000110,SUP0018,WH0001,PRD0136,air,2026-07-28,2026-08-01,5,4,67679.67,149,supplier_to_warehouse
SHP000111,SUP0026,WH0002,PRD0001,ocean,2026-06-01,2026-06-20,21,19,10184.91,205,supplier_to_warehouse
SHP000112,SUP0026,WH0009,PRD0083,rail,2025-03-14,2025-03-19,5,5,2634.74,88,supplier_to_warehouse
SHP000113,SUP0002,WH0009,PRD0126,road,2025-09-02,2025-09-03,1,1,587.69,241,supplier_to_warehouse
SHP000114,SUP0019,WH0002,PRD0005,ocean,2025-01-11,2025-02-07,25,27,30907.15,511,supplier_to_warehouse
SHP000115,SUP0039,WH0010,PRD0029,ocean,2026-06-28,2026-07-19,21,21,46528.93,946,supplier_to_warehouse
SHP000116,SUP0028,WH0009,PRD0093,road,2026-05-28,2026-05-29,1,1,234.3,70,supplier_to_warehouse
SHP000117,SUP0040,WH0001,PRD0079,ocean,2025-04-08,2025-04-15,8,7,3734.62,271,supplier_to_warehouse
SHP000118,SUP0018,WH0010,PRD0062,air,2025-12-11,2025-12-14,4,3,54981.27,127,supplier_to_warehouse
SHP000119,SUP0001,WH0004,PRD0015,ocean,2025-11-20,2025-12-09,19,19,5444.2,125,supplier_to_warehouse
SHP000120,SUP0017,WH0001,PRD0062,rail,2024-12-23,2024-12-31,8,8,4124.53,85,supplier_to_warehouse
SHP000121,SUP0032,WH0006,PRD0146,air,2026-03-11,2026-03-17,6,6,147715.56,238,supplier_to_warehouse
SHP000122,SUP0003,WH0002,PRD0021,road,2025-09-30,2025-10-01,1,1,4669.79,200,supplier_to_warehouse
SHP000123,SUP0032,WH0007,PRD0022,ocean,2026-03-23,2026-04-18,24,26,17878.52,319,supplier_to_warehouse
SHP000124,SUP0039,WH0008,PRD0125,road,2025-09-24,2025-09-25,1,1,168.1,136,supplier_to_warehouse
SHP000125,SUP0005,WH0010,PRD0018,ocean,2024-09-04,2024-10-02,25,28,12825.52,218,supplier_to_warehouse
SHP000126,SUP0011,WH0001,PRD0137,ocean,2025-04-27,2025-05-23,27,26,10881.68,168,supplier_to_warehouse
SHP000127,SUP0013,WH0010,PRD0033,rail,2024-09-18,2024-09-20,2,2,1726.42,281,supplier_to_warehouse
SHP000128,SUP0014,WH0010,PRD0033,air,2026-07-10,2026-07-14,4,4,45156.0,122,supplier_to_warehouse
SHP000129,SUP0013,WH0007,PRD0122,road,2026-06-03,2026-06-04,1,1,374.75,73,supplier_to_warehouse
SHP000130,SUP0008,WH0007,PRD0141,ocean,2026-04-30,2026-05-14,15,14,5372.4,166,supplier_to_warehouse
SHP000131,SUP0039,WH0005,PRD0043,ocean,2025-04-15,2025-05-02,18,17,11070.3,263,supplier_to_warehouse
SHP000132,SUP0027,WH0004,PRD0068,rail,2024-10-16,2024-10-24,10,8,11757.01,202,supplier_to_warehouse
SHP000133,SUP0022,WH0009,PRD0136,ocean,2026-06-03,2026-06-16,14,13,5743.61,188,supplier_to_warehouse
SHP000134,SUP0027,WH0006,PRD0109,ocean,2026-07-23,2026-08-26,33,34,25367.03,308,supplier_to_warehouse
SHP000135,SUP0009,WH0006,PRD0055,rail,2024-11-05,2024-11-06,1,1,136.6,96,supplier_to_warehouse
SHP000136,SUP0014,WH0007,PRD0139,ocean,2025-08-22,2025-09-11,20,20,12894.89,278,supplier_to_warehouse
SHP000137,SUP0025,WH0005,PRD0052,ocean,2024-10-24,2024-11-05,11,12,3355.34,156,supplier_to_warehouse
SHP000138,SUP0039,WH0003,PRD0080,ocean,2026-03-10,2026-04-02,23,23,3345.93,62,supplier_to_warehouse
SHP000139,SUP0001,WH0009,PRD0103,ocean,2026-03-13,2026-04-03,22,21,2309.83,44,supplier_to_warehouse
SHP000140,SUP0019,WH0004,PRD0096,ocean,2024-12-06,2024-12-19,14,13,4129.71,139,supplier_to_warehouse
SHP000141,SUP0031,WH0010,PRD0113,air,2025-08-15,2025-08-19,4,4,253274.09,570,supplier_to_warehouse
SHP000142,SUP0010,WH0001,PRD0133,ocean,2025-10-08,2025-10-20,10,12,2554.4,142,supplier_to_warehouse
SHP000143,SUP0010,WH0003,PRD0116,ocean,2025-03-15,2025-03-25,10,10,3340.78,165,supplier_to_warehouse
SHP000144,SUP0005,WH0008,PRD0031,ocean,2026-05-30,2026-06-26,28,27,11237.64,163,supplier_to_warehouse
SHP000145,SUP0038,WH0010,PRD0064,ocean,2025-07-08,2025-08-01,23,24,8161.67,148,supplier_to_warehouse
SHP000146,SUP0017,WH0005,PRD0058,ocean,2025-02-04,2025-02-18,15,14,5731.54,181,supplier_to_warehouse
SHP000147,SUP0031,WH0010,PRD0017,ocean,2025-09-30,2025-10-24,25,24,6753.98,114,supplier_to_warehouse
SHP000148,SUP0016,WH0010,PRD0087,air,2026-02-15,2026-02-20,5,5,45408.46,100,supplier_to_warehouse
SHP000149,SUP0010,WH0007,PRD0006,ocean,2025-01-28,2025-02-07,10,10,2023.68,105,supplier_to_warehouse
SHP000150,SUP0022,WH0005,PRD0142,ocean,2025-04-18,2025-04-23,6,5,3051.99,327,supplier_to_warehouse
SHP000151,SUP0007,WH0004,PRD0059,ocean,2026-08-27,2026-09-15,18,19,2948.11,70,supplier_to_warehouse
SHP000152,SUP0034,WH0009,PRD0057,ocean,2025-12-19,2026-01-06,17,18,4091.2,104,supplier_to_warehouse
SHP000153,SUP0024,WH0006,PRD0002,air,2025-07-19,2025-07-20,2,1,28799.3,347,supplier_to_warehouse
SHP000154,SUP0006,WH0005,PRD0019,ocean,2025-09-14,2025-09-28,14,14,2843.34,96,supplier_to_warehouse
SHP000155,SUP0023,WH0006,PRD0016,ocean,2024-11-30,2025-01-03,36,34,18167.2,203,supplier_to_warehouse
SHP000156,SUP0001,WH0003,PRD0059,ocean,2025-02-14,2025-03-08,23,22,12225.56,226,supplier_to_warehouse
SHP000157,SUP0015,WH0004,PRD0018,rail,2025-05-07,2025-05-11,5,4,8061.57,342,supplier_to_warehouse
SHP000158,SUP0006,WH0008,PRD0009,rail,2025-11-05,2025-11-08,4,3,8595.73,420,supplier_to_warehouse
SHP000159,SUP0039,WH0005,PRD0085,ocean,2025-02-18,2025-03-06,18,16,6398.04,152,supplier_to_warehouse
SHP000160,SUP0008,WH0001,PRD0019,ocean,2025-02-10,2025-02-23,15,13,2918.43,93,supplier_to_warehouse
SHP000161,SUP0030,WH0010,PRD0132,ocean,2024-10-25,2024-11-17,26,23,24416.45,387,supplier_to_warehouse
SHP000162,SUP0017,WH0008,PRD0061,ocean,2025-12-06,2026-01-05,30,30,6958.7,96,supplier_to_warehouse
SHP000163,SUP0017,WH0004,PRD0072,rail,2025-02-17,2025-02-23,9,6,7192.8,136,supplier_to_warehouse
SHP000164,SUP0026,WH0006,PRD0125,ocean,2026-06-23,2026-07-22,27,29,9809.43,151,supplier_to_warehouse
SHP000165,SUP0037,WH0005,PRD0055,ocean,2026-05-21,2026-06-20,30,30,37733.1,514,supplier_to_warehouse
SHP000166,SUP0013,WH0010,PRD0139,rail,2024-10-25,2024-10-26,2,1,620.53,101,supplier_to_warehouse
SHP000167,SUP0016,WH0007,PRD0034,ocean,2025-02-23,2025-03-17,24,22,14455.42,252,supplier_to_warehouse
SHP000168,SUP0033,WH0009,PRD0147,ocean,2026-01-02,2026-01-21,19,19,6941.4,160,supplier_to_warehouse
SHP000169,SUP0021,WH0007,PRD0148,air,2025-02-06,2025-02-09,3,3,44250.35,148,supplier_to_warehouse
SHP000170,SUP0026,WH0009,PRD0122,rail,2024-12-09,2024-12-14,5,5,2305.4,77,supplier_to_warehouse
SHP000171,SUP0029,WH0001,PRD0063,road,2026-07-15,2026-07-16,1,1,631.05,69,supplier_to_warehouse
SHP000172,SUP0021,WH0006,PRD0122,ocean,2025-10-23,2025-11-24,32,32,58881.83,737,supplier_to_warehouse
SHP000173,SUP0029,WH0010,PRD0105,road,2025-08-13,2025-08-14,1,1,124.2,138,supplier_to_warehouse
SHP000174,SUP0040,WH0010,PRD0049,rail,2026-03-27,2026-03-29,4,2,2385.71,122,supplier_to_warehouse
SHP000175,SUP0024,WH0007,PRD0025,ocean,2026-04-13,2026-05-05,24,22,3192.7,56,supplier_to_warehouse
SHP000176,SUP0033,WH0010,PRD0025,ocean,2025-01-20,2025-02-07,18,18,16760.65,419,supplier_to_warehouse
SHP000177,SUP0022,WH0003,PRD0111,rail,2024-11-13,2024-11-22,9,9,7135.87,129,supplier_to_warehouse
SHP000178,SUP0007,WH0008,PRD0091,road,2025-07-13,2025-07-14,1,1,286.71,208,supplier_to_warehouse
SHP000179,SUP0014,WH0005,PRD0109,air,2025-07-08,2025-07-13,5,5,107899.76,192,supplier_to_warehouse
SHP000180,SUP0027,WH0007,PRD0106,air,2025-08-09,2025-08-13,4,4,43823.7,102,supplier_to_warehouse
SHP000181,SUP0020,WH0009,PRD0120,ocean,2026-02-15,2026-03-03,15,16,4904.05,147,supplier_to_warehouse
SHP000182,SUP0029,WH0008,PRD0014,ocean,2026-01-05,2026-01-27,21,22,10197.28,210,supplier_to_warehouse
SHP000183,SUP0019,WH0004,PRD0026,rail,2026-08-19,2026-08-26,8,7,4208.94,85,supplier_to_warehouse
SHP000184,SUP0037,WH0010,PRD0016,ocean,2024-11-14,2024-12-05,21,21,14545.49,304,supplier_to_warehouse
SHP000185,SUP0007,WH0007,PRD0104,ocean,2025-06-23,2025-07-15,22,22,10277.48,201,supplier_to_warehouse
SHP000186,SUP0018,WH0005,PRD0087,air,2025-05-08,2025-05-10,3,2,25020.35,79,supplier_to_warehouse
SHP000187,SUP0032,WH0002,PRD0028,road,2026-05-22,2026-05-23,1,1,2308.89,103,supplier_to_warehouse
SHP000188,SUP0027,WH0004,PRD0064,air,2025-03-03,2025-03-06,3,3,28810.49,110,supplier_to_warehouse
SHP000189,SUP0017,WH0008,PRD0050,air,2025-01-20,2025-01-24,5,4,231594.24,426,supplier_to_warehouse
SHP000190,SUP0018,WH0010,PRD0049,ocean,2025-07-26,2025-08-21,24,26,6234.1,108,supplier_to_warehouse
SHP000191,SUP0034,WH0008,PRD0138,ocean,2025-07-07,2025-07-20,14,13,15504.66,520,supplier_to_warehouse
SHP000192,SUP0014,WH0004,PRD0115,air,2025-03-25,2025-03-29,5,4,43916.77,77,supplier_to_warehouse
SHP000193,SUP0038,WH0002,PRD0036,ocean,2025-03-04,2025-03-29,24,25,6817.22,121,supplier_to_warehouse
SHP000194,SUP0005,WH0004,PRD0109,air,2026-07-06,2026-07-11,6,5,169214.88,263,supplier_to_warehouse
SHP000195,SUP0035,WH0009,PRD0047,ocean,2025-07-22,2025-08-13,23,22,8602.39,155,supplier_to_warehouse
SHP000196,SUP0021,WH0009,PRD0072,ocean,2026-05-22,2026-06-09,17,18,6504.35,165,supplier_to_warehouse
SHP000197,SUP0004,WH0005,PRD0119,ocean,2025-10-08,2025-11-10,34,33,13291.46,155,supplier_to_warehouse
SHP000198,SUP0018,WH0009,PRD0064,ocean,2024-10-10,2024-11-06,25,27,9167.04,150,supplier_to_warehouse
SHP000199,SUP0007,WH0002,PRD0020,ocean,2026-08-30,2026-09-14,13,15,7283.26,275,supplier_to_warehouse
SHP000200,SUP0010,WH0008,PRD0114,ocean,2026-05-03,2026-05-23,23,20,13021.74,242,supplier_to_warehouse
SHP000201,SUP0014,WH0002,PRD0141,ocean,2026-08-08,2026-09-10,36,33,11794.54,132,supplier_to_warehouse
SHP000202,SUP0021,WH0007,PRD0026,air,2026-07-08,2026-07-10,3,2,78036.08,261,supplier_to_warehouse
SHP000203,SUP0011,WH0004,PRD0013,ocean,2026-05-13,2026-05-30,18,17,16370.71,406,supplier_to_warehouse
SHP000204,SUP0016,WH0008,PRD0139,ocean,2025-01-02,2025-01-29,29,27,15985.1,227,supplier_to_warehouse
SHP000205,SUP0007,WH0004,PRD0004,ocean,2025-08-22,2025-09-10,18,19,3200.8,76,supplier_to_warehouse
SHP000206,SUP0027,WH0005,PRD0024,ocean,2025-02-06,2025-02-23,16,17,2220.25,63,supplier_to_warehouse
SHP000207,SUP0003,WH0007,PRD0061,air,2025-06-22,2025-06-25,4,3,39784.0,92,supplier_to_warehouse
SHP000208,SUP0002,WH0007,PRD0043,road,2024-10-16,2024-10-17,1,1,613.6,128,supplier_to_warehouse
SHP000209,SUP0032,WH0003,PRD0105,ocean,2025-06-06,2025-06-28,24,22,12839.33,220,supplier_to_warehouse
SHP000210,SUP0017,WH0008,PRD0125,ocean,2026-08-20,2026-09-19,30,30,13337.51,184,supplier_to_warehouse
SHP000211,SUP0017,WH0005,PRD0124,ocean,2025-03-15,2025-03-31,15,16,1614.96,51,supplier_to_warehouse
SHP000212,SUP0019,WH0007,PRD0055,road,2026-03-27,2026-03-28,1,1,2015.51,508,supplier_to_warehouse
SHP000213,SUP0013,WH0010,PRD0103,road,2025-07-31,2025-08-01,1,1,1957.42,177,supplier_to_warehouse
SHP000214,SUP0027,WH0005,PRD0016,air,2025-07-08,2025-07-10,3,2,67664.68,256,supplier_to_warehouse
SHP000215,SUP0001,WH0005,PRD0043,air,2026-07-31,2026-08-04,4,4,181068.74,558,supplier_to_warehouse
SHP000216,SUP0033,WH0010,PRD0098,air,2026-08-27,2026-08-29,3,2,29401.14,98,supplier_to_warehouse
SHP000217,SUP0001,WH0004,PRD0001,air,2025-10-12,2025-10-16,4,4,38871.58,119,supplier_to_warehouse
SHP000218,SUP0011,WH0006,PRD0100,ocean,2026-02-07,2026-03-16,36,37,35364.04,398,supplier_to_warehouse
SHP000219,SUP0012,WH0005,PRD0068,ocean,2024-12-25,2025-01-14,20,20,3699.28,78,supplier_to_warehouse
SHP000220,SUP0026,WH0004,PRD0117,ocean,2025-04-07,2025-04-15,9,8,4042.3,266,supplier_to_warehouse
SHP000221,SUP0029,WH0010,PRD0074,road,2026-08-08,2026-08-09,1,1,272.7,303,supplier_to_warehouse
SHP000222,SUP0025,WH0009,PRD0109,air,2025-10-29,2025-11-01,4,3,37162.77,113,supplier_to_warehouse
