po_id,supplier_node_id,product_id,order_date,quantity,unit_price,currency,total_value,status
PO000031,SUP0016,PRD0147,2024-11-15,500,1327.25,USD,663625.0,fulfilled
PO000032,SUP0017,PRD0132,2025-06-29,234,1298.66,USD,303886.44,fulfilled
PO000033,SUP0017,PRD0046,2025-04-11,544,2.73,USD,1485.12,fulfilled
PO000034,SUP0039,PRD0135,2024-10-22,157,38.96,USD,6116.72,fulfilled
PO000035,SUP0012,PRD0141,2025-08-03,415,111.37,USD,46218.55,fulfilled
PO000036,SUP0021,PRD0139,2024-10-23,222,20.91,USD,4642.02,fulfilled
PO000037,SUP0020,PRD0068,2024-11-04,100,5280.8,USD,528080.0,fulfilled
PO000038,SUP0022,PRD0091,2025-06-23,403,1976.87,USD,796678.61,fulfilled
PO000039,SUP0001,PRD0122,2026-07-01,494,46.88,USD,23158.72,fulfilled
PO000040,SUP0028,PRD0143,2025-03-31,33,4.12,USD,135.96,fulfilled
PO000041,SUP0002,PRD0122,2025-06-18,820,583.56,USD,478519.2,fulfilled
PO000042,SUP0008,PRD0062,2026-05-11,408,627.55,USD,256040.4,fulfilled
PO000043,SUP0005,PRD0007,2026-03-03,207,10.3,USD,2132.1,fulfilled
PO000044,SUP0029,PRD0141,2025-11-23,150,176.38,USD,26457.0,fulfilled
PO000045,SUP0017,PRD0075,2024-09-22,35,16.16,USD,565.6,fulfilled
PO000046,SUP0025,PRD0147,2025-09-04,47,2737.0,USD,128639.0,fulfilled
PO000047,SUP0015,PRD0081,2026-03-17,478,33.68,USD,16099.04,open
PO000048,SUP0002,PRD0124,2025-12-15,67,3322.58,USD,222612.86,fulfilled
PO000049,SUP0019,PRD0038,2024-09-29,190,2.31,USD,438.9,fulfilled
PO000050,SUP0034,PRD0012,2024-10-14,1023,3.1,USD,3171.3,fulfilled
PO000051,SUP0017,PRD0111,2025-02-21,71,680.84,USD,48339.64,fulfilled
PO000052,SUP0018,PRD0054,2026-08-20,1182,9.08,USD,10732.56,fulfilled
PO000053,SUP0010,PRD0114,2025-03-22,490,761.27,USD,373022.3,fulfilled
PO000054,SUP0037,PRD0085,2025-11-09,298,772.51,USD,230207.98,fulfilled
PO000055,SUP0037,PRD0074,2025-11-18,287,2.46,USD,706.02,fulfilled
PO000056,SUP0037,PRD0044,2025-06-03,236,2.33,USD,549.88,fulfilled
PO000057,SUP0020,PRD0065,2025-05-31,310,6009.21,USD,1862855.1,open
PO000058,SUP0040,PRD0075,2025-12-25,355,2.48,USD,880.4,fulfilled
PO000059,SUP0004,PRD0064,2025-09-05,447,560.39,USD,250494.33,cancelled
PO000060,SUP0020,PRD0091,2025-07-16,201,80.96,USD,16272.96,fulfilled
PO000061,SUP0036,PRD0066,2025-05-27,430,2.41,USD,1036.3,fulfilled
PO000062,SUP0010,PRD0133,2026-05-11,338,1210.02,USD,408986.76,fulfilled
PO000063,SUP0010,PRD0031,2024-09-16,467,521.24,USD,243419.08,fulfilled
PO000064,SUP0001,PRD0018,2025-12-09,195,238.43,USD,46493.85,fulfilled
PO000065,SUP0006,PRD0064,2025-12-25,421,514.57,USD,216633.97,open
PO000066,SUP0035,PRD0121,2024-10-23,486,948.08,USD,460766.88,fulfilled
PO000067,SUP0038,PRD0083,2024-11-04,292,26.79,USD,7822.68,fulfilled
PO000068,SUP0001,PRD0015,2025-10-10,655,136.44,USD,89368.2,fulfilled
PO000069,SUP0003,PRD0013,2026-06-06,120,644.83,USD,77379.6,open
PO000070,SUP0009,PRD0150,2024-12-17,197,2.31,USD,455.07,open
PO000071,SUP0001,PRD0007,2025-01-28,87,43.81,USD,3811.47,fulfilled
PO000072,SUP0011,PRD0007,2025-11-22,352,1234.51,USD,434547.52,fulfilled
PO000073,SUP0003,PRD0066,2026-04-17,237,107.09,USD,25380.33,fulfilled
PO000074,SUP0014,PRD0070,2025-08-06,481,13.18,USD,6339.58,fulfilled
PO000075,SUP0004,PRD0075,2025-10-26,234,2.65,USD,620.1,fulfilled
PO000076,SUP0008,PRD0003,2025-01-09,353,186.06,USD,65679.18,fulfilled
PO000077,SUP0011,PRD0095,2024-11-06,307,390.4,USD,119852.8,fulfilled
PO000078,SUP0021,PRD0005,2026-08-11,256,379.9,USD,97254.4,cancelled
PO000079,SUP0012,PRD0132,2026-02-03,235,518.73,USD,121901.55,fulfilled
PO000080,SUP0037,PRD0122,2024-09-25,233,6.41,USD,1493.53,open
PO000081,SUP0040,PRD0063,2026-03-18,41,981.57,USD,40244.37,fulfilled
PO000082,SUP0040,PRD0095,2024-10-09,128,103.62,USD,13263.36,fulfilled
PO000083,SUP0004,PRD0135,2026-08-07,112,2.35,USD,263.2,open
PO000084,SUP0001,PRD0070,2026-01-06,1397,65.65,USD,91713.05,fulfilled
PO000085,SUP0036,PRD0004,2026-04-30,73,3.77,USD,275.21,fulfilled
PO000086,SUP0024,PRD0103,2024-12-18,653,16.59,USD,10833.27,fulfilled
PO000087,SUP0037,PRD0043,2025-12-07,190,52.59,USD,9992.1,open
PO000088,SUP0017,PRD0141,2025-10-15,38,3.57,USD,135.66,fulfilled
PO000089,SUP0026,PRD0144,2026-04-15,175,4.05,USD,708.75,fulfilled
PO000090,SUP0026,PRD0136,2025-10-24,679,393.65,USD,267288.35,fulfilled
PO000091,SUP0028,PRD0100,2025-04-05,191,2.96,USD,565.36,fulfilled
PO000092,SUP0005,PRD0048,2026-08-19,201,18.29,USD,3676.29,open
PO000093,SUP0025,PRD0112,2025-05-06,222,1735.75,USD,385336.5,fulfilled
PO000094,SUP0026,PRD0070,2025-11-03,238,2.31,USD,549.78,open
PO000095,SUP0016,PRD0112,2026-06-18,27,176.29,USD,4759.83,fulfilled
PO000096,SUP0019,PRD0068,2025-05-09,149,2.31,USD,344.19,open
PO000097,SUP0036,PRD0028,2024-11-27,220,609.14,USD,134010.8,fulfilled
PO000098,SUP0026,PRD0074,2025-04-01,1038,52.94,USD,54951.72,fulfilled
PO000099,SUP0007,PRD0021,2025-07-16,324,2.31,USD,748.44,fulfilled
PO000100,SUP0003,PRD0078,2024-12-16,483,26.32,USD,12712.56,open
PO000101,SUP0008,PRD0114,2025-04-27,88,5.48,USD,482.24,fulfilled
PO000102,SUP0014,PRD0128,2026-07-31,408,47.77,USD,19490.16,fulfilled
PO000103,SUP0027,PRD0082,2025-01-28,701,502.16,USD,352014.16,fulfilled
PO000104,SUP0009,PRD0147,2026-03-23,44,594.65,USD,26164.6,fulfilled
PO000105,SUP0010,PRD0120,2026-04-19,430,158.57,USD,68185.1,open
PO000106,SUP0033,PRD0084,2026-06-28,175,1687.23,USD,295265.25,fulfilled
PO000107,SUP0025,PRD0030,2026-06-29,330,2607.77,USD,860564.1,fulfilled
PO000108,SUP0015,PRD0015,2026-03-08,55,934.48,USD,51396.4,fulfilled
PO000109,SUP0007,PRD0028,2024-10-22,261,6.74,USD,1759.14,fulfilled
PO000110,SUP0001,PRD0105,2026-05-05,223,1076.03,USD,239954.69,open
PO000111,SUP0017,PRD0135,2026-04-10,90,749.45,USD,67450.5,fulfilled
PO000112,SUP0025,PRD0115,2025-12-12,154,76.86,USD,11836.44,fulfilled
PO000113,SUP0036,PRD0057,2024-11-06,59,31.14,USD,1837.26,fulfilled
PO000114,SUP0039,PRD0018,2025-06-08,204,250.91,USD,51185.64,open
PO000115,SUP0019,PRD0066,2026-04-11,216,3897.75,USD,841914.0,open
PO000116,SUP0011,PRD0091,2025-07-05,325,84.23,USD,27374.75,fulfilled
PO000117,SUP0038,PRD0058,2025-08-22,679,206.28,USD,140064.12,fulfilled
PO000118,SUP0040,PRD0105,2024-10-10,290,2.31,USD,669.9,open
PO000119,SUP0030,PRD0108,2024-12-14,80,3.23,USD,258.4,fulfilled
PO000120,SUP0008,PRD0059,2026-04-26,62,2.68,USD,166.16,open
PO000121,SUP0027,PRD0104,2025-06-03,119,63.36,USD,7539.84,fulfilled
PO000122,SUP0021,PRD0043,2025-12-03,101,68.28,USD,6896.28,open
PO000123,SUP0022,PRD0083,2026-05-20,518,4.92,USD,2548.56,fulfilled
PO000124,SUP0028,PRD0023,2025-10-14,113,255.01,USD,28816.13,fulfilled
PO000125,SUP0012,PRD0133,2024-11-27,331,68.22,USD,22580.82,fulfilled
PO000126,SUP0010,PRD0141,2025-05-23,330,1863.03,USD,614799.9,fulfilled
PO000127,SUP0009,PRD0136,2025-08-10,522,74.56,USD,38920.32,open
PO000128,SUP0020,PRD0041,2025-03-04,129,2195.05,USD,283161.45,fulfilled
PO000129,SUP0040,PRD0133,2025-01-04,85,873.8,USD,74273.0,open
PO000130,SUP0004,PRD0125,2026-08-30,513,1150.38,USD,590144.94,fulfilled
PO000131,SUP0012,PRD0035,2025-10-09,88,17.42,USD,1532.96,fulfilled
PO000132,SUP0006,PRD0045,2025-05-27,185,37.8,USD,6993.0,open
PO000133,SUP0032,PRD0104,2024-12-10,472,15.06,USD,7108.32,fulfilled
PO000134,SUP0023,PRD0005,2024-12-07,442,212.65,USD,93991.3,fulfilled
PO000135,SUP0021,PRD0062,2024-10-08,160,9.03,USD,1444.8,fulfilled
PO000136,SUP0030,PRD0132,2026-08-25,433,4.69,USD,2030.77,fulfilled
PO000137,SUP0027,PRD0038,2025-01-27,235,2304.68,USD,541599.8,open
PO000138,SUP0007,PRD0084,2024-12-30,80,6.18,USD,494.4,fulfilled
PO000139,SUP0006,PRD0091,2024-10-24,31,2.32,USD,71.92,fulfilled
PO000140,SUP0035,PRD0102,2026-06-01,175,53.91,USD,9434.25,fulfilled
PO000141,SUP0036,PRD0144,2025-06-05,397,11.1,USD,4406.7,fulfilled
PO000142,SUP0004,PRD0106,2025-08-06,412,4.91,USD,2022.92,fulfilled
PO000143,SUP0015,PRD0105,2025-12-17,133,15.56,USD,2069.48,fulfilled
PO000144,SUP0005,PRD0007,2024-12-23,179,27.13,USD,4856.27,open
PO000145,SUP0031,PRD0091,2025-08-02,332,72.52,USD,24076.64,open
PO000146,SUP0004,PRD0055,2026-01-28,159,16.4,USD,2607.6,fulfilled
PO000147,SUP0004,PRD0083,2026-03-29,407,212.53,USD,86499.71,fulfilled
PO000148,SUP0026,PRD0007,2025-02-17,132,1979.31,USD,261268.92,open
PO000149,SUP0002,PRD0111,2025-09-19,110,76.83,USD,8451.3,open
PO000150,SUP0036,PRD0016,2026-03-10,537,948.83,USD,509521.71,fulfilled
PO000151,SUP0036,PRD0084,2025-07-17,238,39.98,USD,9515.24,fulfilled
PO000152,SUP0034,PRD0037,2026-08-02,49,679.89,USD,33314.61,fulfilled
PO000153,SUP0039,PRD0079,2026-08-14,621,3033.43,USD,1883760.03,fulfilled
PO000154,SUP0019,PRD0020,2025-01-24,1186,3275.45,USD,3884683.7,fulfilled
PO000155,SUP0016,PRD0005,2024-11-16,30,20.69,USD,620.7,fulfilled
PO000156,SUP0037,PRD0081,2025-08-05,439,42.02,USD,18446.78,fulfilled
PO000157,SUP0010,PRD0070,2026-04-02,491,374.23,USD,183746.93,fulfilled
PO000158,SUP0013,PRD0063,2025-04-27,390,2.31,USD,900.9,open
PO000159,SUP0029,PRD0141,2024-12-12,52,154.11,USD,8013.72,fulfilled
PO000160,SUP0018,PRD0064,2026-04-04,234,56.64,USD,13253.76,fulfilled
PO000161,SUP0034,PRD0040,2025-01-22,101,3.48,USD,351.48,fulfilled
PO000162,SUP0010,PRD0040,2025-05-19,764,623.93,USD,476682.52,fulfilled
PO000163,SUP0036,PRD0070,2026-08-20,320,451.62,USD,144518.4,fulfilled
PO000164,SUP0001,PRD0051,2026-03-29,49,298.3,USD,14616.7,cancelled
PO000165,SUP0008,PRD0097,2025-05-18,745,1516.66,USD,1129911.7,cancelled
PO000166,SUP0017,PRD0016,2025-08-04,139,2.66,USD,369.74,fulfilled
PO000167,SUP0031,PRD0034,2025-09-29,1189,10.81,USD,12853.09,fulfilled
PO000168,SUP0019,PRD0053,2026-07-26,572,2040.75,USD,1167309.0,fulfilled
PO000169,SUP0013,PRD0040,2026-03-16,286,1457.04,USD,416713.44,fulfilled
PO000170,SUP0029,PRD0137,2025-07-08,112,29.0,USD,3248.0,fulfilled
PO000171,SUP0017,PRD0140,2025-05-13,62,95.57,USD,5925.34,fulfilled
PO000172,SUP0005,PRD0069,2026-06-19,197,2.39,USD,470.83,fulfilled
PO000173,SUP0001,PRD0102,2025-10-13,499,1236.72,USD,617123.28,fulfilled
PO000174,SUP0036,PRD0040,2025-04-02,684,23.41,USD,16012.44,fulfilled
PO000175,SUP0011,PRD0062,2025-03-18,56,606.67,USD,33973.52,fulfilled
PO000176,SUP0008,PRD0045,2024-09-30,61,1421.6,USD,86717.6,fulfilled
PO000177,SUP0021,PRD0016,2026-07-19,433,351.83,USD,152342.39,cancelled
PO000178,SUP0030,PRD0142,2026-08-08,825,5941.76,USD,4901952.0,fulfilled
PO000179,SUP0013,PRD0136,2024-09-28,53,147.48,USD,7816.44,fulfilled
PO000180,SUP0024,PRD0079,2024-10-09,533,1139.96,USD,607598.68,fulfilled
PO000181,SUP0019,PRD0102,2026-04-11,74,743.82,USD,55042.68,fulfilled
PO000182,SUP0016,PRD0083,2026-07-16,141,7.9,USD,1113.9,fulfilled
PO000183,SUP0001,PRD0079,2025-05-01,271,4.82,USD,1306.22,fulfilled
PO000184,SUP0016,PRD0027,2025-09-19,675,224.68,USD,151659.0,fulfilled
PO000185,SUP0031,PRD0081,2024-12-12,59,4400.6,USD,259635.4,fulfilled
PO000186,SUP0037,PRD0084,2026-03-29,627,2.37,USD,1485.99,fulfilled
PO000187,SUP0027,PRD0108,2025-04-06,343,1068.79,USD,366594.97,fulfilled
PO000188,SUP0025,PRD0106,2024-09-26,89,2.31,USD,205.59,fulfilled
PO000189,SUP0036,PRD0122,2024-09-29,146,2.31,USD,337.26,fulfilled
PO000190,SUP0017,PRD0091,2026-03-03,159,99.97,USD,15895.23,fulfilled
PO000191,SUP0033,PRD0074,2025-11-16,478,2618.93,USD,1251848.54,fulfilled
PO000192,SUP0019,PRD0027,2024-09-21,155,550.49,USD,85325.95,fulfilled
PO000193,SUP0016,PRD0003,2025-09-13,99,3962.44,USD,392281.56,fulfilled
PO000194,SUP0023,PRD0124,2025-07-23,354,147.86,USD,52342.44,fulfilled
PO000195,SUP0032,PRD0051,2026-07-16,433,2318.54,USD,1003927.82,fulfilled
PO000196,SUP0004,PRD0075,2026-03-07,41,2.86,USD,117.26,fulfilled
PO000197,SUP0019,PRD0106,2025-04-18,173,848.23,USD,146743.79,fulfilled
PO000198,SUP0035,PRD0137,2026-03-18,71,106.57,USD,7566.47,fulfilled
PO000199,SUP0032,PRD0017,2025-04-27,245,156.92,USD,38445.4,fulfilled
PO000200,SUP0033,PRD0111,2025-05-29,1444,30.62,USD,44215.28,fulfilled
PO000201,SUP0019,PRD0095,2025-05-02,215,130.46,USD,28048.9,fulfilled
PO000202,SUP0002,PRD0035,2025-04-01,196,18.8,USD,3684.8,fulfilled
PO000203,SUP0013,PRD0078,2025-07-17,330,166.16,USD,54832.8,fulfilled
PO000204,SUP0007,PRD0117,2024-11-20,219,265.46,USD,58135.74,fulfilled
PO000205,SUP0038,PRD0075,2026-01-28,369,512.23,USD,189012.87,fulfilled
PO000206,SUP0031,PRD0112,2025-03-16,835,2.48,USD,2070.8,fulfilled
PO000207,SUP0030,PRD0002,2025-09-28,477,4.73,USD,2256.21,fulfilled
PO000208,SUP0032,PRD0013,2026-06-03,78,2.88,USD,224.64,fulfilled
PO000209,SUP0004,PRD0110,2026-03-15,65,6.43,USD,417.95,open
PO000210,SUP0030,PRD0110,2026-08-03,596,1059.5,USD,631462.0,open
PO000211,SUP0009,PRD0136,2025-01-07,181,452.08,USD,81826.48,fulfilled
PO000212,SUP0012,PRD0026,2024-11-20,360,410.64,USD,147830.4,fulfilled
PO000213,SUP0001,PRD0074,2025-01-02,38,13.54,USD,514.52,fulfilled
PO000214,SUP0027,PRD0012,2025-01-23,565,254.64,USD,143871.6,fulfilled
PO000215,SUP0002,PRD0079,2024-11-20,634,9.25,USD,5864.5,fulfilled
PO000216,SUP0017,PRD0042,2025-03-17,240,1731.92,USD,415660.8,fulfilled
PO000217,SUP0005,PRD0057,2025-11-30,303,87.66,USD,26560.98,fulfilled
PO000218,SUP0036,PRD0035,2026-02-26,572,1323.06,USD,756790.32,fulfilled
PO000219,SUP0008,PRD0064,2025-09-03,70,19.38,USD,1356.6,fulfilled
PO000220,SUP0037,PRD0087,2025-11-19,41,12.14,USD,497.74,fulfilled
PO000221,SUP0036,PRD0108,2025-09-06,699,7.61,USD,5319.39,fulfilled
PO000222,SUP0019,PRD0132,2024-11-09,777,178.65,USD,138811.05,fulfilled
PO000223,SUP0035,PRD0111,2026-01-04,384,5.09,USD,1954.56,fulfilled
PO000224,SUP0036,PRD0045,2025-05-13,339,289.0,USD,97971.0,cancelled
PO000225,SUP0005,PRD0044,2024-12-17,740,7.21,USD,5335.4,fulfilled
PO000226,SUP0013,PRD0066,2024-10-12,310,1126.11,USD,349094.1,fulfilled
PO000227,SUP0019,PRD0037,2026-01-23,416,2.31,USD,960.96,fulfilled
PO000228,SUP0019,PRD0048,2026-01-10,489,189.13,USD,92484.57,open
PO000229,SUP0006,PRD0111,2025-08-05,614,865.86,USD,531638.04,fulfilled
PO000230,SUP0010,PRD0062,2025-09-20,647,1791.34,USD,1158996.98,fulfilled
PO000231,SUP0010,PRD0070,2024-10-28,26,48.66,USD,1265.16,fulfilled
PO000232,SUP0030,PRD0038,2025-11-30,178,2.58,USD,459.24,fulfilled
PO000233,SUP0031,PRD0027,2026-07-17,440,536.66,USD,236130.4,fulfilled
PO000234,SUP0015,PRD0035,2026-08-30,261,98.71,USD,25763.31,cancelled
PO000235,SUP0022,PRD0137,2024-11-11,956,2.42,USD,2313.52,fulfilled
PO000236,SUP0014,PRD0103,2025-12-15,249,2.48,USD,617.52,fulfilled
PO000237,SUP0005,PRD0068,2025-06-06,829,445.93,USD,369675.97,fulfilled
PO000238,SUP0022,PRD0071,2026-07-23,35,13.62,USD,476.7,fulfilled
PO000239,SUP0030,PRD0048,2024-10-17,351,2.42,USD,849.42,fulfilled
PO000240,SUP0015,PRD0057,2024-12-05,94,228.56,USD,21484.64,open
PO000241,SUP0025,PRD0070,2025-10-27,158,71.52,USD,11300.16,open
PO000242,SUP0032,PRD0133,2024-12-06,534,4.74,USD,2531.16,open
PO000243,SUP0008,PRD0114,2026-03-11,54,73.63,USD,3976.02,fulfilled
PO000244,SUP0037,PRD0070,2025-06-26,495,750.98,USD,371735.1,open
PO000245,SUP0040,PRD0040,2024-09-30,205,1907.2,USD,390976.0,fulfilled
PO000246,SUP0018,PRD0058,2025-11-28,445,2.6,USD,1157.0,fulfilled
PO000247,SUP0006,PRD0109,2025-09-14,110,1855.62,USD,204118.2,fulfilled
PO000248,SUP0012,PRD0064,2025-04-10,393,2048.07,USD,804891.51,cancelled
PO000249,SUP0024,PRD0091,2025-03-08,33,2.55,USD,84.15,fulfilled
PO000250,SUP0001,PRD0040,2024-11-01,219,1098.99,USD,240678.81,fulfilled
PO000251,SUP0036,PRD0004,2026-01-05,138,386.7,USD,53364.6,fulfilled
PO000252,SUP0022,PRD0044,2025-05-27,259,559.64,USD,144946.76,fulfilled
PO000253,SUP0004,PRD0090,2025-03-13,58,58.42,USD,3388.36,fulfilled
PO000254,SUP0018,PRD0136,2026-02-02,308,43.96,USD,13539.68,fulfilled
PO000255,SUP0001,PRD0055,2025-03-24,498,3179.45,USD,1583366.1,fulfilled
PO000256,SUP0001,PRD0043,2025-01-29,64,565.09,USD,36165.76,fulfilled
PO000257,SUP0008,PRD0040,2024-12-04,76,953.81,USD,72489.56,fulfilled
PO000258,SUP0001,PRD0021,2025-11-18,729,118.06,USD,86065.74,open
PO000259,SUP0001,PRD0051,2025-09-15,481,33.11,USD,15925.91,fulfilled
PO000260,SUP0023,PRD0105,2026-03-11,109,24.5,USD,2670.5,fulfilled
PO000261,SUP0040,PRD0081,2026-04-09,247,2.31,USD,570.57,open
PO000262,SUP0030,PRD0012,2024-10-22,247,43.59,USD,10766.73,fulfilled
PO000263,SUP0008,PRD0030,2024-11-20,339,7.17,USD,2430.63,fulfilled
PO000264,SUP0005,PRD0095,2026-07-08,517,1282.16,USD,662876.72,fulfilled
PO000265,SUP0006,PRD0024,2025-03-10,306,35.59,USD,10890.54,fulfilled
PO000266,SUP0017,PRD0053,2026-01-10,50,98.94,USD,4947.0,fulfilled
PO000267,SUP0013,PRD0083,2025-08-02,247,207.52,USD,51257.44,fulfilled
PO000268,SUP0023,PRD0097,2025-05-04,147,7.3,USD,1073.1,open
PO000269,SUP0033,PRD0148,2025-11-05,888,971.22,USD,862443.36,open
PO000270,SUP0024,PRD0003,2025-06-01,715,20.23,USD,14464.45,fulfilled
PO000271,SUP0007,PRD0038,2025-06-05,396,5.96,USD,2360.16,fulfilled
PO000272,SUP0003,PRD0045,2025-09-23,395,515.63,USD,203673.85,fulfilled
PO000273,SUP0017,PRD0032,2026-04-16,82,683.38,USD,56037.16,fulfilled
PO000274,SUP0007,PRD0035,2025-02-10,514,46.13,USD,23710.82,fulfilled
PO000275,SUP0020,PRD0041,2025-08-19,168,280.77,USD,47169.36,fulfilled
PO000276,SUP0009,PRD0036,2025-06-28,509,9.83,USD,5003.47,open
PO000277,SUP0017,PRD0057,2025-08-03,937,3187.37,USD,2986565.69,open
PO000278,SUP0010,PRD0100,2026-02-26,949,74.58,USD,70776.42,fulfilled
PO000279,SUP0021,PRD0141,2024-11-17,341,88.16,USD,30062.56,open
PO000280,SUP0039,PRD0083,2025-08-18,86,4.37,USD,375.82,fulfilled
PO000281,SUP0004,PRD0084,2026-02-25,42,371.57,USD,15605.94,fulfilled
PO000282,SUP0010,PRD0064,2026-05-06,469,55.7,USD,26123.3,fulfilled
PO000283,SUP0036,PRD0004,2026-02-24,391,1418.26,USD,554539.66,fulfilled
PO000284,SUP0040,PRD0044,2025-01-24,211,6.99,USD,1474.89,fulfilled
PO000285,SUP0034,PRD0027,2025-03-09,345,37.69,USD,13003.05,fulfilled
PO000286,SUP0004,PRD0136,2025-08-05,65,611.09,USD,39720.85,fulfilled
PO000287,SUP0036,PRD0125,2025-02-15,234,434.78,USD,101738.52,open
PO000288,SUP0030,PRD0070,2024-09-17,580,70.73,USD,41023.4,fulfilled
PO000289,SUP0018,PRD0024,2026-01-03,607,9.03,USD,5481.21,fulfilled
PO000290,SUP0004,PRD0057,2026-05-02,173,267.73,USD,46317.29,fulfilled
PO000291,SUP0013,PRD0105,2024-11-23,115,43.29,USD,4978.35,fulfilled
PO000292,SUP0007,PRD0070,2025-03-31,918,7.61,USD,6985.98,fulfilled
PO000293,SUP0036,PRD0136,2026-03-06,98,78.58,USD,7700.84,fulfilled
PO000294,SUP0003,PRD0011,2025-10-24,193,3140.55,USD,606126.15,fulfilled
PO000295,SUP0019,PRD0139,2026-06-13,231,608.15,USD,140482.65,cancelled
PO000296,SUP0037,PRD0021,2025-05-22,49,1336.65,USD,65495.85,fulfilled
PO000297,SUP0019,PRD0057,2024-12-01,73,327.03,USD,23873.19,open
PO000298,SUP0037,PRD0077,2026-08-07,495,119.24,USD,59023.8,open
PO000299,SUP0015,PRD0097,2025-05-08,457,57.06,USD,26076.42,fulfilled
PO000300,SUP0035,PRD0013,2026-02-14,344,4.47,USD,1537.68,fulfilled
PO000301,SUP0028,PRD0065,2026-01-30,50,325.93,USD,16296.5,fulfilled
PO000302,SUP0030,PRD0082,2025-07-19,141,1393.59,USD,196496.19,fulfilled
PO000303,SUP0005,PRD0066,2025-04-14,211,265.9,USD,56104.9,fulfilled
PO000304,SUP0010,PRD0023,2024-10-17,131,448.5,USD,58753.5,fulfilled
PO000305,SUP0021,PRD0019,2026-06-15,469,3111.11,USD,1459110.59,fulfilled
PO000306,SUP0008,PRD0102,2026-08-09,125,77.98,USD,9747.5,open
PO000307,SUP0026,PRD0140,2024-10-10,502,6.94,USD,3483.88,fulfilled
PO000308,SUP0014,PRD0095,2026-02-14,168,2.31,USD,388.08,fulfilled
PO000309,SUP0017,PRD0089,2025-11-17,210,654.07,USD,137354.7,fulfilled
PO000310,SUP0037,PRD0015,2025-08-14,899,1355.21,USD,1218333.79,fulfilled
PO000311,SUP0003,PRD0075,2026-03-16,402,2.31,USD,928.62,fulfilled
PO000312,SUP0015,PRD0147,2025-02-14,382,9.34,USD,3567.88,open
PO000313,SUP0018,PRD0026,2026-08-01,122,56.03,USD,6835.66,fulfilled
PO000314,SUP0036,PRD0018,2026-06-01,499,390.77,USD,194994.23,cancelled
PO000315,SUP0026,PRD0040,2026-08-15,364,19.23,USD,6999.72,fulfilled
PO000316,SUP0014,PRD0066,2025-04-30,230,2.4,USD,552.0,fulfilled
PO000317,SUP0036,PRD0074,2026-03-11,49,4.15,USD,203.35,open
PO000318,SUP0031,PRD0117,2025-02-20,795,22.51,USD,17895.45,open
PO000319,SUP0014,PRD0109,2026-08-25,256,4964.42,USD,1270891.52,fulfilled
PO000320,SUP0024,PRD0013,2025-12-15,344,552.65,USD,190111.6,fulfilled
