invoice_id,po_id,invoice_date,amount,payment_status,payment_date
INV000046,PO000046,2024-11-09,196158.62,paid,2024-11-28
INV000047,PO000047,2026-06-23,58254.3,paid,2026-07-23
INV000049,PO000049,2026-04-28,57.75,paid,2026-06-03
INV000050,PO000050,2026-06-03,14944.5,paid,2026-06-27
INV000051,PO000051,2024-11-09,83334.67,overdue,
INV000053,PO000053,2025-06-30,171292.8,paid,2025-07-14
INV000054,PO000054,2024-10-16,269506.26,paid,2024-10-29
INV000055,PO000055,2025-05-11,525.78,paid,2025-06-12
INV000056,PO000056,2026-04-11,237.6,paid,2026-04-18
INV000057,PO000057,2025-12-27,3316397.09,pending,
INV000058,PO000058,2026-05-04,704.16,pending,
INV000059,PO000059,2025-12-01,437780.08,pending,
INV000060,PO000060,2025-05-31,9930.99,paid,2025-06-24
INV000061,PO000061,2025-05-18,970.7,paid,2025-06-05
INV000062,PO000062,2025-10-12,650104.95,paid,2025-11-24
INV000063,PO000063,2026-06-17,145645.0,paid,2026-07-06
INV000064,PO000064,2026-06-23,13883.02,paid,2026-07-25
INV000065,PO000065,2025-11-06,318339.48,paid,2025-12-15
INV000066,PO000066,2026-07-21,261869.2,paid,2026-08-25
INV000067,PO000067,2025-01-19,14309.28,pending,
INV000068,PO000068,2026-06-13,137378.7,paid,2026-06-26
INV000070,PO000070,2024-10-30,67.25,pending,
INV000071,PO000071,2026-01-10,3322.1,overdue,
INV000072,PO000072,2025-05-20,445021.92,paid,2025-06-01
INV000073,PO000073,2025-09-09,12399.44,pending,
INV000074,PO000074,2026-01-18,6201.44,paid,2026-02-03
INV000075,PO000075,2026-02-16,575.99,paid,2026-03-15
INV000076,PO000076,2026-02-13,90418.38,paid,2026-03-06
INV000077,PO000077,2026-03-07,90849.64,pending,
INV000078,PO000078,2025-02-27,445513.39,pending,
INV000080,PO000080,2025-05-26,5625.36,paid,2025-06-30
INV000081,PO000081,2025-01-22,10254.6,paid,2025-01-27
INV000082,PO000082,2025-08-10,2735.05,paid,2025-09-11
INV000083,PO000083,2025-01-15,865.36,paid,2025-02-17
INV000084,PO000084,2026-07-06,153183.94,paid,2026-08-07
INV000085,PO000085,2025-11-05,1823.52,paid,2025-11-28
INV000086,PO000086,2026-06-29,31975.96,overdue,
INV000088,PO000088,2025-05-29,1319.01,pending,
INV000089,PO000089,2025-08-03,930.34,paid,2025-09-04
INV000090,PO000090,2024-11-18,189702.4,paid,2024-12-26
INV000091,PO000091,2026-05-11,344.52,overdue,
INV000092,PO000092,2025-06-07,4820.35,paid,2025-07-16
INV000093,PO000093,2025-06-17,369065.6,paid,2025-07-02
INV000094,PO000094,2025-01-21,286.12,pending,
INV000095,PO000095,2024-09-07,1687.34,overdue,
INV000096,PO000096,2026-03-11,292.32,pending,
INV000097,PO000097,2025-07-04,147455.73,pending,
INV000098,PO000098,2026-08-20,77196.55,paid,2026-09-25
INV000099,PO000099,2026-04-22,205.92,paid,2026-05-26
INV000100,PO000100,2024-12-06,39538.31,pending,
INV000101,PO000101,2025-04-22,474.3,pending,
INV000102,PO000102,2025-07-06,15865.45,pending,
INV000103,PO000103,2026-08-14,119072.24,paid,2026-09-09
INV000104,PO000104,2024-11-20,15716.16,paid,2024-12-12
INV000105,PO000105,2025-01-03,186663.4,pending,
INV000106,PO000106,2024-11-14,422086.71,paid,2024-11-22
INV000107,PO000107,2025-10-05,824277.9,pending,
INV000108,PO000108,2024-11-01,73453.4,overdue,
INV000109,PO000109,2026-03-10,6045.42,paid,2026-04-21
INV000110,PO000110,2025-05-20,532089.74,paid,2025-06-03
INV000111,PO000111,2025-02-03,33072.84,paid,2025-03-07
INV000112,PO000112,2025-06-29,2913.87,pending,
INV000113,PO000113,2025-11-24,502.32,paid,2025-12-10
INV000115,PO000115,2025-01-20,1673061.21,paid,2025-01-25
INV000116,PO000116,2026-02-12,42671.57,overdue,
INV000117,PO000117,2026-04-02,321822.3,paid,2026-05-08
INV000118,PO000118,2026-01-07,198.71,paid,2026-01-24
INV000119,PO000119,2025-06-26,378.27,paid,2025-07-18
INV000120,PO000120,2025-01-15,668.71,paid,2025-02-14
INV000121,PO000121,2024-11-12,5545.81,paid,2024-12-14
INV000122,PO000122,2025-07-10,2486.94,paid,2025-07-25
INV000123,PO000123,2024-11-01,10567.05,paid,2024-11-23
INV000124,PO000124,2025-08-29,9324.8,paid,2025-10-10
INV000125,PO000125,2026-02-24,29537.46,paid,2026-03-20
INV000126,PO000126,2024-10-16,239795.36,overdue,
INV000127,PO000127,2026-05-07,66598.35,paid,2026-05-24
INV000128,PO000128,2024-10-22,337493.92,paid,2024-11-12
INV000129,PO000129,2025-07-23,103572.63,paid,2025-08-26
INV000130,PO000130,2025-01-19,806157.12,paid,2025-02-06
INV000131,PO000131,2025-07-22,1114.56,paid,2025-08-26
INV000132,PO000132,2025-01-15,8182.7,pending,
INV000133,PO000133,2026-04-06,11985.12,paid,2026-05-15
INV000134,PO000134,2026-08-17,22210.8,pending,
INV000135,PO000135,2026-09-01,1070.42,paid,2026-09-27
INV000136,PO000136,2025-07-30,2774.88,paid,2025-09-08
INV000137,PO000137,2025-11-18,520602.84,pending,
INV000138,PO000138,2025-08-23,330.0,paid,2025-08-30
INV000139,PO000139,2024-10-08,62.91,paid,2024-11-10
INV000140,PO000140,2025-01-19,7928.7,paid,2025-02-11
INV000141,PO000141,2026-04-14,6944.22,paid,2026-05-18
INV000142,PO000142,2025-07-11,3096.04,paid,2025-08-24
INV000143,PO000143,2025-03-20,2559.52,paid,2025-04-01
INV000144,PO000144,2025-09-08,18315.52,paid,2025-10-17
INV000145,PO000145,2025-09-13,51147.45,pending,
INV000146,PO000146,2025-03-23,1338.75,pending,
INV000147,PO000147,2026-03-03,34966.32,paid,2026-03-16
INV000148,PO000148,2024-11-21,592062.5,paid,2024-12-03
INV000149,PO000149,2026-02-02,9597.28,pending,
INV000150,PO000150,2025-07-09,676175.16,pending,
INV000151,PO000151,2025-09-19,15671.84,paid,2025-10-17
INV000152,PO000152,2024-11-01,6790.0,paid,2024-11-16
INV000153,PO000153,2025-06-15,963793.92,paid,2025-07-29
INV000154,PO000154,2026-08-22,1664691.6,paid,2026-10-02
INV000155,PO000155,2024-12-04,472.12,paid,2025-01-17
INV000156,PO000156,2025-11-12,51499.46,paid,2025-12-01
INV000157,PO000157,2025-08-16,180132.48,paid,2025-09-02
INV000158,PO000158,2026-05-15,167.28,paid,2026-06-14
INV000159,PO000159,2024-11-11,11102.84,pending,
INV000160,PO000160,2025-12-20,7676.76,paid,2026-01-22
INV000161,PO000161,2025-05-03,275.88,paid,2025-05-21
INV000162,PO000162,2026-05-15,493466.32,paid,2026-05-21
INV000163,PO000163,2026-01-17,64808.26,paid,2026-02-28
INV000164,PO000164,2025-03-06,17922.96,paid,2025-03-17
INV000165,PO000165,2026-01-18,868195.72,overdue,
INV000166,PO000166,2024-12-06,586.53,paid,2025-01-08
INV000167,PO000167,2026-09-07,32927.68,paid,2026-09-14
INV000168,PO000168,2025-12-13,1399614.24,paid,2026-01-20
INV000169,PO000169,2026-02-05,633102.8,paid,2026-02-19
INV000170,PO000170,2026-02-28,1412.52,paid,2026-04-13
INV000171,PO000171,2024-12-27,2551.48,paid,2025-02-07
INV000172,PO000172,2024-12-15,516.12,paid,2025-01-17
INV000173,PO000173,2026-08-10,304536.32,paid,2026-09-17
INV000174,PO000174,2026-08-16,13749.84,paid,2026-09-10
INV000176,PO000176,2025-11-30,21204.05,pending,
INV000177,PO000177,2026-04-09,443561.3,paid,2026-05-02
INV000178,PO000178,2025-09-17,4474756.26,paid,2025-10-16
INV000179,PO000179,2025-01-24,6199.88,paid,2025-02-01
INV000180,PO000180,2026-02-18,209863.3,overdue,
INV000181,PO000181,2024-10-20,69360.48,paid,2024-11-26
INV000182,PO000182,2024-12-21,1135.7,pending,
INV000183,PO000183,2025-06-12,3615.7,paid,2025-07-14
INV000184,PO000184,2026-07-29,147593.76,paid,2026-08-19
INV000185,PO000185,2024-09-26,563626.99,paid,2024-10-10
INV000186,PO000186,2026-08-23,765.51,paid,2026-10-02
INV000187,PO000187,2025-11-19,346473.78,paid,2025-12-15
INV000188,PO000188,2026-06-25,157.08,pending,
INV000189,PO000189,2026-02-19,111.84,paid,2026-02-27
INV000190,PO000190,2025-05-05,3260.0,paid,2025-05-15
INV000191,PO000191,2025-05-31,1176108.48,paid,2025-06-26
INV000192,PO000192,2026-03-01,48097.08,paid,2026-04-04
INV000193,PO000193,2025-02-24,909828.9,paid,2025-03-29
INV000194,PO000194,2025-11-10,21098.0,paid,2025-12-23
INV000195,PO000195,2025-09-08,587815.83,pending,
INV000196,PO000196,2024-11-01,647.28,paid,2024-11-11
INV000198,PO000198,2024-11-30,1149.12,paid,2024-12-10
INV000199,PO000199,2025-09-23,50723.4,pending,
INV000200,PO000200,2026-09-09,207174.2,paid,2026-09-19
INV000202,PO000202,2025-11-19,3546.2,paid,2025-12-05
INV000203,PO000203,2026-01-27,33008.82,pending,
INV000204,PO000204,2025-03-22,11426.8,paid,2025-04-28
INV000205,PO000205,2026-05-14,110975.4,pending,
INV000206,PO000206,2026-05-24,7158.24,paid,2026-06-05
INV000207,PO000207,2026-02-11,2678.94,paid,2026-02-21
INV000208,PO000208,2024-12-31,649.6,pending,
INV000209,PO000209,2025-03-30,1314.55,overdue,
INV000210,PO000210,2024-11-20,719125.32,paid,2025-01-02
INV000211,PO000211,2025-04-16,76351.29,paid,2025-05-05
INV000212,PO000212,2025-11-09,83905.04,pending,
INV000213,PO000213,2024-10-14,400.8,paid,2024-11-07
INV000214,PO000214,2026-02-27,151718.58,paid,2026-04-12
INV000215,PO000215,2026-02-23,7929.26,paid,2026-04-06
INV000216,PO000216,2025-06-20,728918.64,overdue,
INV000217,PO000217,2025-05-07,36444.85,paid,2025-06-19
INV000218,PO000218,2026-07-09,733781.0,paid,2026-08-21
INV000219,PO000219,2024-11-09,5871.0,paid,2024-12-04
INV000220,PO000220,2025-06-13,1281.5,pending,
INV000221,PO000221,2025-09-28,50661.84,paid,2025-10-21
INV000223,PO000223,2025-11-11,5124.54,paid,2025-11-20
INV000224,PO000224,2025-10-29,118659.64,paid,2025-12-11
INV000225,PO000225,2026-06-27,15140.2,paid,2026-07-27
INV000226,PO000226,2025-10-18,171359.37,paid,2025-11-07
INV000227,PO000227,2026-02-28,306.07,overdue,
INV000228,PO000228,2025-04-13,224593.8,paid,2025-05-07
INV000229,PO000229,2026-03-09,340667.64,paid,2026-04-21
INV000230,PO000230,2025-10-14,602848.9,paid,2025-11-01
INV000231,PO000231,2024-10-17,376.74,pending,
INV000232,PO000232,2025-04-23,378.14,overdue,
INV000233,PO000233,2026-02-15,155164.8,paid,2026-03-27
INV000234,PO000234,2025-11-29,27014.56,overdue,
INV000235,PO000235,2026-08-26,901.59,pending,
INV000236,PO000236,2026-05-30,594.55,paid,2026-06-10
INV000237,PO000237,2026-07-26,227294.08,overdue,
INV000238,PO000238,2024-09-14,930.24,paid,2024-10-28
INV000239,PO000239,2026-04-27,304.8,paid,2026-06-07
INV000240,PO000240,2025-06-17,31132.92,paid,2025-07-20
INV000241,PO000241,2024-12-25,34896.88,overdue,
INV000242,PO000242,2026-05-31,14013.68,paid,2026-07-12
INV000243,PO000243,2025-01-02,963.75,paid,2025-01-21
INV000244,PO000244,2026-04-04,395988.48,overdue,
INV000245,PO000245,2025-07-15,412581.75,paid,2025-08-02
INV000246,PO000246,2026-04-11,1918.69,pending,
INV000248,PO000248,2026-05-02,1206473.66,paid,2026-05-12
INV000249,PO000249,2025-03-26,245.92,paid,2025-04-20
INV000250,PO000250,2025-01-28,139328.61,paid,2025-02-21
INV000251,PO000251,2025-03-03,31969.35,pending,
INV000252,PO000252,2025-02-23,152463.19,paid,2025-03-25
INV000254,PO000254,2025-03-27,5404.3,paid,2025-04-01
INV000255,PO000255,2026-02-13,836706.75,paid,2026-02-27
INV000257,PO000257,2025-01-27,75144.83,paid,2025-02-02
INV000258,PO000258,2026-08-25,106133.76,overdue,
INV000259,PO000259,2026-03-30,34620.24,paid,2026-04-26
INV000260,PO000260,2024-09-16,1942.28,paid,2024-10-06
INV000261,PO000261,2025-08-25,621.18,pending,
INV000262,PO000262,2025-12-04,7968.62,pending,
INV000263,PO000263,2025-10-07,5301.44,pending,
INV000264,PO000264,2025-12-14,542844.0,paid,2026-01-18
INV000265,PO000265,2026-04-24,6034.5,paid,2026-05-16
INV000266,PO000266,2024-10-22,1172.48,paid,2024-10-28
INV000267,PO000267,2026-05-13,15800.31,paid,2026-06-08
INV000268,PO000268,2025-06-04,4191.6,paid,2025-07-17
INV000269,PO000269,2026-09-14,963351.0,pending,
INV000270,PO000270,2025-12-21,22536.66,paid,2026-01-12
INV000271,PO000271,2026-05-06,1154.15,paid,2026-06-18
INV000273,PO000273,2025-05-18,15358.4,overdue,
INV000274,PO000274,2025-07-28,14287.28,paid,2025-08-12
INV000275,PO000275,2025-10-03,28002.11,paid,2025-10-13
INV000276,PO000276,2025-11-05,24180.48,paid,2025-11-30
INV000277,PO000277,2026-03-16,2246158.32,paid,2026-03-26
INV000278,PO000278,2026-02-10,103855.04,paid,2026-02-25
INV000279,PO000279,2025-04-23,65687.58,pending,
INV000280,PO000280,2025-05-03,470.0,paid,2025-06-01
INV000281,PO000281,2024-12-25,4846.14,paid,2025-01-07
INV000282,PO000282,2026-07-15,52051.17,paid,2026-08-04
INV000283,PO000283,2025-09-18,652688.82,paid,2025-10-23
INV000284,PO000284,2026-04-23,2125.1,paid,2026-05-24
INV000286,PO000286,2024-11-06,37025.1,paid,2024-11-14
INV000287,PO000287,2026-06-05,104079.95,paid,2026-07-19
INV000288,PO000288,2025-07-01,40442.0,paid,2025-07-06
INV000290,PO000290,2024-10-10,95948.32,paid,2024-11-14
INV000291,PO000291,2025-06-02,15207.68,overdue,
INV000292,PO000292,2026-04-07,15679.56,paid,2026-04-14
INV000293,PO000293,2024-10-24,2311.71,pending,
INV000295,PO000295,2025-01-26,326953.35,pending,
INV000297,PO000297,2024-11-06,27295.32,paid,2024-12-09
INV000298,PO000298,2025-07-15,154087.44,paid,2025-07-20
INV000299,PO000299,2026-02-07,55071.5,paid,2026-02-14
INV000300,PO000300,2025-10-27,2123.46,paid,2025-11-25
INV000302,PO000302,2025-05-03,241833.24,paid,2025-06-14
INV000303,PO000303,2025-08-23,59346.27,pending,
INV000304,PO000304,2025-06-07,122488.76,overdue,
INV000305,PO000305,2026-01-27,1912000.39,paid,2026-02-10
INV000306,PO000306,2025-04-01,7433.72,paid,2025-04-26
INV000307,PO000307,2026-08-25,4990.4,paid,2026-09-28
INV000308,PO000308,2025-04-02,298.45,paid,2025-05-05
INV000309,PO000309,2024-12-19,107756.22,paid,2025-01-04
INV000310,PO000310,2026-07-19,1242789.96,paid,2026-07-28
INV000311,PO000311,2026-04-14,589.68,paid,2026-05-19
INV000312,PO000312,2026-01-02,16547.8,overdue,
INV000314,PO000314,2024-12-27,245586.32,pending,
INV000315,PO000315,2025-07-14,9682.48,paid,2025-07-24
INV000316,PO000316,2026-02-19,421.68,pending,
INV000317,PO000317,2024-11-16,579.04,paid,2024-12-26
INV000319,PO000319,2024-12-31,2832857.28,paid,2025-02-09
INV000320,PO000320,2025-04-21,77553.54,pending,
INV000321,PO000321,2025-05-08,633540.96,paid,2025-05-31
INV000322,PO000322,2026-08-24,328.51,paid,2026-09-08
INV000323,PO000323,2026-09-06,22250.83,paid,2026-10-20
INV000324,PO000324,2025-08-30,36226.56,pending,
INV000325,PO000325,2024-11-07,39698.8,paid,2024-12-17
INV000326,PO000326,2026-08-04,19879.93,paid,2026-09-12
INV000327,PO000327,2026-01-10,437582.88,paid,2026-01-18
INV000328,PO000328,2025-02-21,102401.88,pending,
INV000329,PO000329,2026-05-17,1035.32,paid,2026-06-18
INV000330,PO000330,2024-12-26,909375.1,paid,2025-01-13
INV000331,PO000331,2024-09-18,958.65,paid,2024-10-26
INV000332,PO000332,2024-11-03,3120.12,pending,
INV000333,PO000333,2024-12-11,26320.86,paid,2024-12-28
INV000334,PO000334,2025-02-27,172991.97,pending,
INV000337,PO000337,2026-02-14,258097.28,pending,
INV000338,PO000338,2024-12-27,610.74,paid,2025-01-14
INV000340,PO000340,2025-06-17,18711.0,paid,2025-06-26
INV000341,PO000341,2024-09-17,494.19,paid,2024-09-29
INV000342,PO000342,2026-01-15,117398.55,paid,2026-02-12
INV000343,PO000343,2026-09-13,64481.39,paid,2026-10-12
INV000344,PO000344,2024-09-14,158421.2,paid,2024-10-16
INV000345,PO000345,2026-06-08,1719034.88,overdue,
INV000346,PO000346,2025-02-11,722.52,paid,2025-03-26
INV000347,PO000347,2025-10-28,287020.44,paid,2025-12-06
INV000348,PO000348,2026-09-01,134696.1,paid,2026-09-15
INV000349,PO000349,2024-09-29,4660.48,paid,2024-11-01
INV000350,PO000350,2025-10-06,94755.8,overdue,
INV000351,PO000351,2025-05-22,320.85,paid,2025-07-01
INV000352,PO000352,2025-07-18,24832.71,paid,2025-08-21
INV000353,PO000353,2025-10-06,122573.0,paid,2025-11-10
INV000355,PO000355,2025-05-28,400948.38,paid,2025-07-11
INV000356,PO000356,2026-06-30,1012449.49,paid,2026-07-21
INV000357,PO000357,2024-12-04,10986.69,paid,2025-01-02
INV000358,PO000358,2024-11-28,341756.16,pending,
INV000359,PO000359,2025-04-06,157363.7,pending,
INV000360,PO000360,2026-04-24,1089.92,pending,
INV000361,PO000361,2025-01-24,17026.64,overdue,
INV000362,PO000362,2026-05-10,425973.94,paid,2026-06-18
INV000363,PO000363,2024-12-06,4211.49,paid,2025-01-03
INV000364,PO000364,2026-01-31,94460.28,paid,2026-03-09
INV000365,PO000365,2026-07-11,47056.1,paid,2026-08-20
INV000366,PO000366,2024-11-09,390711.6,paid,2024-12-08
INV000367,PO000367,2024-12-28,83008.15,pending,
INV000368,PO000368,2026-01-29,813991.62,paid,2026-02-27
INV000369,PO000369,2024-11-18,101789.74,paid,2024-12-04
INV000370,PO000370,2025-12-22,228386.34,pending,
INV000371,PO000371,2024-09-29,3604.44,paid,2024-10-04
INV000372,PO000372,2024-09-20,1595.79,paid,2024-10-13
INV000373,PO000373,2026-06-08,1109.98,overdue,
INV000374,PO000374,2025-05-25,63240.93,paid,2025-06-30
INV000375,PO000375,2025-09-30,60724.51,pending,
INV000376,PO000376,2026-06-25,168460.5,paid,2026-08-07
INV000377,PO000377,2026-07-23,8783.7,paid,2026-09-02
INV000378,PO000378,2026-01-03,227759.2,paid,2026-01-26
INV000379,PO000379,2025-07-20,27535.56,paid,2025-08-06
INV000380,PO000380,2025-08-18,291.51,paid,2025-08-24
INV000381,PO000381,2026-08-09,1427860.0,paid,2026-09-07
INV000382,PO000382,2026-06-05,319971.5,paid,2026-06-21
INV000384,PO000384,2026-05-18,186233.76,overdue,
INV000385,PO000385,2025-06-01,12182.56,paid,2025-07-10
INV000386,PO000386,2025-02-17,91010.01,pending,
INV000387,PO000387,2026-08-18,38286.75,paid,2026-08-29
INV000388,PO000388,2024-12-23,809746.56,paid,2025-01-08
INV000389,PO000389,2025-07-11,15184.8,paid,2025-07-28
INV000390,PO000390,2026-02-05,56445.49,paid,2026-02-20
INV000391,PO000391,2024-10-20,145.53,pending,
INV000393,PO000393,2025-11-27,113701.32,paid,2026-01-05
INV000394,PO000394,2026-04-21,601.2,paid,2026-05-07
INV000396,PO000396,2024-11-03,668964.44,pending,
INV000397,PO000397,2026-06-24,1488048.84,pending,
INV000398,PO000398,2026-09-15,272191.68,paid,2026-10-08
INV000399,PO000399,2026-02-10,469874.9,pending,
INV000400,PO000400,2025-02-06,785626.24,paid,2025-03-17
INV000401,PO000401,2025-01-07,1832.8,paid,2025-02-18
INV000402,PO000402,2025-07-03,259993.8,paid,2025-07-16
INV000403,PO000403,2026-07-03,277696.02,overdue,
INV000404,PO000404,2025-10-12,145448.31,paid,2025-11-05
INV000405,PO000405,2024-12-27,9353.15,paid,2025-02-04
INV000406,PO000406,2024-12-10,1059095.1,pending,
INV000407,PO000407,2025-02-27,319258.44,paid,2025-03-24
INV000408,PO000408,2025-11-14,1200.85,paid,2025-12-13
INV000409,PO000409,2025-06-14,1612.61,paid,2025-07-05
INV000410,PO000410,2025-05-29,11621.77,paid,2025-06-09
INV000411,PO000411,2026-01-24,1201.32,paid,2026-02-13
INV000413,PO000413,2025-05-05,405.0,paid,2025-06-17
INV000414,PO000414,2025-10-10,299.25,overdue,
INV000415,PO000415,2025-10-23,28281.96,paid,2025-11-14
INV000416,PO000416,2025-09-19,3193.52,paid,2025-10-12
INV000417,PO000417,2026-04-08,1071.84,paid,2026-05-14
INV000418,PO000418,2024-11-15,334.95,paid,2024-12-21
INV000419,PO000419,2026-02-28,106795.0,paid,2026-03-08
INV000420,PO000420,2026-01-04,5311.64,overdue,
INV000422,PO000422,2026-09-04,594256.5,paid,2026-10-03
INV000423,PO000423,2024-12-30,512445.12,paid,2025-02-10
INV000424,PO000424,2025-06-26,15990.1,paid,2025-07-04
INV000425,PO000425,2024-09-26,2044.25,paid,2024-11-02
INV000426,PO000426,2026-04-30,1951053.06,overdue,
INV000427,PO000427,2025-12-26,7306.78,paid,2026-01-13
INV000428,PO000428,2025-05-06,6918.0,paid,2025-05-11
INV000429,PO000429,2025-08-11,2660232.84,paid,2025-08-31
INV000430,PO000430,2025-11-17,316787.46,pending,
INV000431,PO000431,2025-07-14,435587.12,overdue,
INV000432,PO000432,2026-03-19,173917.34,paid,2026-04-28
INV000433,PO000433,2025-11-02,126448.13,paid,2025-12-02
INV000434,PO000434,2024-09-30,4771.54,pending,
INV000435,PO000435,2025-11-26,95752.91,pending,
INV000436,PO000436,2025-06-25,134.4,paid,2025-08-01
INV000437,PO000437,2024-11-12,125280.27,overdue,
INV000438,PO000438,2026-06-26,482097.1,paid,2026-07-14
INV000439,PO000439,2024-11-24,425620.4,overdue,
INV000440,PO000440,2025-06-14,493604.37,paid,2025-07-04
INV000441,PO000441,2025-06-04,12040.42,paid,2025-07-09
INV000444,PO000444,2026-06-16,41831.79,paid,2026-07-18
INV000446,PO000446,2025-03-12,279.27,paid,2025-04-07
INV000447,PO000447,2025-12-01,1531045.54,paid,2026-01-03
INV000448,PO000448,2025-03-07,156987.84,pending,
INV000449,PO000449,2026-08-07,133158.74,overdue,
INV000450,PO000450,2024-12-30,310.86,paid,2025-01-19
INV000451,PO000451,2026-02-15,83545.2,paid,2026-03-18
INV000452,PO000452,2025-12-10,82482.4,pending,
INV000453,PO000453,2025-09-27,235515.04,paid,2025-10-02
INV000454,PO000454,2026-05-31,113530.28,overdue,
INV000455,PO000455,2026-05-03,74279.27,paid,2026-05-29
INV000456,PO000456,2026-07-04,36192.0,overdue,
INV000457,PO000457,2025-07-09,1563.75,pending,
INV000458,PO000458,2025-04-30,233018.44,paid,2025-05-08
INV000459,PO000459,2024-11-21,6411.9,paid,2024-12-28
INV000460,PO000460,2026-03-19,3845.4,paid,2026-04-12
INV000461,PO000461,2026-05-12,309243.2,paid,2026-06-17
INV000462,PO000462,2026-05-14,294.64,paid,2026-06-15
INV000463,PO000463,2025-07-23,257.4,paid,2025-08-27
INV000464,PO000464,2026-04-03,2975143.5,pending,
INV000465,PO000465,2026-02-16,46590.03,paid,2026-03-11
INV000466,PO000466,2024-10-23,10069.92,overdue,
INV000467,PO000467,2025-01-03,2731883.8,paid,2025-01-09
INV000468,PO000468,2026-06-23,625.1,paid,2026-07-25
INV000470,PO000470,2026-05-30,51851.3,paid,2026-06-17
INV000471,PO000471,2026-08-19,103383.63,paid,2026-09-29
INV000472,PO000472,2025-04-17,109817.12,pending,
INV000473,PO000473,2025-03-17,2774.2,paid,2025-03-23
INV000474,PO000474,2024-11-28,759.2,paid,2025-01-02
INV000475,PO000475,2025-05-18,88042.17,pending,
INV000476,PO000476,2025-05-12,19438.96,paid,2025-06-13
INV000477,PO000477,2025-06-04,13914.28,overdue,
INV000478,PO000478,2026-07-27,696460.14,paid,2026-08-12
INV000479,PO000479,2025-04-01,2278.47,paid,2025-04-17
INV000480,PO000480,2026-01-16,10558.07,paid,2026-01-26
INV000481,PO000481,2025-06-07,344.56,paid,2025-06-12
INV000483,PO000483,2026-06-06,59629.5,paid,2026-07-11
INV000485,PO000485,2025-08-02,375305.7,paid,2025-09-08
INV000486,PO000486,2026-06-09,180527.4,paid,2026-06-23
INV000487,PO000487,2024-12-02,104765.7,paid,2024-12-09
INV000488,PO000488,2025-11-16,144789.26,paid,2025-11-21
INV000489,PO000489,2026-05-30,225277.73,paid,2026-06-18
INV000490,PO000490,2024-11-10,1244.76,paid,2024-11-21
INV000491,PO000491,2025-02-11,3425.84,overdue,
INV000492,PO000492,2025-04-24,16089.58,paid,2025-05-12
INV000493,PO000493,2026-07-02,3533.2,pending,
INV000494,PO000494,2024-12-25,94101.3,paid,2025-01-08
INV000496,PO000496,2025-09-19,6954.6,paid,2025-10-10
INV000497,PO000497,2026-05-20,11510.01,paid,2026-07-01
INV000498,PO000498,2025-02-16,978.81,pending,
INV000499,PO000499,2026-01-05,252.5,paid,2026-02-08
INV000500,PO000500,2025-10-28,65710.0,pending,
INV000501,PO000501,2025-05-22,156.94,paid,2025-07-02
INV000502,PO000502,2026-03-06,554006.77,pending,
