shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity
SHP000110,SUP0018,WH0001,PRD0136,air,2026-07-28,2026-08-01,5,4,67679.67,149
SHP000111,SUP0026,WH0002,PRD0001,ocean,2026-06-01,2026-06-20,21,19,10184.91,205
SHP000112,SUP0026,WH0009,PRD0083,rail,2025-03-14,2025-03-19,5,5,2634.74,88
SHP000113,SUP0002,WH0009,PRD0126,road,2025-09-02,2025-09-03,1,1,587.69,241
SHP000114,SUP0019,WH0002,PRD0005,ocean,2025-01-11,2025-02-07,25,27,30907.15,511
SHP000115,SUP0039,WH0010,PRD0029,ocean,2026-06-28,2026-07-19,21,21,46528.93,946
SHP000116,SUP0028,WH0009,PRD0093,road,2026-05-28,2026-05-29,1,1,234.3,70
SHP000117,SUP0040,WH0001,PRD0079,ocean,2025-04-08,2025-04-15,8,7,3734.62,271
SHP000118,SUP0018,WH0010,PRD0062,air,2025-12-11,2025-12-14,4,3,54981.27,127
SHP000119,SUP0001,WH0004,PRD0015,ocean,2025-11-20,2025-12-09,19,19,5444.2,125
SHP000120,SUP0017,WH0001,PRD0062,rail,2024-12-23,2024-12-31,8,8,4124.53,85
SHP000121,SUP0032,WH0006,PRD0146,air,2026-03-11,2026-03-17,6,6,147715.56,238
SHP000122,SUP0003,WH0002,PRD0021,road,2025-09-30,2025-10-01,1,1,4669.79,200
SHP000123,SUP0032,WH0007,PRD0022,ocean,2026-03-23,2026-04-18,24,26,17878.52,319
SHP000124,SUP0039,WH0008,PRD0125,road,2025-09-24,2025-09-25,1,1,168.1,136
SHP000125,SUP0005,WH0010,PRD0018,ocean,2024-09-04,2024-10-02,25,28,12825.52,218
SHP000126,SUP0011,WH0001,PRD0137,ocean,2025-04-27,2025-05-23,27,26,10881.68,168
SHP000127,SUP0013,WH0010,PRD0033,rail,2024-09-18,2024-09-20,2,2,1726.42,281
SHP000128,SUP0014,WH0010,PRD0033,air,2026-07-10,2026-07-14,4,4,45156.0,122
SHP000129,SUP0013,WH0007,PRD0122,road,2026-06-03,2026-06-04,1,1,374.75,73
SHP000130,SUP0008,WH0007,PRD0141,ocean,2026-04-30,2026-05-14,15,14,5372.4,166
SHP000131,SUP0039,WH0005,PRD0043,ocean,2025-04-15,2025-05-02,18,17,11070.3,263
SHP000132,SUP0027,WH0004,PRD0068,rail,2024-10-16,2024-10-24,10,8,11757.01,202
SHP000133,SUP0022,WH0009,PRD0136,ocean,2026-06-03,2026-06-16,14,13,5743.61,188
SHP000134,SUP0027,WH0006,PRD0109,ocean,2026-07-23,2026-08-26,33,34,25367.03,308
SHP000135,SUP0009,WH0006,PRD0055,rail,2024-11-05,2024-11-06,1,1,136.6,96
SHP000136,SUP0014,WH0007,PRD0139,ocean,2025-08-22,2025-09-11,20,20,12894.89,278
SHP000137,SUP0025,WH0005,PRD0052,ocean,2024-10-24,2024-11-05,11,12,3355.34,156
SHP000138,SUP0039,WH0003,PRD0080,ocean,2026-03-10,2026-04-02,23,23,3345.93,62
SHP000139,SUP0001,WH0009,PRD0103,ocean,2026-03-13,2026-04-03,22,21,2309.83,44
SHP000140,SUP0019,WH0004,PRD0096,ocean,2024-12-06,2024-12-19,14,13,4129.71,139
SHP000141,SUP0031,WH0010,PRD0113,air,2025-08-15,2025-08-19,4,4,253274.09,570
SHP000142,SUP0010,WH0001,PRD0133,ocean,2025-10-08,2025-10-20,10,12,2554.4,142
SHP000143,SUP0010,WH0003,PRD0116,ocean,2025-03-15,2025-03-25,10,10,3340.78,165
SHP000144,SUP0005,WH0008,PRD0031,ocean,2026-05-30,2026-06-26,28,27,11237.64,163
SHP000145,SUP0038,WH0010,PRD0064,ocean,2025-07-08,2025-08-01,23,24,8161.67,148
SHP000146,SUP0017,WH0005,PRD0058,ocean,2025-02-04,2025-02-18,15,14,5731.54,181
SHP000147,SUP0031,WH0010,PRD0017,ocean,2025-09-30,2025-10-24,25,24,6753.98,114
SHP000148,SUP0016,WH0010,PRD0087,air,2026-02-15,2026-02-20,5,5,45408.46,100
SHP000149,SUP0010,WH0007,PRD0006,ocean,2025-01-28,2025-02-07,10,10,2023.68,105
SHP000150,SUP0022,WH0005,PRD0142,ocean,2025-04-18,2025-04-23,6,5,3051.99,327
SHP000151,SUP0007,WH0004,PRD0059,ocean,2026-08-27,2026-09-15,18,19,2948.11,70
SHP000152,SUP0034,WH0009,PRD0057,ocean,2025-12-19,2026-01-06,17,18,4091.2,104
SHP000153,SUP0024,WH0006,PRD0002,air,2025-07-19,2025-07-20,2,1,28799.3,347
SHP000154,SUP0006,WH0005,PRD0019,ocean,2025-09-14,2025-09-28,14,14,2843.34,96
SHP000155,SUP0023,WH0006,PRD0016,ocean,2024-11-30,2025-01-03,36,34,18167.2,203
SHP000156,SUP0001,WH0003,PRD0059,ocean,2025-02-14,2025-03-08,23,22,12225.56,226
SHP000157,SUP0015,WH0004,PRD0018,rail,2025-05-07,2025-05-11,5,4,8061.57,342
SHP000158,SUP0006,WH0008,PRD0009,rail,2025-11-05,2025-11-08,4,3,8595.73,420
SHP000159,SUP0039,WH0005,PRD0085,ocean,2025-02-18,2025-03-06,18,16,6398.04,152
SHP000160,SUP0008,WH0001,PRD0019,ocean,2025-02-10,2025-02-23,15,13,2918.43,93
SHP000161,SUP0030,WH0010,PRD0132,ocean,2024-10-25,2024-11-17,26,23,24416.45,387
SHP000162,SUP0017,WH0008,PRD0061,ocean,2025-12-06,2026-01-05,30,30,6958.7,96
SHP000163,SUP0017,WH0004,PRD0072,rail,2025-02-17,2025-02-23,9,6,7192.8,136
SHP000164,SUP0026,WH0006,PRD0125,ocean,2026-06-23,2026-07-22,27,29,9809.43,151
SHP000165,SUP0037,WH0005,PRD0055,ocean,2026-05-21,2026-06-20,30,30,37733.1,514
SHP000166,SUP0013,WH0010,PRD0139,rail,2024-10-25,2024-10-26,2,1,620.53,101
SHP000167,SUP0016,WH0007,PRD0034,ocean,2025-02-23,2025-03-17,24,22,14455.42,252
SHP000168,SUP0033,WH0009,PRD0147,ocean,2026-01-02,2026-01-21,19,19,6941.4,160
SHP000169,SUP0021,WH0007,PRD0148,air,2025-02-06,2025-02-09,3,3,44250.35,148
SHP000170,SUP0026,WH0009,PRD0122,rail,2024-12-09,2024-12-14,5,5,2305.4,77
SHP000171,SUP0029,WH0001,PRD0063,road,2026-07-15,2026-07-16,1,1,631.05,69
SHP000172,SUP0021,WH0006,PRD0122,ocean,2025-10-23,2025-11-24,32,32,58881.83,737
SHP000173,SUP0029,WH0010,PRD0105,road,2025-08-13,2025-08-14,1,1,124.2,138
SHP000174,SUP0040,WH0010,PRD0049,rail,2026-03-27,2026-03-29,4,2,2385.71,122
SHP000175,SUP0024,WH0007,PRD0025,ocean,2026-04-13,2026-05-05,24,22,3192.7,56
SHP000176,SUP0033,WH0010,PRD0025,ocean,2025-01-20,2025-02-07,18,18,16760.65,419
SHP000177,SUP0022,WH0003,PRD0111,rail,2024-11-13,2024-11-22,9,9,7135.87,129
SHP000178,SUP0007,WH0008,PRD0091,road,2025-07-13,2025-07-14,1,1,286.71,208
SHP000179,SUP0014,WH0005,PRD0109,air,2025-07-08,2025-07-13,5,5,107899.76,192
SHP000180,SUP0027,WH0007,PRD0106,air,2025-08-09,2025-08-13,4,4,43823.7,102
SHP000181,SUP0020,WH0009,PRD0120,ocean,2026-02-15,2026-03-03,15,16,4904.05,147
SHP000182,SUP0029,WH0008,PRD0014,ocean,2026-01-05,2026-01-27,21,22,10197.28,210
SHP000183,SUP0019,WH0004,PRD0026,rail,2026-08-19,2026-08-26,8,7,4208.94,85
SHP000184,SUP0037,WH0010,PRD0016,ocean,2024-11-14,2024-12-05,21,21,14545.49,304
SHP000185,SUP0007,WH0007,PRD0104,ocean,2025-06-23,2025-07-15,22,22,10277.48,201
SHP000186,SUP0018,WH0005,PRD0087,air,2025-05-08,2025-05-10,3,2,25020.35,79
SHP000187,SUP0032,WH0002,PRD0028,road,2026-05-22,2026-05-23,1,1,2308.89,103
SHP000188,SUP0027,WH0004,PRD0064,air,2025-03-03,2025-03-06,3,3,28810.49,110
SHP000189,SUP0017,WH0008,PRD0050,air,2025-01-20,2025-01-24,5,4,231594.24,426
SHP000190,SUP0018,WH0010,PRD0049,ocean,2025-07-26,2025-08-21,24,26,6234.1,108
SHP000191,SUP0034,WH0008,PRD0138,ocean,2025-07-07,2025-07-20,14,13,15504.66,520
SHP000192,SUP0014,WH0004,PRD0115,air,2025-03-25,2025-03-29,5,4,43916.77,77
SHP000193,SUP0038,WH0002,PRD0036,ocean,2025-03-04,2025-03-29,24,25,6817.22,121
SHP000194,SUP0005,WH0004,PRD0109,air,2026-07-06,2026-07-11,6,5,169214.88,263
SHP000195,SUP0035,WH0009,PRD0047,ocean,2025-07-22,2025-08-13,23,22,8602.39,155
SHP000196,SUP0021,WH0009,PRD0072,ocean,2026-05-22,2026-06-09,17,18,6504.35,165
SHP000197,SUP0004,WH0005,PRD0119,ocean,2025-10-08,2025-11-10,34,33,13291.46,155
SHP000198,SUP0018,WH0009,PRD0064,ocean,2024-10-10,2024-11-06,25,27,9167.04,150
SHP000199,SUP0007,WH0002,PRD0020,ocean,2026-08-30,2026-09-14,13,15,7283.26,275
SHP000200,SUP0010,WH0008,PRD0114,ocean,2026-05-03,2026-05-23,23,20,13021.74,242
SHP000201,SUP0014,WH0002,PRD0141,ocean,2026-08-08,2026-09-10,36,33,11794.54,132
SHP000202,SUP0021,WH0007,PRD0026,air,2026-07-08,2026-07-10,3,2,78036.08,261
SHP000203,SUP0011,WH0004,PRD0013,ocean,2026-05-13,2026-05-30,18,17,16370.71,406
SHP000204,SUP0016,WH0008,PRD0139,ocean,2025-01-02,2025-01-29,29,27,15985.1,227
SHP000205,SUP0007,WH0004,PRD0004,ocean,2025-08-22,2025-09-10,18,19,3200.8,76
SHP000206,SUP0027,WH0005,PRD0024,ocean,2025-02-06,2025-02-23,16,17,2220.25,63
SHP000207,SUP0003,WH0007,PRD0061,air,2025-06-22,2025-06-25,4,3,39784.0,92
SHP000208,SUP0002,WH0007,PRD0043,road,2024-10-16,2024-10-17,1,1,613.6,128
SHP000209,SUP0032,WH0003,PRD0105,ocean,2025-06-06,2025-06-28,24,22,12839.33,220
SHP000210,SUP0017,WH0008,PRD0125,ocean,2026-08-20,2026-09-19,30,30,13337.51,184
SHP000211,SUP0017,WH0005,PRD0124,ocean,2025-03-15,2025-03-31,15,16,1614.96,51
SHP000212,SUP0019,WH0007,PRD0055,road,2026-03-27,2026-03-28,1,1,2015.51,508
SHP000213,SUP0013,WH0010,PRD0103,road,2025-07-31,2025-08-01,1,1,1957.42,177
SHP000214,SUP0027,WH0005,PRD0016,air,2025-07-08,2025-07-10,3,2,67664.68,256
SHP000215,SUP0001,WH0005,PRD0043,air,2026-07-31,2026-08-04,4,4,181068.74,558
SHP000216,SUP0033,WH0010,PRD0098,air,2026-08-27,2026-08-29,3,2,29401.14,98
SHP000217,SUP0001,WH0004,PRD0001,air,2025-10-12,2025-10-16,4,4,38871.58,119
SHP000218,SUP0011,WH0006,PRD0100,ocean,2026-02-07,2026-03-16,36,37,35364.04,398
SHP000219,SUP0012,WH0005,PRD0068,ocean,2024-12-25,2025-01-14,20,20,3699.28,78
SHP000220,SUP0026,WH0004,PRD0117,ocean,2025-04-07,2025-04-15,9,8,4042.3,266
SHP000221,SUP0029,WH0010,PRD0074,road,2026-08-08,2026-08-09,1,1,272.7,303
SHP000222,SUP0025,WH0009,PRD0109,air,2025-10-29,2025-11-01,4,3,37162.77,113
SHP000223,SUP0039,WH0006,PRD0143,ocean,2025-10-02,2025-10-28,27,26,4118.33,64
SHP000224,SUP0018,WH0008,PRD0125,ocean,2026-03-01,2026-03-06,8,5,2737.43,192
SHP000225,SUP0034,WH0008,PRD0040,rail,2024-10-15,2024-10-23,8,8,22163.71,446
SHP000226,SUP0003,WH0008,PRD0049,rail,2025-11-02,2025-11-06,6,4,28773.86,943
SHP000227,SUP0026,WH0001,PRD0076,ocean,2025-09-04,2025-09-13,9,9,3118.28,176
SHP000228,SUP0002,WH0003,PRD0056,rail,2026-05-16,2026-05-19,2,3,1179.59,318
SHP000229,SUP0030,WH0002,PRD0015,rail,2024-12-27,2024-12-29,3,2,3445.19,296
SHP000230,SUP0008,WH0009,PRD0149,rail,2026-08-02,2026-08-12,9,10,26167.01,492
SHP000231,SUP0032,WH0007,PRD0139,ocean,2024-11-01,2024-11-23,24,22,6501.28,116
SHP000232,SUP0025,WH0010,PRD0016,ocean,2025-01-16,2025-02-04,18,19,10721.88,265
SHP000233,SUP0004,WH0004,PRD0081,ocean,2025-11-09,2025-12-15,35,36,3213.01,37
SHP000234,SUP0036,WH0005,PRD0015,ocean,2026-01-07,2026-01-27,18,20,4053.85,96
SHP000235,SUP0021,WH0007,PRD0013,ocean,2025-02-21,2025-03-12,18,19,4106.11,103
SHP000236,SUP0016,WH0010,PRD0150,ocean,2024-11-30,2024-12-23,25,23,6962.63,115
SHP000237,SUP0029,WH0006,PRD0123,ocean,2026-06-12,2026-06-29,21,17,3499.75,71
SHP000238,SUP0023,WH0001,PRD0129,ocean,2025-03-01,2025-03-25,27,24,7367.44,113
SHP000239,SUP0001,WH0007,PRD0136,ocean,2025-11-09,2025-11-30,22,21,8275.91,159
SHP000240,SUP0003,WH0006,PRD0041,air,2025-11-27,2025-12-03,6,6,186504.09,302
SHP000241,SUP0018,WH0004,PRD0015,air,2025-07-05,2025-07-07,3,2,77544.93,246
SHP000242,SUP0002,WH0001,PRD0131,rail,2025-11-01,2025-11-02,1,1,1606.37,719
SHP000243,SUP0019,WH0004,PRD0021,rail,2025-09-18,2025-09-26,8,8,4407.01,89
SHP000244,SUP0025,WH0004,PRD0048,ocean,2026-07-14,2026-07-24,11,10,2519.54,118
SHP000245,SUP0023,WH0007,PRD0018,ocean,2025-01-30,2025-02-27,27,28,11084.01,168
SHP000246,SUP0033,WH0009,PRD0018,ocean,2026-02-05,2026-02-24,19,19,25336.11,584
SHP000247,SUP0032,WH0005,PRD0061,rail,2025-02-24,2025-03-04,9,8,7837.13,140
SHP000248,SUP0006,WH0005,PRD0104,rail,2025-06-18,2025-06-27,8,9,14117.95,286
SHP000249,SUP0026,WH0002,PRD0031,ocean,2026-01-04,2026-01-23,21,19,9240.94,186
SHP000250,SUP0013,WH0003,PRD0146,rail,2025-04-09,2025-04-11,2,2,2364.27,507
SHP000251,SUP0022,WH0007,PRD0064,ocean,2025-04-21,2025-05-04,14,13,2571.91,83
SHP000252,SUP0012,WH0006,PRD0149,ocean,2026-03-03,2026-03-27,25,24,17896.87,301
SHP000253,SUP0040,WH0005,PRD0011,rail,2024-10-26,2024-10-30,5,4,3063.48,126
SHP000254,SUP0040,WH0008,PRD0021,ocean,2025-08-02,2025-08-21,20,19,3239.79,70
SHP000255,SUP0011,WH0008,PRD0108,rail,2026-08-29,2026-09-04,7,6,9230.43,220
SHP000256,SUP0010,WH0006,PRD0150,ocean,2026-08-28,2026-09-22,27,25,6623.76,102
SHP000257,SUP0031,WH0008,PRD0145,ocean,2024-10-27,2024-12-06,42,40,8940.41,85
SHP000258,SUP0022,WH0004,PRD0134,air,2025-02-05,2025-02-06,2,1,5585.15,76
SHP000259,SUP0016,WH0004,PRD0081,ocean,2025-03-15,2025-04-18,35,34,9809.86,112
SHP000260,SUP0007,WH0010,PRD0067,ocean,2026-07-13,2026-08-03,21,21,8869.13,183
SHP000261,SUP0020,WH0002,PRD0053,ocean,2026-06-05,2026-06-16,13,11,2356.18,86
SHP000262,SUP0033,WH0004,PRD0081,ocean,2026-06-04,2026-06-18,14,14,2993.61,103
SHP000263,SUP0022,WH0001,PRD0062,air,2025-05-30,2025-06-01,3,2,36697.2,163
SHP000264,SUP0027,WH0010,PRD0068,ocean,2024-12-27,2025-01-19,23,23,27196.83,506
SHP000265,SUP0016,WH0001,PRD0102,air,2026-05-02,2026-05-05,4,3,210190.4,478
SHP000266,SUP0026,WH0003,PRD0034,air,2026-01-27,2026-01-28,2,1,21735.18,144
SHP000267,SUP0014,WH0006,PRD0077,road,2025-11-22,2025-11-23,1,1,666.71,268
SHP000268,SUP0021,WH0008,PRD0118,rail,2026-08-21,2026-08-27,8,6,4921.93,99
SHP000269,SUP0001,WH0006,PRD0081,ocean,2025-12-22,2026-01-15,26,24,13930.25,221
SHP000270,SUP0026,WH0010,PRD0019,ocean,2024-09-09,2024-09-17,9,8,2557.83,153
