signal_id,supplier_node_id,month,country_risk_index,currency_volatility,sanctions_flag
RSK000053,SUP0003,2025-02,47.7,0.141,False
RSK000054,SUP0003,2025-03,48.1,0.096,False
RSK000055,SUP0003,2025-04,44.8,0.136,False
RSK000056,SUP0003,2025-05,43.2,0.107,False
RSK000057,SUP0003,2025-06,33.3,0.101,False
RSK000058,SUP0003,2025-07,39.7,0.091,False
RSK000059,SUP0003,2025-08,42.2,0.134,False
RSK000060,SUP0003,2025-09,46.2,0.105,False
RSK000061,SUP0003,2025-10,41.8,0.09,False
RSK000062,SUP0003,2025-11,43.8,0.116,False
RSK000063,SUP0003,2025-12,42.0,0.096,False
RSK000064,SUP0003,2026-01,44.6,0.117,False
RSK000065,SUP0003,2026-02,45.1,0.161,False
RSK000066,SUP0003,2026-03,44.9,0.113,False
RSK000067,SUP0003,2026-04,46.4,0.106,False
RSK000068,SUP0003,2026-05,37.6,0.117,False
RSK000069,SUP0003,2026-06,41.6,0.122,False
RSK000070,SUP0003,2026-07,40.0,0.171,False
RSK000071,SUP0003,2026-08,47.0,0.077,False
RSK000072,SUP0003,2026-09,41.5,0.119,False
RSK000073,SUP0004,2024-10,36.9,0.095,False
RSK000074,SUP0004,2024-11,44.5,0.069,False
RSK000075,SUP0004,2024-12,40.3,0.101,False
RSK000076,SUP0004,2025-01,34.6,0.152,False
RSK000077,SUP0004,2025-02,41.9,0.109,True
RSK000078,SUP0004,2025-03,32.8,0.099,False
RSK000079,SUP0004,2025-04,40.5,0.125,False
RSK000080,SUP0004,2025-05,44.7,0.09,False
RSK000081,SUP0004,2025-06,48.5,0.13,False
RSK000082,SUP0004,2025-07,32.9,0.096,False
RSK000083,SUP0004,2025-08,43.5,0.146,False
RSK000084,SUP0004,2025-09,36.7,0.16,False
RSK000085,SUP0004,2025-10,43.8,0.127,False
RSK000086,SUP0004,2025-11,42.8,0.147,False
RSK000087,SUP0004,2025-12,37.2,0.119,False
RSK000088,SUP0004,2026-01,37.6,0.16,True
RSK000089,SUP0004,2026-02,37.6,0.116,False
RSK000090,SUP0004,2026-03,42.5,0.134,False
RSK000091,SUP0004,2026-04,41.4,0.101,False
RSK000092,SUP0004,2026-05,47.5,0.07,False
RSK000093,SUP0004,2026-06,39.1,0.131,False
RSK000094,SUP0004,2026-07,34.5,0.123,False
RSK000095,SUP0004,2026-08,35.3,0.121,False
RSK000096,SUP0004,2026-09,43.6,0.108,False
RSK000097,SUP0005,2024-10,38.4,0.102,False
RSK000098,SUP0005,2024-11,40.6,0.122,False
RSK000099,SUP0005,2024-12,39.2,0.114,False
RSK000100,SUP0005,2025-01,42.7,0.145,False
RSK000101,SUP0005,2025-02,40.7,0.124,False
RSK000102,SUP0005,2025-03,37.3,0.11,False
RSK000103,SUP0005,2025-04,34.5,0.074,False
RSK000104,SUP0005,2025-05,43.1,0.086,False
RSK000105,SUP0005,2025-06,36.3,0.098,False
RSK000106,SUP0005,2025-07,41.2,0.128,False
RSK000107,SUP0005,2025-08,40.7,0.115,False
RSK000108,SUP0005,2025-09,33.7,0.098,False
RSK000109,SUP0005,2025-10,43.5,0.134,False
RSK000110,SUP0005,2025-11,43.2,0.123,False
RSK000111,SUP0005,2025-12,36.8,0.094,True
RSK000112,SUP0005,2026-01,35.8,0.11,False
RSK000113,SUP0005,2026-02,46.7,0.103,False
RSK000114,SUP0005,2026-03,38.9,0.115,False
RSK000115,SUP0005,2026-04,33.8,0.132,False
RSK000116,SUP0005,2026-05,38.5,0.098,False
RSK000117,SUP0005,2026-06,39.6,0.157,False
RSK000118,SUP0005,2026-07,43.2,0.159,False
RSK000119,SUP0005,2026-08,29.3,0.106,False
RSK000120,SUP0005,2026-09,39.8,0.121,False
RSK000121,SUP0006,2024-10,20.4,0.051,False
RSK000122,SUP0006,2024-11,27.8,0.063,False
RSK000123,SUP0006,2024-12,24.7,0.105,False
RSK000124,SUP0006,2025-01,31.0,0.049,False
RSK000125,SUP0006,2025-02,30.6,0.045,False
RSK000126,SUP0006,2025-03,27.9,0.102,False
RSK000127,SUP0006,2025-04,26.6,0.076,False
RSK000128,SUP0006,2025-05,26.4,0.061,False
RSK000129,SUP0006,2025-06,28.8,0.097,False
RSK000130,SUP0006,2025-07,26.4,0.085,False
RSK000131,SUP0006,2025-08,23.5,0.079,False
RSK000132,SUP0006,2025-09,37.2,0.066,False
RSK000133,SUP0006,2025-10,34.1,0.072,False
RSK000134,SUP0006,2025-11,26.1,0.096,False
RSK000135,SUP0006,2025-12,28.4,0.082,False
RSK000136,SUP0006,2026-01,24.0,0.074,False
RSK000137,SUP0006,2026-02,32.0,0.08,False
RSK000138,SUP0006,2026-03,29.4,0.094,False
RSK000139,SUP0006,2026-04,35.3,0.084,False
RSK000140,SUP0006,2026-05,32.8,0.068,False
RSK000141,SUP0006,2026-06,21.8,0.104,False
RSK000142,SUP0006,2026-07,28.0,0.077,False
RSK000143,SUP0006,2026-08,35.7,0.088,False
RSK000144,SUP0006,2026-09,26.1,0.059,True
RSK000145,SUP0007,2024-10,20.4,0.086,False
RSK000146,SUP0007,2024-11,26.1,0.048,False
RSK000147,SUP0007,2024-12,24.1,0.053,False
RSK000148,SUP0007,2025-01,29.2,0.068,False
RSK000149,SUP0007,2025-02,18.6,0.083,False
RSK000150,SUP0007,2025-03,25.8,0.037,False
RSK000151,SUP0007,2025-04,24.0,0.082,False
RSK000152,SUP0007,2025-05,20.0,0.047,False
RSK000153,SUP0007,2025-06,26.6,0.076,False
RSK000154,SUP0007,2025-07,24.0,0.067,False
RSK000155,SUP0007,2025-08,19.5,0.068,False
RSK000156,SUP0007,2025-09,17.1,0.081,False
RSK000157,SUP0007,2025-10,17.0,0.079,False
RSK000158,SUP0007,2025-11,20.1,0.061,False
RSK000159,SUP0007,2025-12,14.9,0.094,False
RSK000160,SUP0007,2026-01,12.2,0.093,False
RSK000161,SUP0007,2026-02,18.5,0.087,False
RSK000162,SUP0007,2026-03,29.9,0.077,False
RSK000163,SUP0007,2026-04,16.3,0.064,False
RSK000164,SUP0007,2026-05,28.8,0.072,False
RSK000165,SUP0007,2026-06,23.8,0.054,False
RSK000166,SUP0007,2026-07,19.0,0.054,False
RSK000167,SUP0007,2026-08,18.1,0.074,False
RSK000168,SUP0007,2026-09,27.3,0.055,False
RSK000169,SUP0008,2024-10,67.6,0.269,False
RSK000170,SUP0008,2024-11,69.2,0.305,False
RSK000171,SUP0008,2024-12,64.4,0.277,False
RSK000172,SUP0008,2025-01,62.5,0.178,False
RSK000173,SUP0008,2025-02,74.0,0.177,False
RSK000174,SUP0008,2025-03,67.5,0.244,False
RSK000175,SUP0008,2025-04,55.5,0.251,False
RSK000176,SUP0008,2025-05,70.4,0.299,False
RSK000177,SUP0008,2025-06,64.7,0.262,False
RSK000178,SUP0008,2025-07,59.7,0.278,False
RSK000179,SUP0008,2025-08,63.3,0.291,False
RSK000180,SUP0008,2025-09,57.7,0.217,False
RSK000181,SUP0008,2025-10,63.5,0.292,False
RSK000182,SUP0008,2025-11,66.4,0.281,False
RSK000183,SUP0008,2025-12,63.1,0.292,False
RSK000184,SUP0008,2026-01,66.0,0.21,False
RSK000185,SUP0008,2026-02,65.3,0.243,False
RSK000186,SUP0008,2026-03,63.8,0.258,False
RSK000187,SUP0008,2026-04,74.5,0.152,False
RSK000188,SUP0008,2026-05,65.7,0.238,False
RSK000189,SUP0008,2026-06,66.8,0.242,False
RSK000190,SUP0008,2026-07,67.1,0.288,False
RSK000191,SUP0008,2026-08,70.6,0.243,False
RSK000192,SUP0008,2026-09,64.4,0.188,False
RSK000193,SUP0009,2024-10,11.7,0.022,False
RSK000194,SUP0009,2024-11,11.9,0.029,False
RSK000195,SUP0009,2024-12,13.7,0.033,False
RSK000196,SUP0009,2025-01,17.8,0.027,False
RSK000197,SUP0009,2025-02,8.1,0.029,False
RSK000198,SUP0009,2025-03,18.9,0.032,False
RSK000199,SUP0009,2025-04,10.6,0.026,False
RSK000200,SUP0009,2025-05,16.2,0.023,False
RSK000201,SUP0009,2025-06,5.0,0.025,False
RSK000202,SUP0009,2025-07,17.0,0.034,False
RSK000203,SUP0009,2025-08,8.8,0.038,False
RSK000204,SUP0009,2025-09,12.7,0.032,False
RSK000205,SUP0009,2025-10,13.3,0.027,False
RSK000206,SUP0009,2025-11,14.3,0.029,False
RSK000207,SUP0009,2025-12,13.6,0.032,False
RSK000208,SUP0009,2026-01,11.4,0.022,False
RSK000209,SUP0009,2026-02,20.8,0.027,False
RSK000210,SUP0009,2026-03,11.2,0.018,False
RSK000211,SUP0009,2026-04,19.4,0.031,False
RSK000212,SUP0009,2026-05,13.1,0.031,False
RSK000213,SUP0009,2026-06,12.2,0.023,False
RSK000214,SUP0009,2026-07,10.9,0.023,False
RSK000215,SUP0009,2026-08,11.7,0.027,False
RSK000216,SUP0009,2026-09,19.6,0.028,False
RSK000217,SUP0010,2024-10,51.6,0.245,False
RSK000218,SUP0010,2024-11,55.8,0.154,False
RSK000219,SUP0010,2024-12,58.9,0.218,False
RSK000220,SUP0010,2025-01,49.2,0.213,False
RSK000221,SUP0010,2025-02,44.6,0.141,False
RSK000222,SUP0010,2025-03,49.5,0.149,False
RSK000223,SUP0010,2025-04,52.2,0.192,False
RSK000224,SUP0010,2025-05,58.6,0.199,False
RSK000225,SUP0010,2025-06,58.8,0.191,True
RSK000226,SUP0010,2025-07,55.6,0.182,False
RSK000227,SUP0010,2025-08,54.7,0.284,False
RSK000228,SUP0010,2025-09,54.0,0.167,False
RSK000229,SUP0010,2025-10,56.2,0.155,False
RSK000230,SUP0010,2025-11,59.5,0.145,False
RSK000231,SUP0010,2025-12,62.6,0.119,False
RSK000232,SUP0010,2026-01,59.9,0.166,False
RSK000233,SUP0010,2026-02,57.2,0.201,False
RSK000234,SUP0010,2026-03,46.3,0.222,False
RSK000235,SUP0010,2026-04,54.2,0.146,False
RSK000236,SUP0010,2026-05,53.5,0.244,False
RSK000237,SUP0010,2026-06,57.7,0.171,False
RSK000238,SUP0010,2026-07,52.0,0.205,False
RSK000239,SUP0010,2026-08,49.8,0.194,False
RSK000240,SUP0010,2026-09,56.6,0.242,False
RSK000241,SUP0011,2024-10,40.4,0.119,False
RSK000242,SUP0011,2024-11,43.1,0.121,False
RSK000243,SUP0011,2024-12,45.1,0.141,False
RSK000244,SUP0011,2025-01,45.1,0.119,False
RSK000245,SUP0011,2025-02,38.7,0.103,False
RSK000246,SUP0011,2025-03,48.5,0.111,False
RSK000247,SUP0011,2025-04,44.4,0.132,False
RSK000248,SUP0011,2025-05,44.7,0.106,False
RSK000249,SUP0011,2025-06,47.2,0.117,False
RSK000250,SUP0011,2025-07,43.0,0.094,False
RSK000251,SUP0011,2025-08,44.7,0.12,False
RSK000252,SUP0011,2025-09,45.1,0.094,False
RSK000253,SUP0011,2025-10,47.3,0.117,False
RSK000254,SUP0011,2025-11,43.8,0.155,False
RSK000255,SUP0011,2025-12,41.0,0.15,False
RSK000256,SUP0011,2026-01,41.1,0.156,False
RSK000257,SUP0011,2026-02,45.5,0.094,False
RSK000258,SUP0011,2026-03,43.7,0.095,False
RSK000259,SUP0011,2026-04,48.1,0.134,False
RSK000260,SUP0011,2026-05,45.5,0.138,False
RSK000261,SUP0011,2026-06,42.7,0.141,False
RSK000262,SUP0011,2026-07,42.3,0.119,False
RSK000263,SUP0011,2026-08,44.4,0.143,False
RSK000264,SUP0011,2026-09,42.0,0.109,False
RSK000265,SUP0012,2024-10,18.1,0.029,False
RSK000266,SUP0012,2024-11,15.1,0.042,False
RSK000267,SUP0012,2024-12,14.6,0.04,False
RSK000268,SUP0012,2025-01,11.2,0.047,False
RSK000269,SUP0012,2025-02,10.2,0.06,False
RSK000270,SUP0012,2025-03,9.3,0.065,False
RSK000271,SUP0012,2025-04,16.6,0.049,False
RSK000272,SUP0012,2025-05,17.5,0.035,False
RSK000273,SUP0012,2025-06,9.9,0.062,False
RSK000274,SUP0012,2025-07,10.5,0.062,False
RSK000275,SUP0012,2025-08,11.5,0.059,False
RSK000276,SUP0012,2025-09,15.5,0.041,False
RSK000277,SUP0012,2025-10,15.0,0.04,False
RSK000278,SUP0012,2025-11,9.1,0.059,False
RSK000279,SUP0012,2025-12,9.6,0.044,False
RSK000280,SUP0012,2026-01,13.0,0.046,False
RSK000281,SUP0012,2026-02,14.3,0.054,False
RSK000282,SUP0012,2026-03,12.9,0.052,False
RSK000283,SUP0012,2026-04,14.7,0.038,False
RSK000284,SUP0012,2026-05,14.8,0.036,False
RSK000285,SUP0012,2026-06,9.1,0.039,False
RSK000286,SUP0012,2026-07,9.4,0.054,False
RSK000287,SUP0012,2026-08,18.1,0.054,False
RSK000288,SUP0012,2026-09,13.6,0.059,False
RSK000289,SUP0013,2024-10,25.9,0.038,False
RSK000290,SUP0013,2024-11,10.6,0.041,False
RSK000291,SUP0013,2024-12,9.1,0.039,False
RSK000292,SUP0013,2025-01,21.5,0.032,False
RSK000293,SUP0013,2025-02,10.6,0.048,False
RSK000294,SUP0013,2025-03,6.6,0.057,False
RSK000295,SUP0013,2025-04,11.4,0.033,False
RSK000296,SUP0013,2025-05,17.2,0.045,False
RSK000297,SUP0013,2025-06,13.7,0.024,False
RSK000298,SUP0013,2025-07,12.2,0.035,False
RSK000299,SUP0013,2025-08,11.4,0.033,False
RSK000300,SUP0013,2025-09,10.1,0.04,False
RSK000301,SUP0013,2025-10,9.2,0.031,False
RSK000302,SUP0013,2025-11,7.5,0.027,False
RSK000303,SUP0013,2025-12,14.7,0.047,False
RSK000304,SUP0013,2026-01,11.3,0.04,False
RSK000305,SUP0013,2026-02,8.1,0.042,False
RSK000306,SUP0013,2026-03,7.0,0.06,False
RSK000307,SUP0013,2026-04,14.3,0.054,False
RSK000308,SUP0013,2026-05,13.7,0.048,False
RSK000309,SUP0013,2026-06,14.3,0.054,False
RSK000310,SUP0013,2026-07,8.6,0.05,False
RSK000311,SUP0013,2026-08,20.0,0.038,False
RSK000312,SUP0013,2026-09,16.2,0.044,False
RSK000313,SUP0014,2024-10,13.5,0.031,True
RSK000314,SUP0014,2024-11,15.4,0.028,False
RSK000315,SUP0014,2024-12,12.0,0.035,False
RSK000316,SUP0014,2025-01,12.4,0.035,False
RSK000317,SUP0014,2025-02,19.8,0.026,False
RSK000318,SUP0014,2025-03,16.4,0.019,False
RSK000319,SUP0014,2025-04,15.4,0.025,False
RSK000320,SUP0014,2025-05,9.9,0.028,False
RSK000321,SUP0014,2025-06,19.5,0.026,False
RSK000322,SUP0014,2025-07,15.2,0.034,False
RSK000323,SUP0014,2025-08,11.6,0.032,False
RSK000324,SUP0014,2025-09,10.2,0.029,False
RSK000325,SUP0014,2025-10,18.6,0.032,False
RSK000326,SUP0014,2025-11,10.4,0.025,False
RSK000327,SUP0014,2025-12,12.1,0.031,False
RSK000328,SUP0014,2026-01,16.1,0.023,False
RSK000329,SUP0014,2026-02,15.9,0.021,False
RSK000330,SUP0014,2026-03,16.4,0.029,False
RSK000331,SUP0014,2026-04,17.9,0.028,False
RSK000332,SUP0014,2026-05,7.9,0.037,False
RSK000333,SUP0014,2026-06,9.6,0.026,False
RSK000334,SUP0014,2026-07,16.0,0.04,False
RSK000335,SUP0014,2026-08,20.4,0.028,False
RSK000336,SUP0014,2026-09,15.6,0.029,False
RSK000337,SUP0015,2024-10,38.3,0.11,False
RSK000338,SUP0015,2024-11,37.1,0.108,False
RSK000339,SUP0015,2024-12,39.9,0.071,False
RSK000340,SUP0015,2025-01,42.8,0.097,False
RSK000341,SUP0015,2025-02,36.4,0.096,False
RSK000342,SUP0015,2025-03,32.3,0.076,False
RSK000343,SUP0015,2025-04,32.4,0.102,False
RSK000344,SUP0015,2025-05,36.9,0.067,False
RSK000345,SUP0015,2025-06,31.5,0.113,False
RSK000346,SUP0015,2025-07,40.4,0.112,False
RSK000347,SUP0015,2025-08,40.4,0.109,False
RSK000348,SUP0015,2025-09,41.2,0.115,False
RSK000349,SUP0015,2025-10,40.1,0.111,False
RSK000350,SUP0015,2025-11,38.2,0.116,False
RSK000351,SUP0015,2025-12,33.4,0.07,False
RSK000352,SUP0015,2026-01,40.4,0.069,False
RSK000353,SUP0015,2026-02,41.5,0.083,False
RSK000354,SUP0015,2026-03,29.9,0.106,False
RSK000355,SUP0015,2026-04,31.2,0.074,False
RSK000356,SUP0015,2026-05,38.1,0.117,False
RSK000357,SUP0015,2026-06,32.1,0.095,False
RSK000358,SUP0015,2026-07,33.7,0.103,False
RSK000359,SUP0015,2026-08,38.0,0.107,False
RSK000360,SUP0015,2026-09,43.1,0.072,False
RSK000361,SUP0016,2024-10,34.9,0.089,False
RSK000362,SUP0016,2024-11,46.9,0.13,False
RSK000363,SUP0016,2024-12,37.2,0.144,False
RSK000364,SUP0016,2025-01,46.0,0.114,False
RSK000365,SUP0016,2025-02,36.7,0.101,False
RSK000366,SUP0016,2025-03,40.5,0.112,False
RSK000367,SUP0016,2025-04,38.1,0.07,False
RSK000368,SUP0016,2025-05,40.8,0.11,False
RSK000369,SUP0016,2025-06,45.7,0.139,False
RSK000370,SUP0016,2025-07,40.5,0.116,False
RSK000371,SUP0016,2025-08,36.0,0.141,False
RSK000372,SUP0016,2025-09,38.4,0.148,False
RSK000373,SUP0016,2025-10,48.7,0.152,False
RSK000374,SUP0016,2025-11,38.4,0.116,False
RSK000375,SUP0016,2025-12,39.1,0.14,False
RSK000376,SUP0016,2026-01,43.0,0.109,False
RSK000377,SUP0016,2026-02,45.5,0.096,False
RSK000378,SUP0016,2026-03,38.2,0.116,False
RSK000379,SUP0016,2026-04,41.0,0.091,False
RSK000380,SUP0016,2026-05,38.3,0.077,False
RSK000381,SUP0016,2026-06,42.6,0.102,False
RSK000382,SUP0016,2026-07,45.0,0.098,False
RSK000383,SUP0016,2026-08,36.7,0.115,False
RSK000384,SUP0016,2026-09,43.1,0.097,False
RSK000385,SUP0017,2024-10,66.2,0.21,False
RSK000386,SUP0017,2024-11,71.5,0.313,False
RSK000387,SUP0017,2024-12,68.4,0.383,False
RSK000388,SUP0017,2025-01,73.6,0.347,False
RSK000389,SUP0017,2025-02,71.5,0.259,False
RSK000390,SUP0017,2025-03,65.9,0.292,False
RSK000391,SUP0017,2025-04,70.0,0.212,False
RSK000392,SUP0017,2025-05,58.6,0.198,False
RSK000393,SUP0017,2025-06,62.1,0.302,False
RSK000394,SUP0017,2025-07,63.0,0.297,False
RSK000395,SUP0017,2025-08,69.7,0.176,False
RSK000396,SUP0017,2025-09,61.7,0.254,False
RSK000397,SUP0017,2025-10,67.1,0.228,False
RSK000398,SUP0017,2025-11,64.5,0.298,False
RSK000399,SUP0017,2025-12,65.3,0.23,False
RSK000400,SUP0017,2026-01,70.0,0.359,False
RSK000401,SUP0017,2026-02,68.1,0.246,False
RSK000402,SUP0017,2026-03,67.6,0.341,False
RSK000403,SUP0017,2026-04,70.8,0.349,False
RSK000404,SUP0017,2026-05,69.4,0.222,False
RSK000405,SUP0017,2026-06,67.9,0.195,False
RSK000406,SUP0017,2026-07,65.4,0.229,False
RSK000407,SUP0017,2026-08,60.7,0.197,False
RSK000408,SUP0017,2026-09,68.7,0.224,True
RSK000409,SUP0018,2024-10,41.1,0.079,False
RSK000410,SUP0018,2024-11,32.5,0.133,False
RSK000411,SUP0018,2024-12,44.9,0.099,False
RSK000412,SUP0018,2025-01,41.7,0.14,False
RSK000413,SUP0018,2025-02,42.8,0.121,False
RSK000414,SUP0018,2025-03,45.3,0.09,False
RSK000415,SUP0018,2025-04,34.7,0.116,False
RSK000416,SUP0018,2025-05,44.4,0.097,False
RSK000417,SUP0018,2025-06,40.7,0.112,False
RSK000418,SUP0018,2025-07,39.4,0.088,False
RSK000419,SUP0018,2025-08,39.3,0.154,False
RSK000420,SUP0018,2025-09,50.3,0.148,False
RSK000421,SUP0018,2025-10,43.5,0.096,False
RSK000422,SUP0018,2025-11,49.6,0.104,False
RSK000423,SUP0018,2025-12,46.7,0.085,False
RSK000424,SUP0018,2026-01,38.6,0.11,False
RSK000425,SUP0018,2026-02,45.0,0.124,False
RSK000426,SUP0018,2026-03,31.8,0.116,False
RSK000427,SUP0018,2026-04,39.4,0.12,False
RSK000428,SUP0018,2026-05,41.1,0.142,False
RSK000429,SUP0018,2026-06,47.7,0.098,False
RSK000430,SUP0018,2026-07,44.4,0.137,False
RSK000431,SUP0018,2026-08,40.4,0.088,False
RSK000432,SUP0018,2026-09,46.7,0.148,False
RSK000433,SUP0019,2024-10,23.0,0.042,True
RSK000434,SUP0019,2024-11,12.0,0.03,False
RSK000435,SUP0019,2024-12,14.4,0.047,False
RSK000436,SUP0019,2025-01,10.3,0.026,True
RSK000437,SUP0019,2025-02,9.1,0.041,False
RSK000438,SUP0019,2025-03,19.6,0.048,False
RSK000439,SUP0019,2025-04,8.9,0.048,False
RSK000440,SUP0019,2025-05,13.4,0.03,False
RSK000441,SUP0019,2025-06,15.8,0.038,False
RSK000442,SUP0019,2025-07,7.8,0.046,False
RSK000443,SUP0019,2025-08,8.7,0.042,False
RSK000444,SUP0019,2025-09,11.0,0.046,False
RSK000445,SUP0019,2025-10,5.0,0.027,False
RSK000446,SUP0019,2025-11,5.5,0.052,False
RSK000447,SUP0019,2025-12,13.2,0.014,False
RSK000448,SUP0019,2026-01,26.1,0.063,False
RSK000449,SUP0019,2026-02,8.8,0.052,False
RSK000450,SUP0019,2026-03,17.6,0.02,False
RSK000451,SUP0019,2026-04,6.3,0.036,False
RSK000452,SUP0019,2026-05,12.7,0.043,False
RSK000453,SUP0019,2026-06,11.6,0.042,False
RSK000454,SUP0019,2026-07,12.8,0.037,False
RSK000455,SUP0019,2026-08,16.3,0.046,False
RSK000456,SUP0019,2026-09,11.4,0.036,False
RSK000457,SUP0020,2024-10,61.5,0.266,False
RSK000458,SUP0020,2024-11,73.1,0.235,False
RSK000459,SUP0020,2024-12,76.5,0.249,False
RSK000460,SUP0020,2025-01,66.3,0.356,False
RSK000461,SUP0020,2025-02,65.7,0.236,False
RSK000462,SUP0020,2025-03,68.6,0.215,False
RSK000463,SUP0020,2025-04,70.1,0.229,False
RSK000464,SUP0020,2025-05,60.6,0.249,False
RSK000465,SUP0020,2025-06,67.1,0.29,False
RSK000466,SUP0020,2025-07,65.4,0.287,False
RSK000467,SUP0020,2025-08,66.9,0.154,False
RSK000468,SUP0020,2025-09,60.9,0.229,False
RSK000469,SUP0020,2025-10,62.3,0.193,False
RSK000470,SUP0020,2025-11,66.0,0.213,False
RSK000471,SUP0020,2025-12,70.8,0.277,False
RSK000472,SUP0020,2026-01,66.5,0.303,False
RSK000473,SUP0020,2026-02,58.9,0.232,False
RSK000474,SUP0020,2026-03,60.4,0.181,False
RSK000475,SUP0020,2026-04,66.4,0.161,False
RSK000476,SUP0020,2026-05,60.5,0.217,False
RSK000477,SUP0020,2026-06,64.6,0.27,False
RSK000478,SUP0020,2026-07,64.3,0.206,False
RSK000479,SUP0020,2026-08,68.8,0.234,False
RSK000480,SUP0020,2026-09,64.9,0.249,False
RSK000481,SUP0021,2024-10,33.5,0.14,False
RSK000482,SUP0021,2024-11,40.1,0.077,False
RSK000483,SUP0021,2024-12,37.3,0.128,False
RSK000484,SUP0021,2025-01,43.2,0.106,False
RSK000485,SUP0021,2025-02,30.5,0.133,False
RSK000486,SUP0021,2025-03,37.8,0.12,True
RSK000487,SUP0021,2025-04,39.9,0.125,False
RSK000488,SUP0021,2025-05,36.8,0.111,False
RSK000489,SUP0021,2025-06,31.4,0.122,False
RSK000490,SUP0021,2025-07,42.3,0.118,False
RSK000491,SUP0021,2025-08,41.5,0.083,False
RSK000492,SUP0021,2025-09,37.8,0.125,False
RSK000493,SUP0021,2025-10,47.6,0.117,False
RSK000494,SUP0021,2025-11,36.0,0.102,False
RSK000495,SUP0021,2025-12,36.8,0.107,False
RSK000496,SUP0021,2026-01,43.1,0.109,False
RSK000497,SUP0021,2026-02,38.8,0.08,False
RSK000498,SUP0021,2026-03,34.1,0.084,False
RSK000499,SUP0021,2026-04,35.0,0.113,False
RSK000500,SUP0021,2026-05,41.2,0.094,False
RSK000501,SUP0021,2026-06,33.6,0.093,False
RSK000502,SUP0021,2026-07,38.5,0.101,False
RSK000503,SUP0021,2026-08,39.2,0.09,False
RSK000504,SUP0021,2026-09,38.0,0.068,False
RSK000505,SUP0022,2024-10,65.8,0.136,False
RSK000506,SUP0022,2024-11,70.1,0.235,False
RSK000507,SUP0022,2024-12,69.6,0.179,False
RSK000508,SUP0022,2025-01,68.9,0.227,False
RSK000509,SUP0022,2025-02,70.6,0.207,False
RSK000510,SUP0022,2025-03,62.4,0.247,False
RSK000511,SUP0022,2025-04,66.1,0.21,False
RSK000512,SUP0022,2025-05,65.5,0.124,False
RSK000513,SUP0022,2025-06,67.4,0.25,False
RSK000514,SUP0022,2025-07,65.8,0.257,False
RSK000515,SUP0022,2025-08,65.7,0.184,False
