edge_id,origin_node_id,dest_node_id,mode,avg_lead_time_days,avg_cost_per_unit,capacity
EDGE00108,DC0002,CUST0021,ocean,27.0,67.794,489
EDGE00109,DC0002,CUST0022,air,5.7,588.545,409
EDGE00110,DC0002,CUST0022,ocean,31.1,78.473,498
EDGE00111,DC0002,CUST0023,air,1.4,182.015,331
EDGE00112,DC0002,CUST0023,ocean,11.9,24.269,313
EDGE00113,DC0002,CUST0023,rail,6.4,40.448,689
EDGE00114,DC0002,CUST0024,air,2.4,230.049,398
EDGE00115,DC0002,CUST0024,ocean,13.8,30.673,442
EDGE00116,DC0002,CUST0024,rail,8.2,51.122,289
EDGE00117,DC0002,CUST0025,air,4.4,454.082,434
EDGE00118,DC0002,CUST0025,ocean,24.3,60.544,425
EDGE00119,DC0002,CUST0026,air,4.6,496.221,328
EDGE00120,DC0002,CUST0026,ocean,26.1,66.163,404
EDGE00121,DC0002,CUST0027,air,4.3,455.162,522
EDGE00122,DC0002,CUST0027,ocean,24.7,60.688,441
EDGE00123,DC0002,CUST0028,air,2.8,195.222,371
EDGE00124,DC0002,CUST0028,ocean,12.5,26.03,472
EDGE00125,DC0002,CUST0028,rail,8.1,43.383,694
EDGE00126,DC0002,CUST0029,air,4.5,492.265,272
EDGE00127,DC0002,CUST0029,ocean,26.5,65.635,452
EDGE00128,DC0002,CUST0030,air,3.9,493.831,453
EDGE00129,DC0002,CUST0030,ocean,27.0,65.844,637
EDGE00130,DC0003,CUST0001,air,3.1,407.913,908
EDGE00131,DC0003,CUST0001,ocean,22.3,54.388,613
EDGE00132,DC0003,CUST0002,air,1.3,160.342,399
EDGE00133,DC0003,CUST0002,ocean,10.2,21.379,354
EDGE00134,DC0003,CUST0002,rail,5.4,35.632,657
EDGE00135,DC0003,CUST0003,air,5.5,668.847,452
EDGE00136,DC0003,CUST0003,ocean,35.8,89.18,588
EDGE00137,DC0003,CUST0004,air,3.4,418.947,552
EDGE00138,DC0003,CUST0004,ocean,22.5,55.86,513
EDGE00139,DC0003,CUST0005,air,4.3,490.878,500
EDGE00140,DC0003,CUST0005,ocean,26.2,65.45,503
EDGE00141,DC0003,CUST0006,air,4.7,509.457,333
EDGE00142,DC0003,CUST0006,ocean,26.9,67.928,587
EDGE00143,DC0003,CUST0007,air,2.7,200.765,589
EDGE00144,DC0003,CUST0007,ocean,12.7,26.769,673
EDGE00145,DC0003,CUST0007,rail,8.0,44.614,335
EDGE00146,DC0003,CUST0008,air,4.2,516.701,453
EDGE00147,DC0003,CUST0008,ocean,27.4,68.894,454
EDGE00148,DC0003,CUST0009,air,3.6,425.905,305
EDGE00149,DC0003,CUST0009,ocean,23.5,56.787,566
EDGE00150,DC0003,CUST0010,air,4.3,578.151,476
EDGE00151,DC0003,CUST0010,ocean,30.1,77.087,680
EDGE00152,DC0003,CUST0011,air,4.3,478.849,272
EDGE00153,DC0003,CUST0011,ocean,26.4,63.847,535
EDGE00154,DC0003,CUST0012,air,6.0,758.043,547
EDGE00155,DC0003,CUST0012,ocean,38.9,101.072,429
EDGE00156,DC0003,CUST0013,air,1.2,159.532,608
EDGE00157,DC0003,CUST0013,ocean,10.9,21.271,445
EDGE00158,DC0003,CUST0013,rail,5.2,35.451,805
EDGE00159,DC0003,CUST0014,air,2.5,221.999,401
EDGE00160,DC0003,CUST0014,ocean,13.4,29.6,574
EDGE00161,DC0003,CUST0014,rail,6.9,49.333,465
EDGE00162,DC0003,CUST0015,air,4.8,459.407,439
EDGE00163,DC0003,CUST0015,ocean,23.9,61.254,519
EDGE00164,DC0003,CUST0016,air,4.6,475.325,593
EDGE00165,DC0003,CUST0016,ocean,25.8,63.377,476
EDGE00166,DC0003,CUST0017,air,5.2,675.443,701
EDGE00167,DC0003,CUST0017,ocean,35.6,90.059,520
EDGE00168,DC0003,CUST0018,air,3.3,447.57,338
EDGE00169,DC0003,CUST0018,ocean,24.3,59.676,410
EDGE00170,DC0003,CUST0019,air,4.0,443.32,603
EDGE00171,DC0003,CUST0019,ocean,24.1,59.109,426
EDGE00172,DC0003,CUST0020,air,4.6,463.707,488
EDGE00173,DC0003,CUST0020,ocean,25.3,61.828,562
EDGE00174,DC0003,CUST0021,air,4.5,511.815,508
EDGE00175,DC0003,CUST0021,ocean,27.3,68.242,720
EDGE00176,DC0003,CUST0022,air,5.4,584.344,381
EDGE00177,DC0003,CUST0022,ocean,30.9,77.913,433
EDGE00178,DC0003,CUST0023,air,1.5,179.284,702
EDGE00179,DC0003,CUST0023,ocean,11.1,23.905,616
EDGE00180,DC0003,CUST0023,rail,6.4,39.841,341
EDGE00181,DC0003,CUST0024,air,3.0,224.285,545
EDGE00182,DC0003,CUST0024,ocean,13.3,29.905,403
EDGE00183,DC0003,CUST0024,rail,7.7,49.841,1060
EDGE00184,DC0003,CUST0025,air,4.2,455.856,246
EDGE00185,DC0003,CUST0025,ocean,24.5,60.781,655
EDGE00186,DC0003,CUST0026,air,4.1,498.789,517
EDGE00187,DC0003,CUST0026,ocean,25.4,66.505,557
EDGE00188,DC0003,CUST0027,air,4.5,458.314,600
EDGE00189,DC0003,CUST0027,ocean,24.9,61.109,717
EDGE00190,DC0003,CUST0028,air,1.2,192.196,499
EDGE00191,DC0003,CUST0028,ocean,11.2,25.626,363
EDGE00192,DC0003,CUST0028,rail,6.4,42.71,306
EDGE00193,DC0003,CUST0029,air,4.8,493.391,459
EDGE00194,DC0003,CUST0029,ocean,27.1,65.785,556
EDGE00195,DC0003,CUST0030,air,4.4,495.5,486
EDGE00196,DC0003,CUST0030,ocean,27.1,66.067,609
EDGE00197,DC0004,CUST0001,air,3.5,422.814,494
EDGE00198,DC0004,CUST0001,ocean,23.3,56.375,600
EDGE00199,DC0004,CUST0002,air,2.0,299.29,323
EDGE00200,DC0004,CUST0002,ocean,17.1,39.905,381
EDGE00201,DC0004,CUST0003,air,3.3,363.785,760
EDGE00202,DC0004,CUST0003,ocean,20.1,48.505,570
EDGE00203,DC0004,CUST0004,air,3.8,402.461,359
EDGE00204,DC0004,CUST0004,ocean,22.8,53.662,580
EDGE00205,DC0004,CUST0005,rail,1.0,9.401,855
EDGE00206,DC0004,CUST0005,road,1.0,16.921,456
EDGE00207,DC0004,CUST0006,air,1.4,75.776,377
EDGE00208,DC0004,CUST0006,ocean,6.1,10.103,568
EDGE00209,DC0004,CUST0006,rail,3.7,16.839,440
EDGE00210,DC0004,CUST0007,air,3.3,396.816,321
EDGE00211,DC0004,CUST0007,ocean,21.7,52.909,631
EDGE00212,DC0004,CUST0008,air,2.0,73.949,356
EDGE00213,DC0004,CUST0008,ocean,6.5,9.86,437
EDGE00214,DC0004,CUST0008,rail,2.9,16.433,438
EDGE00215,DC0004,CUST0009,air,3.3,405.711,573
EDGE00216,DC0004,CUST0009,ocean,22.1,54.095,411
EDGE00217,DC0004,CUST0010,air,2.4,294.104,736
EDGE00218,DC0004,CUST0010,ocean,16.6,39.214,521
EDGE00219,DC0004,CUST0011,rail,1.8,4.536,466
EDGE00220,DC0004,CUST0011,road,1.0,8.164,643
EDGE00221,DC0004,CUST0012,air,3.8,412.92,410
EDGE00222,DC0004,CUST0012,ocean,22.7,55.056,513
EDGE00223,DC0004,CUST0013,air,2.9,306.788,421
EDGE00224,DC0004,CUST0013,ocean,17.8,40.905,723
EDGE00225,DC0004,CUST0014,air,3.5,420.092,343
EDGE00226,DC0004,CUST0014,ocean,23.3,56.012,478
EDGE00227,DC0004,CUST0015,rail,2.7,10.086,488
EDGE00228,DC0004,CUST0015,road,1.0,18.154,503
EDGE00229,DC0004,CUST0016,rail,2.4,5.941,242
EDGE00230,DC0004,CUST0016,road,1.0,10.695,426
EDGE00231,DC0004,CUST0017,air,3.7,357.749,892
EDGE00232,DC0004,CUST0017,ocean,19.1,47.7,356
EDGE00233,DC0004,CUST0018,rail,2.6,12.112,764
EDGE00234,DC0004,CUST0018,road,1.0,21.802,721
EDGE00235,DC0004,CUST0019,rail,2.4,12.783,294
EDGE00236,DC0004,CUST0019,road,1.0,23.009,287
EDGE00237,DC0004,CUST0020,rail,1.2,3.095,367
EDGE00238,DC0004,CUST0020,road,1.0,5.571,314
EDGE00239,DC0004,CUST0021,air,2.0,77.652,866
EDGE00240,DC0004,CUST0021,ocean,7.3,10.354,547
EDGE00241,DC0004,CUST0021,rail,2.8,17.256,544
EDGE00242,DC0004,CUST0022,air,2.6,300.44,769
EDGE00243,DC0004,CUST0022,ocean,17.6,40.059,365
EDGE00244,DC0004,CUST0023,air,5.4,637.579,436
EDGE00245,DC0004,CUST0023,ocean,33.6,85.01,466
EDGE00246,DC0004,CUST0024,air,3.5,409.362,353
EDGE00247,DC0004,CUST0024,ocean,22.4,54.582,578
EDGE00248,DC0004,CUST0025,rail,1.4,3.458,347
EDGE00249,DC0004,CUST0025,road,1.0,6.224,556
EDGE00250,DC0004,CUST0026,rail,2.5,9.879,907
EDGE00251,DC0004,CUST0026,road,1.0,17.783,741
EDGE00252,DC0004,CUST0027,rail,2.9,10.619,607
EDGE00253,DC0004,CUST0027,road,1.1,19.115,541
EDGE00254,DC0004,CUST0028,ocean,34.7,86.556,742
EDGE00255,DC0004,CUST0029,rail,1.7,12.347,330
EDGE00256,DC0004,CUST0029,road,1.0,22.224,539
EDGE00257,DC0004,CUST0030,rail,1.7,9.263,562
EDGE00258,DC0004,CUST0030,road,1.1,16.673,478
EDGE00259,DC0005,CUST0001,air,2.0,312.034,463
EDGE00260,DC0005,CUST0001,ocean,17.3,41.605,376
EDGE00261,DC0005,CUST0002,air,1.2,129.712,533
EDGE00262,DC0005,CUST0002,ocean,8.5,17.295,448
EDGE00263,DC0005,CUST0002,rail,5.0,28.825,663
EDGE00264,DC0005,CUST0003,air,4.8,564.862,626
EDGE00265,DC0005,CUST0003,ocean,31.4,75.315,326
EDGE00266,DC0005,CUST0004,air,2.7,302.37,364
EDGE00267,DC0005,CUST0004,ocean,17.5,40.316,428
EDGE00268,DC0005,CUST0005,air,2.3,228.062,383
EDGE00269,DC0005,CUST0005,ocean,13.7,30.408,467
EDGE00270,DC0005,CUST0005,rail,9.0,50.68,434
EDGE00271,DC0005,CUST0006,air,2.5,238.355,505
EDGE00272,DC0005,CUST0006,ocean,14.2,31.781,710
EDGE00273,DC0005,CUST0006,rail,9.0,52.968,561
EDGE00274,DC0005,CUST0007,air,3.8,330.229,1370
EDGE00275,DC0005,CUST0007,ocean,19.1,44.031,379
EDGE00276,DC0005,CUST0008,air,2.0,247.641,336
EDGE00277,DC0005,CUST0008,ocean,15.1,33.019,521
EDGE00278,DC0005,CUST0008,rail,8.5,55.031,594
EDGE00279,DC0005,CUST0009,air,2.0,309.407,131
EDGE00280,DC0005,CUST0009,ocean,18.0,41.254,348
EDGE00281,DC0005,CUST0010,air,4.4,476.488,961
EDGE00282,DC0005,CUST0010,ocean,25.1,63.532,494
EDGE00283,DC0005,CUST0011,air,2.6,225.434,656
EDGE00284,DC0005,CUST0011,ocean,13.5,30.058,480
EDGE00285,DC0005,CUST0011,rail,8.8,50.097,353
EDGE00286,DC0005,CUST0012,air,3.8,531.154,626
EDGE00287,DC0005,CUST0012,ocean,28.7,70.821,581
EDGE00288,DC0005,CUST0013,air,1.5,118.359,665
EDGE00289,DC0005,CUST0013,ocean,8.6,15.781,711
EDGE00290,DC0005,CUST0013,rail,4.0,26.302,440
EDGE00291,DC0005,CUST0014,air,3.5,365.373,487
EDGE00292,DC0005,CUST0014,ocean,20.3,48.716,445
EDGE00293,DC0005,CUST0015,air,1.7,192.744,493
EDGE00294,DC0005,CUST0015,ocean,11.6,25.699,576
EDGE00295,DC0005,CUST0015,rail,6.5,42.832,475
EDGE00296,DC0005,CUST0016,air,2.4,234.229,412
EDGE00297,DC0005,CUST0016,ocean,14.4,31.231,546
EDGE00298,DC0005,CUST0016,rail,7.6,52.051,314
EDGE00299,DC0005,CUST0017,air,4.8,560.657,608
EDGE00300,DC0005,CUST0017,ocean,30.1,74.754,272
EDGE00301,DC0005,CUST0018,air,1.2,179.142,481
EDGE00302,DC0005,CUST0018,ocean,12.1,23.886,533
EDGE00303,DC0005,CUST0018,rail,6.0,39.809,441
EDGE00304,DC0005,CUST0019,air,2.0,174.491,905
EDGE00305,DC0005,CUST0019,ocean,12.0,23.265,381
EDGE00306,DC0005,CUST0019,rail,6.8,38.776,392
EDGE00307,DC0005,CUST0020,air,2.0,220.13,214
EDGE00308,DC0005,CUST0020,ocean,13.6,29.351,356
EDGE00309,DC0005,CUST0020,rail,8.0,48.918,244
EDGE00310,DC0005,CUST0021,air,2.8,240.577,339
EDGE00311,DC0005,CUST0021,ocean,14.0,32.077,857
EDGE00312,DC0005,CUST0021,rail,8.0,53.462,512
EDGE00313,DC0005,CUST0022,air,4.5,484.121,519
EDGE00314,DC0005,CUST0022,ocean,27.1,64.55,523
EDGE00315,DC0005,CUST0023,air,3.7,449.568,630
EDGE00316,DC0005,CUST0023,ocean,24.6,59.942,615
EDGE00317,DC0005,CUST0024,air,3.2,357.665,584
EDGE00318,DC0005,CUST0024,ocean,19.9,47.689,340
EDGE00319,DC0005,CUST0025,air,2.5,214.407,671
EDGE00320,DC0005,CUST0025,ocean,12.2,28.588,458
EDGE00321,DC0005,CUST0025,rail,7.3,47.646,642
EDGE00322,DC0005,CUST0026,air,2.0,238.153,664
EDGE00323,DC0005,CUST0026,ocean,14.9,31.754,313
EDGE00324,DC0005,CUST0026,rail,8.3,52.923,1075
EDGE00325,DC0005,CUST0027,air,2.0,191.0,389
EDGE00326,DC0005,CUST0027,ocean,11.5,25.467,455
EDGE00327,DC0005,CUST0027,rail,6.8,42.444,600
EDGE00328,DC0005,CUST0028,air,4.1,464.088,348
EDGE00329,DC0005,CUST0028,ocean,25.3,61.878,407
EDGE00330,DC0005,CUST0029,air,2.6,261.297,722
EDGE00331,DC0005,CUST0029,ocean,15.6,34.84,414
EDGE00332,DC0005,CUST0029,rail,9.2,58.066,750
EDGE00333,DC0005,CUST0030,air,2.6,251.417,378
EDGE00334,DC0005,CUST0030,ocean,14.6,33.522,522
EDGE00335,DC0005,CUST0030,rail,8.4,55.871,465
EDGE00336,DC0006,CUST0001,air,2.6,312.972,506
EDGE00337,DC0006,CUST0001,ocean,17.2,41.73,361
EDGE00338,DC0006,CUST0002,air,1.4,127.994,349
EDGE00339,DC0006,CUST0002,ocean,8.6,17.066,539
EDGE00340,DC0006,CUST0002,rail,5.0,28.443,466
EDGE00341,DC0006,CUST0003,air,4.5,565.293,158
EDGE00342,DC0006,CUST0003,ocean,30.3,75.372,505
EDGE00343,DC0006,CUST0004,air,2.0,303.421,704
EDGE00344,DC0006,CUST0004,ocean,17.7,40.456,428
EDGE00345,DC0006,CUST0005,air,3.5,229.242,413
EDGE00346,DC0006,CUST0005,ocean,13.2,30.566,478
EDGE00347,DC0006,CUST0005,rail,8.4,50.943,329
EDGE00348,DC0006,CUST0006,air,2.2,239.715,245
EDGE00349,DC0006,CUST0006,ocean,14.9,31.962,640
EDGE00350,DC0006,CUST0006,rail,8.4,53.27,657
EDGE00351,DC0006,CUST0007,air,3.3,328.625,435
EDGE00352,DC0006,CUST0007,ocean,18.2,43.817,320
EDGE00353,DC0006,CUST0008,air,2.4,248.96,740
EDGE00354,DC0006,CUST0008,ocean,14.9,33.195,455
EDGE00355,DC0006,CUST0008,rail,9.0,55.324,541
EDGE00356,DC0006,CUST0009,air,2.5,310.477,331
EDGE00357,DC0006,CUST0009,ocean,17.7,41.397,481
EDGE00358,DC0006,CUST0010,air,4.8,476.605,473
EDGE00359,DC0006,CUST0010,ocean,25.5,63.547,801
EDGE00360,DC0006,CUST0011,air,2.3,226.448,473
EDGE00361,DC0006,CUST0011,ocean,14.4,30.193,541
EDGE00362,DC0006,CUST0011,rail,8.2,50.322,524
EDGE00363,DC0006,CUST0012,air,4.6,532.874,403
EDGE00364,DC0006,CUST0012,ocean,28.8,71.05,369
EDGE00365,DC0006,CUST0013,air,1.4,116.712,587
EDGE00366,DC0006,CUST0013,ocean,8.8,15.562,547
EDGE00367,DC0006,CUST0013,rail,4.8,25.936,644
EDGE00368,DC0006,CUST0014,air,3.3,363.779,446
EDGE00369,DC0006,CUST0014,ocean,21.0,48.504,457
EDGE00370,DC0006,CUST0015,air,2.2,193.968,606
EDGE00371,DC0006,CUST0015,ocean,12.0,25.862,685
EDGE00372,DC0006,CUST0015,rail,7.0,43.104,331
EDGE00373,DC0006,CUST0016,air,2.3,235.069,302
EDGE00374,DC0006,CUST0016,ocean,13.1,31.342,301
EDGE00375,DC0006,CUST0016,rail,8.8,52.237,612
EDGE00376,DC0006,CUST0017,air,4.3,561.148,516
EDGE00377,DC0006,CUST0017,ocean,29.0,74.82,390
EDGE00378,DC0006,CUST0018,air,1.2,180.394,308
EDGE00379,DC0006,CUST0018,ocean,11.2,24.053,385
EDGE00380,DC0006,CUST0018,rail,6.3,40.088,375
EDGE00381,DC0006,CUST0019,air,1.3,175.75,409
EDGE00382,DC0006,CUST0019,ocean,11.1,23.433,426
EDGE00383,DC0006,CUST0019,rail,6.2,39.055,429
EDGE00384,DC0006,CUST0020,air,2.3,220.98,530
EDGE00385,DC0006,CUST0020,ocean,14.2,29.464,602
EDGE00386,DC0006,CUST0020,rail,7.2,49.107,644
EDGE00387,DC0006,CUST0021,air,2.6,241.942,403
EDGE00388,DC0006,CUST0021,ocean,14.1,32.259,626
EDGE00389,DC0006,CUST0021,rail,8.5,53.765,448
EDGE00390,DC0006,CUST0022,air,4.5,484.251,317
EDGE00391,DC0006,CUST0022,ocean,26.4,64.567,426
EDGE00392,DC0006,CUST0023,air,3.6,448.138,230
EDGE00393,DC0006,CUST0023,ocean,24.7,59.752,346
EDGE00394,DC0006,CUST0024,air,3.4,356.089,541
EDGE00395,DC0006,CUST0024,ocean,18.8,47.479,602
EDGE00396,DC0006,CUST0025,air,2.4,215.213,411
EDGE00397,DC0006,CUST0025,ocean,13.9,28.695,516
EDGE00398,DC0006,CUST0025,rail,7.9,47.825,347
EDGE00399,DC0006,CUST0026,air,2.5,239.304,310
EDGE00400,DC0006,CUST0026,ocean,13.8,31.907,455
EDGE00401,DC0006,CUST0026,rail,8.8,53.179,375
EDGE00402,DC0006,CUST0027,air,1.9,192.237,394
EDGE00403,DC0006,CUST0027,ocean,11.2,25.632,879
EDGE00404,DC0006,CUST0027,rail,6.5,42.719,254
EDGE00405,DC0006,CUST0028,air,4.5,462.639,514
EDGE00406,DC0006,CUST0028,ocean,25.4,61.685,556
EDGE00407,DC0006,CUST0029,air,2.6,262.067,920
EDGE00408,DC0006,CUST0029,ocean,16.0,34.942,491
EDGE00409,DC0006,CUST0029,rail,9.4,58.237,748
EDGE00410,DC0006,CUST0030,air,2.2,252.33,409
EDGE00411,DC0006,CUST0030,ocean,14.2,33.644,504
EDGE00412,DC0006,CUST0030,rail,8.2,56.073,599
EDGE00413,SUP0001,WH0001,ocean,20.7,52.005,571
EDGE00414,SUP0001,WH0002,air,2.0,204.534,788
EDGE00415,SUP0001,WH0002,ocean,14.6,27.271,298
EDGE00416,SUP0001,WH0002,rail,7.3,45.452,812
EDGE00417,SUP0001,WH0003,air,3.2,405.716,264
EDGE00418,SUP0001,WH0003,ocean,23.2,54.095,436
EDGE00419,SUP0001,WH0004,air,4.0,326.652,338
EDGE00420,SUP0001,WH0004,ocean,18.6,43.554,655
EDGE00421,SUP0001,WH0005,air,3.3,324.496,655
EDGE00422,SUP0001,WH0005,ocean,18.8,43.266,618
EDGE00423,SUP0001,WH0006,ocean,24.0,63.033,1074
EDGE00424,SUP0001,WH0007,air,3.4,390.373,426
EDGE00425,SUP0001,WH0007,ocean,21.3,52.05,818
EDGE00426,SUP0001,WH0008,rail,1.0,2.552,267
EDGE00427,SUP0001,WH0008,road,1.0,4.593,582
EDGE00428,SUP0001,WH0009,air,3.5,393.721,835
EDGE00429,SUP0001,WH0009,ocean,21.3,52.496,794
EDGE00430,SUP0001,WH0010,air,3.5,370.938,524
EDGE00431,SUP0001,WH0010,ocean,19.8,49.458,574
EDGE00432,SUP0002,WH0001,rail,1.0,2.234,754
EDGE00433,SUP0002,WH0001,road,1.0,4.021,502
EDGE00434,SUP0002,WH0002,air,5.0,458.783,719
EDGE00435,SUP0002,WH0002,ocean,25.3,61.171,596
EDGE00436,SUP0002,WH0003,rail,1.7,3.709,560
EDGE00437,SUP0002,WH0003,road,1.0,6.677,400
EDGE00438,SUP0002,WH0004,air,2.0,226.529,549
EDGE00439,SUP0002,WH0004,ocean,14.0,30.204,360
EDGE00440,SUP0002,WH0004,rail,8.8,50.34,439
EDGE00441,SUP0002,WH0005,air,3.0,218.955,485
EDGE00442,SUP0002,WH0005,ocean,14.5,29.194,384
EDGE00443,SUP0002,WH0005,rail,8.0,48.657,67
EDGE00444,SUP0002,WH0006,air,2.0,353.149,264
EDGE00445,SUP0002,WH0006,ocean,20.0,47.087,230
EDGE00446,SUP0002,WH0007,road,1.0,4.794,354
EDGE00447,SUP0002,WH0008,air,3.5,395.201,272
EDGE00448,SUP0002,WH0008,ocean,22.0,52.693,446
