snapshot_id,warehouse_node_id,product_id,snapshot_date,stock_qty,reorder_point,safety_stock
INVSNP0000034,WH0001,PRD0022,2025-07-01,698,177,71
INVSNP0000035,WH0001,PRD0022,2025-08-01,636,177,71
INVSNP0000036,WH0001,PRD0022,2025-09-01,686,177,71
INVSNP0000037,WH0001,PRD0022,2025-10-01,721,177,71
INVSNP0000038,WH0001,PRD0022,2025-11-01,521,177,71
INVSNP0000039,WH0001,PRD0022,2025-12-01,614,177,71
INVSNP0000040,WH0001,PRD0022,2026-01-01,686,177,71
INVSNP0000041,WH0001,PRD0022,2026-02-01,677,177,71
INVSNP0000042,WH0001,PRD0022,2026-03-01,598,177,71
INVSNP0000043,WH0001,PRD0022,2026-04-01,680,177,71
INVSNP0000044,WH0001,PRD0022,2026-05-01,923,177,71
INVSNP0000045,WH0001,PRD0022,2026-06-01,720,177,71
INVSNP0000046,WH0001,PRD0022,2026-07-01,681,177,71
INVSNP0000047,WH0001,PRD0022,2026-08-01,791,177,71
INVSNP0000048,WH0001,PRD0022,2026-09-01,863,177,71
INVSNP0000049,WH0001,PRD0141,2024-10-01,174,63,25
INVSNP0000050,WH0001,PRD0141,2024-11-01,256,63,25
INVSNP0000051,WH0001,PRD0141,2024-12-01,315,63,25
INVSNP0000052,WH0001,PRD0141,2025-01-01,208,63,25
INVSNP0000053,WH0001,PRD0141,2025-02-01,245,63,25
INVSNP0000054,WH0001,PRD0141,2025-03-01,285,63,25
INVSNP0000055,WH0001,PRD0141,2025-04-01,277,63,25
INVSNP0000056,WH0001,PRD0141,2025-05-01,244,63,25
INVSNP0000057,WH0001,PRD0141,2025-06-01,236,63,25
INVSNP0000058,WH0001,PRD0141,2025-07-01,283,63,25
INVSNP0000059,WH0001,PRD0141,2025-08-01,293,63,25
INVSNP0000060,WH0001,PRD0141,2025-09-01,272,63,25
INVSNP0000061,WH0001,PRD0141,2025-10-01,317,63,25
INVSNP0000062,WH0001,PRD0141,2025-11-01,210,63,25
INVSNP0000063,WH0001,PRD0141,2025-12-01,301,63,25
INVSNP0000064,WH0001,PRD0141,2026-01-01,276,63,25
INVSNP0000065,WH0001,PRD0141,2026-02-01,296,63,25
INVSNP0000066,WH0001,PRD0141,2026-03-01,245,63,25
INVSNP0000067,WH0001,PRD0141,2026-04-01,245,63,25
INVSNP0000068,WH0001,PRD0141,2026-05-01,257,63,25
INVSNP0000069,WH0001,PRD0141,2026-06-01,302,63,25
INVSNP0000070,WH0001,PRD0141,2026-07-01,225,63,25
INVSNP0000071,WH0001,PRD0141,2026-08-01,226,63,25
INVSNP0000072,WH0001,PRD0141,2026-09-01,302,63,25
INVSNP0000073,WH0001,PRD0063,2024-10-01,3349,797,318
INVSNP0000074,WH0001,PRD0063,2024-11-01,2905,797,318
INVSNP0000075,WH0001,PRD0063,2024-12-01,2964,797,318
INVSNP0000076,WH0001,PRD0063,2025-01-01,3430,797,318
INVSNP0000077,WH0001,PRD0063,2025-02-01,3156,797,318
INVSNP0000078,WH0001,PRD0063,2025-03-01,3412,797,318
INVSNP0000079,WH0001,PRD0063,2025-04-01,3295,797,318
INVSNP0000080,WH0001,PRD0063,2025-05-01,3703,797,318
INVSNP0000081,WH0001,PRD0063,2025-06-01,3227,797,318
INVSNP0000082,WH0001,PRD0063,2025-07-01,3661,797,318
INVSNP0000083,WH0001,PRD0063,2025-08-01,3797,797,318
INVSNP0000084,WH0001,PRD0063,2025-09-01,3144,797,318
INVSNP0000085,WH0001,PRD0063,2025-10-01,2713,797,318
INVSNP0000086,WH0001,PRD0063,2025-11-01,3202,797,318
INVSNP0000087,WH0001,PRD0063,2025-12-01,3041,797,318
INVSNP0000088,WH0001,PRD0063,2026-01-01,3200,797,318
INVSNP0000089,WH0001,PRD0063,2026-02-01,3686,797,318
INVSNP0000090,WH0001,PRD0063,2026-03-01,3584,797,318
INVSNP0000091,WH0001,PRD0063,2026-04-01,2708,797,318
INVSNP0000092,WH0001,PRD0063,2026-05-01,2674,797,318
INVSNP0000093,WH0001,PRD0063,2026-06-01,3348,797,318
INVSNP0000094,WH0001,PRD0063,2026-07-01,3333,797,318
INVSNP0000095,WH0001,PRD0063,2026-08-01,2803,797,318
INVSNP0000096,WH0001,PRD0063,2026-09-01,3609,797,318
INVSNP0000097,WH0001,PRD0113,2024-10-01,843,321,128
INVSNP0000098,WH0001,PRD0113,2024-11-01,1838,321,128
INVSNP0000099,WH0001,PRD0113,2024-12-01,1513,321,128
INVSNP0000100,WH0001,PRD0113,2025-01-01,1132,321,128
INVSNP0000101,WH0001,PRD0113,2025-02-01,1057,321,128
INVSNP0000102,WH0001,PRD0113,2025-03-01,1381,321,128
INVSNP0000103,WH0001,PRD0113,2025-04-01,1445,321,128
INVSNP0000104,WH0001,PRD0113,2025-05-01,1359,321,128
INVSNP0000105,WH0001,PRD0113,2025-06-01,1530,321,128
INVSNP0000106,WH0001,PRD0113,2025-07-01,1390,321,128
INVSNP0000107,WH0001,PRD0113,2025-08-01,1188,321,128
INVSNP0000108,WH0001,PRD0113,2025-09-01,1620,321,128
INVSNP0000109,WH0001,PRD0113,2025-10-01,1249,321,128
INVSNP0000110,WH0001,PRD0113,2025-11-01,1099,321,128
INVSNP0000111,WH0001,PRD0113,2025-12-01,1384,321,128
INVSNP0000112,WH0001,PRD0113,2026-01-01,1375,321,128
INVSNP0000113,WH0001,PRD0113,2026-02-01,1517,321,128
INVSNP0000114,WH0001,PRD0113,2026-03-01,1278,321,128
INVSNP0000115,WH0001,PRD0113,2026-04-01,1545,321,128
INVSNP0000116,WH0001,PRD0113,2026-05-01,1323,321,128
INVSNP0000117,WH0001,PRD0113,2026-06-01,1276,321,128
INVSNP0000118,WH0001,PRD0113,2026-07-01,1713,321,128
INVSNP0000119,WH0001,PRD0113,2026-08-01,1342,321,128
INVSNP0000120,WH0001,PRD0113,2026-09-01,1000,321,128
INVSNP0000121,WH0001,PRD0036,2024-10-01,4742,959,383
INVSNP0000122,WH0001,PRD0036,2024-11-01,3273,959,383
INVSNP0000123,WH0001,PRD0036,2024-12-01,3138,959,383
INVSNP0000124,WH0001,PRD0036,2025-01-01,3559,959,383
INVSNP0000125,WH0001,PRD0036,2025-02-01,3209,959,383
INVSNP0000126,WH0001,PRD0036,2025-03-01,3199,959,383
INVSNP0000127,WH0001,PRD0036,2025-04-01,2947,959,383
INVSNP0000128,WH0001,PRD0036,2025-05-01,4172,959,383
INVSNP0000129,WH0001,PRD0036,2025-06-01,4245,959,383
INVSNP0000130,WH0001,PRD0036,2025-07-01,4398,959,383
INVSNP0000131,WH0001,PRD0036,2025-08-01,4850,959,383
INVSNP0000132,WH0001,PRD0036,2025-09-01,3727,959,383
INVSNP0000133,WH0001,PRD0036,2025-10-01,3821,959,383
INVSNP0000134,WH0001,PRD0036,2025-11-01,4060,959,383
INVSNP0000135,WH0001,PRD0036,2025-12-01,2950,959,383
INVSNP0000136,WH0001,PRD0036,2026-01-01,4650,959,383
INVSNP0000137,WH0001,PRD0036,2026-02-01,3708,959,383
INVSNP0000138,WH0001,PRD0036,2026-03-01,4095,959,383
INVSNP0000139,WH0001,PRD0036,2026-04-01,3426,959,383
INVSNP0000140,WH0001,PRD0036,2026-05-01,3025,959,383
INVSNP0000141,WH0001,PRD0036,2026-06-01,4171,959,383
INVSNP0000142,WH0001,PRD0036,2026-07-01,4053,959,383
INVSNP0000143,WH0001,PRD0036,2026-08-01,3809,959,383
INVSNP0000144,WH0001,PRD0036,2026-09-01,4156,959,383
INVSNP0000145,WH0001,PRD0121,2024-10-01,4345,945,378
INVSNP0000146,WH0001,PRD0121,2024-11-01,4277,945,378
INVSNP0000147,WH0001,PRD0121,2024-12-01,3978,945,378
INVSNP0000148,WH0001,PRD0121,2025-01-01,4766,945,378
INVSNP0000149,WH0001,PRD0121,2025-02-01,3042,945,378
INVSNP0000150,WH0001,PRD0121,2025-03-01,3663,945,378
INVSNP0000151,WH0001,PRD0121,2025-04-01,3576,945,378
INVSNP0000152,WH0001,PRD0121,2025-05-01,3258,945,378
INVSNP0000153,WH0001,PRD0121,2025-06-01,3737,945,378
INVSNP0000154,WH0001,PRD0121,2025-07-01,3022,945,378
INVSNP0000155,WH0001,PRD0121,2025-08-01,4132,945,378
INVSNP0000156,WH0001,PRD0121,2025-09-01,3567,945,378
INVSNP0000157,WH0001,PRD0121,2025-10-01,3848,945,378
INVSNP0000158,WH0001,PRD0121,2025-11-01,4032,945,378
INVSNP0000159,WH0001,PRD0121,2025-12-01,3795,945,378
INVSNP0000160,WH0001,PRD0121,2026-01-01,3810,945,378
INVSNP0000161,WH0001,PRD0121,2026-02-01,4380,945,378
INVSNP0000162,WH0001,PRD0121,2026-03-01,4255,945,378
INVSNP0000163,WH0001,PRD0121,2026-04-01,3708,945,378
INVSNP0000164,WH0001,PRD0121,2026-05-01,3786,945,378
INVSNP0000165,WH0001,PRD0121,2026-06-01,3672,945,378
INVSNP0000166,WH0001,PRD0121,2026-07-01,3752,945,378
INVSNP0000167,WH0001,PRD0121,2026-08-01,3174,945,378
INVSNP0000168,WH0001,PRD0121,2026-09-01,4624,945,378
INVSNP0000169,WH0001,PRD0072,2024-10-01,4840,1095,438
INVSNP0000170,WH0001,PRD0072,2024-11-01,4045,1095,438
INVSNP0000171,WH0001,PRD0072,2024-12-01,5125,1095,438
INVSNP0000172,WH0001,PRD0072,2025-01-01,5546,1095,438
INVSNP0000173,WH0001,PRD0072,2025-02-01,4437,1095,438
INVSNP0000174,WH0001,PRD0072,2025-03-01,4172,1095,438
INVSNP0000175,WH0001,PRD0072,2025-04-01,4909,1095,438
INVSNP0000176,WH0001,PRD0072,2025-05-01,4843,1095,438
INVSNP0000177,WH0001,PRD0072,2025-06-01,4396,1095,438
INVSNP0000178,WH0001,PRD0072,2025-07-01,4854,1095,438
INVSNP0000179,WH0001,PRD0072,2025-08-01,4785,1095,438
INVSNP0000180,WH0001,PRD0072,2025-09-01,4573,1095,438
INVSNP0000181,WH0001,PRD0072,2025-10-01,5072,1095,438
INVSNP0000182,WH0001,PRD0072,2025-11-01,3452,1095,438
INVSNP0000183,WH0001,PRD0072,2025-12-01,5120,1095,438
INVSNP0000184,WH0001,PRD0072,2026-01-01,3339,1095,438
INVSNP0000185,WH0001,PRD0072,2026-02-01,4258,1095,438
INVSNP0000186,WH0001,PRD0072,2026-03-01,4714,1095,438
INVSNP0000187,WH0001,PRD0072,2026-04-01,4738,1095,438
INVSNP0000188,WH0001,PRD0072,2026-05-01,4051,1095,438
INVSNP0000189,WH0001,PRD0072,2026-06-01,6140,1095,438
INVSNP0000190,WH0001,PRD0072,2026-07-01,5959,1095,438
INVSNP0000191,WH0001,PRD0072,2026-08-01,4158,1095,438
INVSNP0000192,WH0001,PRD0072,2026-09-01,4508,1095,438
INVSNP0000193,WH0001,PRD0042,2024-10-01,1656,349,139
INVSNP0000194,WH0001,PRD0042,2024-11-01,1284,349,139
INVSNP0000195,WH0001,PRD0042,2024-12-01,1276,349,139
INVSNP0000196,WH0001,PRD0042,2025-01-01,1294,349,139
INVSNP0000197,WH0001,PRD0042,2025-02-01,1164,349,139
INVSNP0000198,WH0001,PRD0042,2025-03-01,1173,349,139
INVSNP0000199,WH0001,PRD0042,2025-04-01,1204,349,139
INVSNP0000200,WH0001,PRD0042,2025-05-01,1410,349,139
INVSNP0000201,WH0001,PRD0042,2025-06-01,1423,349,139
INVSNP0000202,WH0001,PRD0042,2025-07-01,1710,349,139
INVSNP0000203,WH0001,PRD0042,2025-08-01,1394,349,139
INVSNP0000204,WH0001,PRD0042,2025-09-01,902,349,139
INVSNP0000205,WH0001,PRD0042,2025-10-01,1372,349,139
INVSNP0000206,WH0001,PRD0042,2025-11-01,1435,349,139
INVSNP0000207,WH0001,PRD0042,2025-12-01,1197,349,139
INVSNP0000208,WH0001,PRD0042,2026-01-01,1363,349,139
INVSNP0000209,WH0001,PRD0042,2026-02-01,1665,349,139
INVSNP0000210,WH0001,PRD0042,2026-03-01,1465,349,139
INVSNP0000211,WH0001,PRD0042,2026-04-01,1217,349,139
INVSNP0000212,WH0001,PRD0042,2026-05-01,1382,349,139
INVSNP0000213,WH0001,PRD0042,2026-06-01,1322,349,139
INVSNP0000214,WH0001,PRD0042,2026-07-01,1552,349,139
INVSNP0000215,WH0001,PRD0042,2026-08-01,1445,349,139
INVSNP0000216,WH0001,PRD0042,2026-09-01,1159,349,139
INVSNP0000217,WH0001,PRD0044,2024-10-01,4868,1185,474
INVSNP0000218,WH0001,PRD0044,2024-11-01,4764,1185,474
INVSNP0000219,WH0001,PRD0044,2024-12-01,5084,1185,474
INVSNP0000220,WH0001,PRD0044,2025-01-01,3947,1185,474
INVSNP0000221,WH0001,PRD0044,2025-02-01,4639,1185,474
INVSNP0000222,WH0001,PRD0044,2025-03-01,5663,1185,474
INVSNP0000223,WH0001,PRD0044,2025-04-01,5052,1185,474
INVSNP0000224,WH0001,PRD0044,2025-05-01,5382,1185,474
INVSNP0000225,WH0001,PRD0044,2025-06-01,5522,1185,474
INVSNP0000226,WH0001,PRD0044,2025-07-01,6010,1185,474
INVSNP0000227,WH0001,PRD0044,2025-08-01,2980,1185,474
INVSNP0000228,WH0001,PRD0044,2025-09-01,5582,1185,474
INVSNP0000229,WH0001,PRD0044,2025-10-01,5136,1185,474
INVSNP0000230,WH0001,PRD0044,2025-11-01,4472,1185,474
INVSNP0000231,WH0001,PRD0044,2025-12-01,6023,1185,474
INVSNP0000232,WH0001,PRD0044,2026-01-01,5131,1185,474
INVSNP0000233,WH0001,PRD0044,2026-02-01,3643,1185,474
INVSNP0000234,WH0001,PRD0044,2026-03-01,5172,1185,474
INVSNP0000235,WH0001,PRD0044,2026-04-01,6375,1185,474
INVSNP0000236,WH0001,PRD0044,2026-05-01,5488,1185,474
INVSNP0000237,WH0001,PRD0044,2026-06-01,3993,1185,474
INVSNP0000238,WH0001,PRD0044,2026-07-01,4871,1185,474
INVSNP0000239,WH0001,PRD0044,2026-08-01,4890,1185,474
INVSNP0000240,WH0001,PRD0044,2026-09-01,3912,1185,474
INVSNP0000241,WH0001,PRD0005,2024-10-01,1739,520,208
INVSNP0000242,WH0001,PRD0005,2024-11-01,2239,520,208
INVSNP0000243,WH0001,PRD0005,2024-12-01,1608,520,208
INVSNP0000244,WH0001,PRD0005,2025-01-01,2497,520,208
INVSNP0000245,WH0001,PRD0005,2025-02-01,1589,520,208
INVSNP0000246,WH0001,PRD0005,2025-03-01,1545,520,208
INVSNP0000247,WH0001,PRD0005,2025-04-01,1962,520,208
INVSNP0000248,WH0001,PRD0005,2025-05-01,1881,520,208
INVSNP0000249,WH0001,PRD0005,2025-06-01,2184,520,208
INVSNP0000250,WH0001,PRD0005,2025-07-01,1432,520,208
INVSNP0000251,WH0001,PRD0005,2025-08-01,1913,520,208
INVSNP0000252,WH0001,PRD0005,2025-09-01,2124,520,208
INVSNP0000253,WH0001,PRD0005,2025-10-01,1651,520,208
INVSNP0000254,WH0001,PRD0005,2025-11-01,2090,520,208
INVSNP0000255,WH0001,PRD0005,2025-12-01,1873,520,208
INVSNP0000256,WH0001,PRD0005,2026-01-01,1993,520,208
INVSNP0000257,WH0001,PRD0005,2026-02-01,1699,520,208
INVSNP0000258,WH0001,PRD0005,2026-03-01,1726,520,208
INVSNP0000259,WH0001,PRD0005,2026-04-01,2204,520,208
INVSNP0000260,WH0001,PRD0005,2026-05-01,1819,520,208
INVSNP0000261,WH0001,PRD0005,2026-06-01,2487,520,208
INVSNP0000262,WH0001,PRD0005,2026-07-01,2344,520,208
INVSNP0000263,WH0001,PRD0005,2026-08-01,1537,520,208
INVSNP0000264,WH0001,PRD0005,2026-09-01,2243,520,208
INVSNP0000265,WH0001,PRD0026,2024-10-01,2265,560,224
INVSNP0000266,WH0001,PRD0026,2024-11-01,2363,560,224
INVSNP0000267,WH0001,PRD0026,2024-12-01,2401,560,224
INVSNP0000268,WH0001,PRD0026,2025-01-01,1923,560,224
INVSNP0000269,WH0001,PRD0026,2025-02-01,1989,560,224
INVSNP0000270,WH0001,PRD0026,2025-03-01,2753,560,224
INVSNP0000271,WH0001,PRD0026,2025-04-01,1488,560,224
INVSNP0000272,WH0001,PRD0026,2025-05-01,2485,560,224
INVSNP0000273,WH0001,PRD0026,2025-06-01,2010,560,224
INVSNP0000274,WH0001,PRD0026,2025-07-01,1762,560,224
INVSNP0000275,WH0001,PRD0026,2025-08-01,2286,560,224
INVSNP0000276,WH0001,PRD0026,2025-09-01,2605,560,224
INVSNP0000277,WH0001,PRD0026,2025-10-01,2598,560,224
INVSNP0000278,WH0001,PRD0026,2025-11-01,1663,560,224
INVSNP0000279,WH0001,PRD0026,2025-12-01,1985,560,224
INVSNP0000280,WH0001,PRD0026,2026-01-01,1896,560,224
INVSNP0000281,WH0001,PRD0026,2026-02-01,2366,560,224
INVSNP0000282,WH0001,PRD0026,2026-03-01,2154,560,224
INVSNP0000283,WH0001,PRD0026,2026-04-01,2498,560,224
INVSNP0000284,WH0001,PRD0026,2026-05-01,2454,560,224
INVSNP0000285,WH0001,PRD0026,2026-06-01,2144,560,224
INVSNP0000286,WH0001,PRD0026,2026-07-01,2175,560,224
INVSNP0000287,WH0001,PRD0026,2026-08-01,2229,560,224
INVSNP0000288,WH0001,PRD0026,2026-09-01,2421,560,224
INVSNP0000289,WH0001,PRD0046,2024-10-01,882,211,84
INVSNP0000290,WH0001,PRD0046,2024-11-01,769,211,84
INVSNP0000291,WH0001,PRD0046,2024-12-01,942,211,84
INVSNP0000292,WH0001,PRD0046,2025-01-01,666,211,84
INVSNP0000293,WH0001,PRD0046,2025-02-01,900,211,84
INVSNP0000294,WH0001,PRD0046,2025-03-01,967,211,84
INVSNP0000295,WH0001,PRD0046,2025-04-01,801,211,84
INVSNP0000296,WH0001,PRD0046,2025-05-01,777,211,84
INVSNP0000297,WH0001,PRD0046,2025-06-01,864,211,84
INVSNP0000298,WH0001,PRD0046,2025-07-01,1003,211,84
INVSNP0000299,WH0001,PRD0046,2025-08-01,856,211,84
INVSNP0000300,WH0001,PRD0046,2025-09-01,783,211,84
INVSNP0000301,WH0001,PRD0046,2025-10-01,927,211,84
INVSNP0000302,WH0001,PRD0046,2025-11-01,1001,211,84
INVSNP0000303,WH0001,PRD0046,2025-12-01,850,211,84
INVSNP0000304,WH0001,PRD0046,2026-01-01,888,211,84
INVSNP0000305,WH0001,PRD0046,2026-02-01,616,211,84
INVSNP0000306,WH0001,PRD0046,2026-03-01,843,211,84
INVSNP0000307,WH0001,PRD0046,2026-04-01,874,211,84
INVSNP0000308,WH0001,PRD0046,2026-05-01,849,211,84
INVSNP0000309,WH0001,PRD0046,2026-06-01,576,211,84
INVSNP0000310,WH0001,PRD0046,2026-07-01,718,211,84
INVSNP0000311,WH0001,PRD0046,2026-08-01,693,211,84
INVSNP0000312,WH0001,PRD0046,2026-09-01,968,211,84
INVSNP0000313,WH0001,PRD0076,2024-10-01,3187,767,306
INVSNP0000314,WH0001,PRD0076,2024-11-01,3130,767,306
INVSNP0000315,WH0001,PRD0076,2024-12-01,2107,767,306
INVSNP0000316,WH0001,PRD0076,2025-01-01,2549,767,306
INVSNP0000317,WH0001,PRD0076,2025-02-01,3272,767,306
INVSNP0000318,WH0001,PRD0076,2025-03-01,3218,767,306
INVSNP0000319,WH0001,PRD0076,2025-04-01,3260,767,306
INVSNP0000320,WH0001,PRD0076,2025-05-01,3531,767,306
INVSNP0000321,WH0001,PRD0076,2025-06-01,3713,767,306
INVSNP0000322,WH0001,PRD0076,2025-07-01,3030,767,306
INVSNP0000323,WH0001,PRD0076,2025-08-01,4057,767,306
INVSNP0000324,WH0001,PRD0076,2025-09-01,3311,767,306
INVSNP0000325,WH0001,PRD0076,2025-10-01,2720,767,306
INVSNP0000326,WH0001,PRD0076,2025-11-01,3354,767,306
INVSNP0000327,WH0001,PRD0076,2025-12-01,2978,767,306
INVSNP0000328,WH0001,PRD0076,2026-01-01,3099,767,306
INVSNP0000329,WH0001,PRD0076,2026-02-01,2638,767,306
INVSNP0000330,WH0001,PRD0076,2026-03-01,2832,767,306
INVSNP0000331,WH0001,PRD0076,2026-04-01,3001,767,306
INVSNP0000332,WH0001,PRD0076,2026-05-01,4397,767,306
INVSNP0000333,WH0001,PRD0076,2026-06-01,3103,767,306
INVSNP0000334,WH0001,PRD0076,2026-07-01,2644,767,306
INVSNP0000335,WH0001,PRD0076,2026-08-01,3038,767,306
INVSNP0000336,WH0001,PRD0076,2026-09-01,2959,767,306
INVSNP0000337,WH0001,PRD0032,2024-10-01,2234,690,276
INVSNP0000338,WH0001,PRD0032,2024-11-01,2992,690,276
INVSNP0000339,WH0001,PRD0032,2024-12-01,2598,690,276
INVSNP0000340,WH0001,PRD0032,2025-01-01,3021,690,276
INVSNP0000341,WH0001,PRD0032,2025-02-01,3091,690,276
INVSNP0000342,WH0001,PRD0032,2025-03-01,2692,690,276
INVSNP0000343,WH0001,PRD0032,2025-04-01,2383,690,276
INVSNP0000344,WH0001,PRD0032,2025-05-01,2969,690,276
INVSNP0000345,WH0001,PRD0032,2025-06-01,2847,690,276
INVSNP0000346,WH0001,PRD0032,2025-07-01,2671,690,276
INVSNP0000347,WH0001,PRD0032,2025-08-01,2044,690,276
INVSNP0000348,WH0001,PRD0032,2025-09-01,2244,690,276
INVSNP0000349,WH0001,PRD0032,2025-10-01,3079,690,276
INVSNP0000350,WH0001,PRD0032,2025-11-01,3462,690,276
INVSNP0000351,WH0001,PRD0032,2025-12-01,2587,690,276
INVSNP0000352,WH0001,PRD0032,2026-01-01,3155,690,276
INVSNP0000353,WH0001,PRD0032,2026-02-01,2148,690,276
INVSNP0000354,WH0001,PRD0032,2026-03-01,3171,690,276
INVSNP0000355,WH0001,PRD0032,2026-04-01,3049,690,276
INVSNP0000356,WH0001,PRD0032,2026-05-01,2814,690,276
INVSNP0000357,WH0001,PRD0032,2026-06-01,3044,690,276
INVSNP0000358,WH0001,PRD0032,2026-07-01,2610,690,276
INVSNP0000359,WH0001,PRD0032,2026-08-01,3172,690,276
INVSNP0000360,WH0001,PRD0032,2026-09-01,3227,690,276
INVSNP0000361,WH0001,PRD0101,2024-10-01,1363,345,138
INVSNP0000362,WH0001,PRD0101,2024-11-01,1556,345,138
INVSNP0000363,WH0001,PRD0101,2024-12-01,1332,345,138
INVSNP0000364,WH0001,PRD0101,2025-01-01,1614,345,138
INVSNP0000365,WH0001,PRD0101,2025-02-01,1067,345,138
INVSNP0000366,WH0001,PRD0101,2025-03-01,1619,345,138
INVSNP0000367,WH0001,PRD0101,2025-04-01,1384,345,138
INVSNP0000368,WH0001,PRD0101,2025-05-01,1362,345,138
INVSNP0000369,WH0001,PRD0101,2025-06-01,1678,345,138
INVSNP0000370,WH0001,PRD0101,2025-07-01,1808,345,138
INVSNP0000371,WH0001,PRD0101,2025-08-01,1339,345,138
INVSNP0000372,WH0001,PRD0101,2025-09-01,1188,345,138
INVSNP0000373,WH0001,PRD0101,2025-10-01,1631,345,138
INVSNP0000374,WH0001,PRD0101,2025-11-01,1362,345,138
INVSNP0000375,WH0001,PRD0101,2025-12-01,1434,345,138
INVSNP0000376,WH0001,PRD0101,2026-01-01,1618,345,138
INVSNP0000377,WH0001,PRD0101,2026-02-01,1557,345,138
INVSNP0000378,WH0001,PRD0101,2026-03-01,1194,345,138
INVSNP0000379,WH0001,PRD0101,2026-04-01,1779,345,138
INVSNP0000380,WH0001,PRD0101,2026-05-01,869,345,138
INVSNP0000381,WH0001,PRD0101,2026-06-01,1758,345,138
INVSNP0000382,WH0001,PRD0101,2026-07-01,1554,345,138
INVSNP0000383,WH0001,PRD0101,2026-08-01,1283,345,138
INVSNP0000384,WH0001,PRD0101,2026-09-01,1131,345,138
INVSNP0000385,WH0001,PRD0148,2024-10-01,1044,230,92
INVSNP0000386,WH0001,PRD0148,2024-11-01,899,230,92
INVSNP0000387,WH0001,PRD0148,2024-12-01,1052,230,92
INVSNP0000388,WH0001,PRD0148,2025-01-01,1162,230,92
INVSNP0000389,WH0001,PRD0148,2025-02-01,964,230,92
INVSNP0000390,WH0001,PRD0148,2025-03-01,812,230,92
INVSNP0000391,WH0001,PRD0148,2025-04-01,954,230,92
INVSNP0000392,WH0001,PRD0148,2025-05-01,1003,230,92
INVSNP0000393,WH0001,PRD0148,2025-06-01,713,230,92
INVSNP0000394,WH0001,PRD0148,2025-07-01,973,230,92
INVSNP0000395,WH0001,PRD0148,2025-08-01,1019,230,92
INVSNP0000396,WH0001,PRD0148,2025-09-01,1040,230,92
INVSNP0000397,WH0001,PRD0148,2025-10-01,958,230,92
INVSNP0000398,WH0001,PRD0148,2025-11-01,852,230,92
INVSNP0000399,WH0001,PRD0148,2025-12-01,982,230,92
INVSNP0000400,WH0001,PRD0148,2026-01-01,835,230,92
INVSNP0000401,WH0001,PRD0148,2026-02-01,998,230,92
INVSNP0000402,WH0001,PRD0148,2026-03-01,960,230,92
INVSNP0000403,WH0001,PRD0148,2026-04-01,876,230,92
INVSNP0000404,WH0001,PRD0148,2026-05-01,1108,230,92
INVSNP0000405,WH0001,PRD0148,2026-06-01,1061,230,92
INVSNP0000406,WH0001,PRD0148,2026-07-01,946,230,92
INVSNP0000407,WH0001,PRD0148,2026-08-01,645,230,92
INVSNP0000408,WH0001,PRD0148,2026-09-01,845,230,92
INVSNP0000409,WH0001,PRD0020,2024-10-01,249,63,25
INVSNP0000410,WH0001,PRD0020,2024-11-01,287,63,25
INVSNP0000411,WH0001,PRD0020,2024-12-01,258,63,25
