po_id,supplier_node_id,product_id,order_date,quantity,unit_price,currency,total_value,status,supplier_name,supplier_country,esg_score,product_name,category,invoice_date,payment_status,payment_date,order_month,country_risk_index,currency_volatility,sanctions_flag
PO000085,SUP0021,PRD0091,2025-11-03,786,2.32,USD,1823.52,fulfilled,"Ellis, Baker and Wright",India,80.5,FOOD-Some-91,Food & Beverage,2025-11-05,paid,2025-11-28,2025-11,39.8,0.084,False
PO000086,SUP0034,PRD0111,2026-06-16,106,301.66,USD,31975.96,fulfilled,Koch-Decker,India,69.9,PACK-Look-111,Packaging,2026-06-29,overdue,,2026-06,36.1,0.089,False
PO000087,SUP0003,PRD0041,2025-09-15,261,12.7,USD,3314.7,cancelled,Johnson-Davis,Vietnam,88.7,PACK-Customer-41,Packaging,,,,2025-09,42.8,0.106,False
PO000088,SUP0032,PRD0145,2025-05-19,571,2.31,USD,1319.01,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,MACH-Cultural-145,Machinery,2025-05-29,pending,,2025-05,39.3,0.123,False
PO000089,SUP0002,PRD0078,2025-07-31,257,3.62,USD,930.34,fulfilled,Rhodes PLC,Germany,87.8,AUTO-Level-78,Automotive Parts,2025-08-03,paid,2025-09-04,2025-07,12.5,0.035,False
PO000090,SUP0006,PRD0097,2024-11-16,80,2371.28,USD,189702.4,fulfilled,Blake and Sons,China,58.0,ELEC-Medical-97,Electronics,2024-11-18,paid,2024-12-26,2024-11,32.3,0.059,False
PO000091,SUP0027,PRD0137,2026-05-09,132,2.61,USD,344.52,open,"Valencia, Smith and Le",Vietnam,70.4,FOOD-Wide-137,Food & Beverage,2026-05-11,overdue,,2026-05,48.1,0.102,False
PO000092,SUP0019,PRD0136,2025-05-26,535,9.01,USD,4820.35,fulfilled,Clark PLC,Germany,69.9,AUTO-Morning-136,Automotive Parts,2025-06-07,paid,2025-07-16,2025-05,10.9,0.032,False
PO000093,SUP0036,PRD0147,2025-06-11,328,1125.2,USD,369065.6,fulfilled,Dennis Inc,South Korea,60.1,FURN-Physical-147,Furniture,2025-06-17,paid,2025-07-02,2025-06,16.2,0.07,False
PO000094,SUP0031,PRD0013,2025-01-17,46,6.22,USD,286.12,fulfilled,Harrell LLC,Brazil,87.2,CHEM-Program-13,Chemicals,2025-01-21,pending,,2025-01,54.3,0.107,False
PO000095,SUP0020,PRD0112,2024-09-06,478,3.53,USD,1687.34,fulfilled,Lewis-Porter,Pakistan,59.2,FURN-Feeling-112,Furniture,2024-09-07,overdue,,2024-09,,,
PO000096,SUP0014,PRD0054,2026-03-03,126,2.32,USD,292.32,fulfilled,"Flowers, Martin and Kelly",United States,46.7,FURN-Ready-54,Furniture,2026-03-11,pending,,2026-03,7.3,0.025,False
PO000097,SUP0013,PRD0068,2025-07-01,111,1328.43,USD,147455.73,fulfilled,Delacruz Group,Germany,77.3,FURN-List-68,Furniture,2025-07-04,pending,,2025-07,12.9,0.04,False
PO000098,SUP0036,PRD0064,2026-08-07,145,532.39,USD,77196.55,fulfilled,Dennis Inc,South Korea,60.1,AUTO-Energy-64,Automotive Parts,2026-08-20,paid,2026-09-25,2026-08,13.6,0.053,False
PO000099,SUP0029,PRD0144,2026-04-10,88,2.34,USD,205.92,fulfilled,Chavez Ltd,Poland,66.3,FURN-Today-144,Furniture,2026-04-22,paid,2026-05-26,2026-04,28.1,0.08,False
PO000100,SUP0004,PRD0001,2024-11-26,29,1363.39,USD,39538.31,fulfilled,"Johnson, Gonzalez and Santos",Mexico,76.5,MACH-Down-1,Machinery,2024-12-06,pending,,2024-11,34.3,0.129,False
PO000101,SUP0022,PRD0049,2025-04-19,90,5.27,USD,474.3,fulfilled,Burgess-Patterson,Pakistan,79.0,AUTO-Manage-49,Automotive Parts,2025-04-22,pending,,2025-04,71.7,0.187,False
PO000102,SUP0031,PRD0079,2025-07-05,415,38.23,USD,15865.45,open,Harrell LLC,Brazil,87.2,FOOD-System-79,Food & Beverage,2025-07-06,pending,,2025-07,50.3,0.167,False
PO000103,SUP0036,PRD0042,2026-08-05,266,447.64,USD,119072.24,fulfilled,Dennis Inc,South Korea,60.1,TEXT-Between-42,Textiles,2026-08-14,paid,2026-09-09,2026-08,13.6,0.053,False
PO000104,SUP0010,PRD0059,2024-11-14,612,25.68,USD,15716.16,open,"Martinez, Nielsen and Miller",Egypt,43.6,FOOD-Should-59,Food & Beverage,2024-11-20,paid,2024-12-12,2024-11,56.9,0.198,False
PO000105,SUP0012,PRD0136,2024-12-29,170,1098.02,USD,186663.4,fulfilled,Stanley LLC,Japan,60.6,AUTO-Morning-136,Automotive Parts,2025-01-03,pending,,2024-12,20.0,0.052,False
PO000106,SUP0031,PRD0102,2024-11-04,817,516.63,USD,422086.71,fulfilled,Harrell LLC,Brazil,87.2,TEXT-Artist-102,Textiles,2024-11-14,paid,2024-11-22,2024-11,54.4,0.219,False
PO000107,SUP0033,PRD0093,2025-09-25,1194,690.35,USD,824277.9,fulfilled,"Sellers, George and Burns",China,78.7,TEXT-Economic-93,Textiles,2025-10-05,pending,,2025-09,27.9,0.076,False
PO000108,SUP0005,PRD0057,2024-10-22,562,130.7,USD,73453.4,fulfilled,Cole LLC,Mexico,58.0,CHEM-Ask-57,Chemicals,2024-11-01,overdue,,2024-10,37.9,0.124,False
PO000109,SUP0013,PRD0054,2026-03-07,57,106.06,USD,6045.42,fulfilled,Delacruz Group,Germany,77.3,FURN-Ready-54,Furniture,2026-03-10,paid,2026-04-21,2026-03,11.2,0.047,False
PO000110,SUP0032,PRD0069,2025-05-10,602,883.87,USD,532089.74,fulfilled,"Lynch, Hernandez and Farmer",Vietnam,57.2,FOOD-Challenge-69,Food & Beverage,2025-05-20,paid,2025-06-03,2025-05,39.3,0.123,False
PO000111,SUP0029,PRD0150,2025-01-21,678,48.78,USD,33072.84,fulfilled,Chavez Ltd,Poland,66.3,TEXT-Training-150,Textiles,2025-02-03,paid,2025-03-07,2025-01,28.2,0.102,False
PO000112,SUP0031,PRD0044,2025-06-18,309,9.43,USD,2913.87,open,Harrell LLC,Brazil,87.2,MACH-Reason-44,Machinery,2025-06-29,pending,,2025-06,53.4,0.168,False
PO000113,SUP0036,PRD0019,2025-11-10,156,3.22,USD,502.32,fulfilled,Dennis Inc,South Korea,60.1,PACK-Trade-19,Packaging,2025-11-24,paid,2025-12-10,2025-11,25.4,0.069,False
PO000114,SUP0017,PRD0075,2025-12-20,214,174.24,USD,37287.36,cancelled,"Hawkins, Cohen and Cameron",Nigeria,42.8,TEXT-Two-75,Textiles,,,,2025-12,69.0,0.282,False
PO000115,SUP0029,PRD0037,2025-01-19,711,2353.11,USD,1673061.21,fulfilled,Chavez Ltd,Poland,66.3,CHEM-Still-37,Chemicals,2025-01-20,paid,2025-01-25,2025-01,28.2,0.102,False
PO000116,SUP0005,PRD0060,2026-02-08,199,214.43,USD,42671.57,fulfilled,Cole LLC,Mexico,58.0,TEXT-Group-60,Textiles,2026-02-12,overdue,,2026-02,36.4,0.071,False
PO000117,SUP0020,PRD0044,2026-03-25,185,1739.58,USD,321822.3,fulfilled,Lewis-Porter,Pakistan,59.2,MACH-Reason-44,Machinery,2026-04-02,paid,2026-05-08,2026-03,71.3,0.275,True
PO000118,SUP0004,PRD0021,2025-12-28,31,6.41,USD,198.71,fulfilled,"Johnson, Gonzalez and Santos",Mexico,76.5,MACH-Avoid-21,Machinery,2026-01-07,paid,2026-01-24,2025-12,36.2,0.148,False
PO000119,SUP0005,PRD0114,2025-06-21,81,4.67,USD,378.27,fulfilled,Cole LLC,Mexico,58.0,FOOD-Same-114,Food & Beverage,2025-06-26,paid,2025-07-18,2025-06,30.7,0.147,False
PO000120,SUP0035,PRD0048,2025-01-07,287,2.33,USD,668.71,fulfilled,Allen PLC,Brazil,54.5,FOOD-Item-48,Food & Beverage,2025-01-15,paid,2025-02-14,2025-01,53.3,0.132,False
PO000121,SUP0005,PRD0016,2024-11-07,73,75.97,USD,5545.81,fulfilled,Cole LLC,Mexico,58.0,CHEM-Author-16,Chemicals,2024-11-12,paid,2024-12-14,2024-11,30.2,0.105,False
PO000122,SUP0018,PRD0136,2025-07-09,458,5.43,USD,2486.94,open,Underwood LLC,Philippines,54.2,AUTO-Morning-136,Automotive Parts,2025-07-10,paid,2025-07-25,2025-07,48.7,0.115,False
PO000123,SUP0031,PRD0078,2024-10-31,65,162.57,USD,10567.05,fulfilled,Harrell LLC,Brazil,87.2,AUTO-Level-78,Automotive Parts,2024-11-01,paid,2024-11-23,2024-10,49.4,0.171,False
PO000124,SUP0013,PRD0145,2025-08-21,620,15.04,USD,9324.8,fulfilled,Delacruz Group,Germany,77.3,MACH-Cultural-145,Machinery,2025-08-29,paid,2025-10-10,2025-08,11.5,0.039,False
PO000125,SUP0026,PRD0145,2026-02-11,81,364.66,USD,29537.46,fulfilled,James-Ferrell,Egypt,85.3,MACH-Cultural-145,Machinery,2026-02-24,paid,2026-03-20,2026-02,51.5,0.18,False
PO000126,SUP0008,PRD0150,2024-10-04,56,4282.06,USD,239795.36,fulfilled,Davis Inc,Pakistan,69.7,TEXT-Training-150,Textiles,2024-10-16,overdue,,2024-10,62.8,0.317,False
PO000127,SUP0007,PRD0052,2026-04-26,195,341.53,USD,66598.35,open,Ramirez-Lewis,South Korea,49.8,CHEM-Arm-52,Chemicals,2026-05-07,paid,2026-05-24,2026-04,22.3,0.044,False
PO000128,SUP0001,PRD0064,2024-10-14,206,1638.32,USD,337493.92,fulfilled,"Rodriguez, Figueroa and Sanchez",South Korea,74.7,AUTO-Energy-64,Automotive Parts,2024-10-22,paid,2024-11-12,2024-10,17.6,0.067,False
