shipment_id,origin_node_id,dest_node_id,product_id,mode,ship_date,delivery_date,planned_transit_days,actual_transit_days,cost,quantity,origin_name,origin_type,origin_country,dest_name,dest_type,dest_country,product_name,category,delay_days,is_late,cost_per_unit
SHP000015,SUP0033,WH0001,PRD0148,ocean,2025-12-19,2026-01-05,19,17,4112.14,96,"Sellers, George and Burns",supplier,China,Germany Warehouse 1,warehouse,Germany,FOOD-Author-148,Food & Beverage,-2,False,42.835
SHP000016,SUP0011,WH0010,PRD0050,ocean,2025-10-04,2025-10-30,26,26,6253.8,101,"Montgomery, Hensley and Ray",supplier,Indonesia,Poland Warehouse 10,warehouse,Poland,PACK-Treat-50,Packaging,0,False,61.919
SHP000017,SUP0016,WH0002,PRD0018,ocean,2025-02-11,2025-03-24,38,41,4409.61,46,"Sanchez, Ford and Nelson",supplier,Mexico,Singapore Warehouse 2,warehouse,Singapore,FURN-Almost-18,Furniture,3,True,95.861
SHP000018,SUP0022,WH0007,PRD0012,ocean,2025-11-05,2025-11-16,14,11,4369.15,141,Burgess-Patterson,supplier,Pakistan,Germany Warehouse 7,warehouse,Germany,ELEC-Second-12,Electronics,-3,False,30.987
SHP000019,SUP0018,WH0006,PRD0059,ocean,2026-04-14,2026-05-15,31,31,81261.5,1047,Underwood LLC,supplier,Philippines,United States Warehouse 6,warehouse,United States,FOOD-Should-59,Food & Beverage,0,False,77.614
SHP000020,SUP0025,WH0010,PRD0075,ocean,2024-09-08,2024-09-26,18,18,7849.23,194,Conner Group,supplier,Bangladesh,Poland Warehouse 10,warehouse,Poland,TEXT-Two-75,Textiles,0,False,40.46
SHP000021,SUP0012,WH0003,PRD0021,ocean,2026-04-12,2026-05-08,23,26,10420.14,188,Stanley LLC,supplier,Japan,Netherlands Warehouse 3,warehouse,Netherlands,MACH-Avoid-21,Machinery,3,True,55.426
SHP000022,SUP0005,WH0010,PRD0060,ocean,2026-01-23,2026-02-14,25,22,21591.58,367,Cole LLC,supplier,Mexico,Poland Warehouse 10,warehouse,Poland,TEXT-Group-60,Textiles,-3,False,58.833
SHP000023,SUP0006,WH0009,PRD0026,air,2025-05-09,2025-05-13,4,4,46105.39,140,Blake and Sons,supplier,China,Germany Warehouse 9,warehouse,Germany,PACK-Mention-26,Packaging,0,False,329.324
SHP000024,SUP0003,WH0009,PRD0098,air,2024-12-25,2024-12-29,4,4,234836.95,544,Johnson-Davis,supplier,Vietnam,Germany Warehouse 9,warehouse,Germany,CHEM-Different-98,Chemicals,0,False,431.686
SHP000025,SUP0018,WH0007,PRD0072,ocean,2026-07-30,2026-08-23,25,24,39294.3,644,Underwood LLC,supplier,Philippines,Germany Warehouse 7,warehouse,Germany,TEXT-Family-72,Textiles,-1,False,61.016
SHP000026,SUP0013,WH0003,PRD0117,road,2025-05-06,2025-05-07,1,1,3172.88,378,Delacruz Group,supplier,Germany,Netherlands Warehouse 3,warehouse,Netherlands,CHEM-Only-117,Chemicals,0,False,8.394
SHP000027,SUP0034,WH0008,PRD0094,ocean,2024-11-10,2024-11-27,14,17,4174.33,140,Koch-Decker,supplier,India,South Korea Warehouse 8,warehouse,South Korea,MACH-Compare-94,Machinery,3,True,29.817
SHP000028,SUP0034,WH0005,PRD0042,rail,2024-11-13,2024-11-16,5,3,4539.04,190,Koch-Decker,supplier,India,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,TEXT-Between-42,Textiles,-2,False,23.89
SHP000029,SUP0007,WH0008,PRD0095,road,2026-05-12,2026-05-13,1,1,159.9,116,Ramirez-Lewis,supplier,South Korea,South Korea Warehouse 8,warehouse,South Korea,PACK-Investment-95,Packaging,0,False,1.378
SHP000030,SUP0027,WH0005,PRD0091,rail,2025-11-16,2025-11-26,10,10,8046.93,137,"Valencia, Smith and Le",supplier,Vietnam,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,FOOD-Some-91,Food & Beverage,0,False,58.737
SHP000031,SUP0021,WH0009,PRD0054,ocean,2026-04-12,2026-05-02,17,20,4217.97,107,"Ellis, Baker and Wright",supplier,India,Germany Warehouse 9,warehouse,Germany,FURN-Ready-54,Furniture,3,True,39.42
SHP000032,SUP0008,WH0002,PRD0069,ocean,2026-02-15,2026-03-02,14,15,9544.86,330,Davis Inc,supplier,Pakistan,Singapore Warehouse 2,warehouse,Singapore,FOOD-Challenge-69,Food & Beverage,1,True,28.924
SHP000033,SUP0026,WH0004,PRD0019,rail,2025-09-28,2025-10-04,5,6,7699.61,304,James-Ferrell,supplier,Egypt,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,PACK-Trade-19,Packaging,1,True,25.328
SHP000034,SUP0033,WH0009,PRD0044,ocean,2026-08-11,2026-09-01,19,21,22819.85,526,"Sellers, George and Burns",supplier,China,Germany Warehouse 9,warehouse,Germany,MACH-Reason-44,Machinery,2,True,43.384
SHP000035,SUP0037,WH0009,PRD0137,ocean,2025-06-05,2025-06-24,20,19,2568.51,56,"Cannon, Anderson and Alvarez",supplier,United States,Germany Warehouse 9,warehouse,Germany,FOOD-Wide-137,Food & Beverage,-1,False,45.866
SHP000036,SUP0027,WH0004,PRD0063,air,2025-10-09,2025-10-12,3,3,6285.92,24,"Valencia, Smith and Le",supplier,Vietnam,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,AUTO-Boy-63,Automotive Parts,0,False,261.913
SHP000037,SUP0037,WH0003,PRD0042,air,2026-04-29,2026-05-03,4,4,69915.11,214,"Cannon, Anderson and Alvarez",supplier,United States,Netherlands Warehouse 3,warehouse,Netherlands,TEXT-Between-42,Textiles,0,False,326.706
SHP000038,SUP0025,WH0003,PRD0119,air,2025-11-27,2025-12-01,4,4,26794.75,77,Conner Group,supplier,Bangladesh,Netherlands Warehouse 3,warehouse,Netherlands,TEXT-Serious-119,Textiles,0,False,347.984
SHP000039,SUP0023,WH0008,PRD0098,air,2026-05-22,2026-05-24,3,2,18611.77,96,Robinson-Bright,supplier,Indonesia,South Korea Warehouse 8,warehouse,South Korea,CHEM-Different-98,Chemicals,-1,False,193.873
SHP000040,SUP0023,WH0001,PRD0070,ocean,2025-10-28,2025-11-25,27,28,23406.3,359,Robinson-Bright,supplier,Indonesia,Germany Warehouse 1,warehouse,Germany,PACK-Knowledge-70,Packaging,1,True,65.199
SHP000041,SUP0005,WH0003,PRD0143,air,2026-01-28,2026-02-01,4,4,14628.42,36,Cole LLC,supplier,Mexico,Netherlands Warehouse 3,warehouse,Netherlands,TEXT-Be-143,Textiles,0,False,406.345
SHP000042,SUP0032,WH0008,PRD0057,rail,2024-10-07,2024-10-13,6,6,2225.65,70,"Lynch, Hernandez and Farmer",supplier,Vietnam,South Korea Warehouse 8,warehouse,South Korea,CHEM-Ask-57,Chemicals,0,False,31.795
SHP000043,SUP0031,WH0009,PRD0084,ocean,2025-02-16,2025-03-12,23,24,39574.4,708,Harrell LLC,supplier,Brazil,Germany Warehouse 9,warehouse,Germany,PACK-Apply-84,Packaging,1,True,55.896
SHP000044,SUP0032,WH0009,PRD0015,ocean,2025-04-02,2025-04-23,23,21,3969.36,71,"Lynch, Hernandez and Farmer",supplier,Vietnam,Germany Warehouse 9,warehouse,Germany,TEXT-Drop-15,Textiles,-2,False,55.906
SHP000045,SUP0014,WH0008,PRD0059,ocean,2024-10-31,2024-11-23,26,23,9819.36,155,"Flowers, Martin and Kelly",supplier,United States,South Korea Warehouse 8,warehouse,South Korea,FOOD-Should-59,Food & Beverage,-3,False,63.351
SHP000046,SUP0023,WH0010,PRD0009,air,2025-02-20,2025-02-24,5,4,57050.78,122,Robinson-Bright,supplier,Indonesia,Poland Warehouse 10,warehouse,Poland,MACH-Discussion-9,Machinery,-1,False,467.629
SHP000047,SUP0025,WH0001,PRD0081,ocean,2024-11-16,2024-12-06,19,20,11387.13,263,Conner Group,supplier,Bangladesh,Germany Warehouse 1,warehouse,Germany,PACK-Total-81,Packaging,1,True,43.297
SHP000048,SUP0022,WH0009,PRD0103,ocean,2025-03-24,2025-04-08,14,15,3482.83,114,Burgess-Patterson,supplier,Pakistan,Germany Warehouse 9,warehouse,Germany,AUTO-Community-103,Automotive Parts,1,True,30.551
SHP000049,SUP0011,WH0005,PRD0069,ocean,2025-12-09,2025-12-27,18,18,8214.73,201,"Montgomery, Hensley and Ray",supplier,Indonesia,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,FOOD-Challenge-69,Food & Beverage,0,False,40.869
SHP000050,SUP0010,WH0002,PRD0017,ocean,2025-05-26,2025-06-17,22,22,2631.51,52,"Martinez, Nielsen and Miller",supplier,Egypt,Singapore Warehouse 2,warehouse,Singapore,TEXT-Western-17,Textiles,0,False,50.606
SHP000051,SUP0027,WH0010,PRD0055,ocean,2025-05-30,2025-06-23,23,24,14995.88,279,"Valencia, Smith and Le",supplier,Vietnam,Poland Warehouse 10,warehouse,Poland,FURN-Race-55,Furniture,1,True,53.749
SHP000052,SUP0011,WH0009,PRD0146,air,2025-02-03,2025-02-08,5,5,132777.41,271,"Montgomery, Hensley and Ray",supplier,Indonesia,Germany Warehouse 9,warehouse,Germany,FURN-Authority-146,Furniture,0,False,489.954
SHP000053,SUP0008,WH0003,PRD0081,air,2025-03-16,2025-03-19,3,3,51833.24,200,Davis Inc,supplier,Pakistan,Netherlands Warehouse 3,warehouse,Netherlands,PACK-Total-81,Packaging,0,False,259.166
SHP000054,SUP0015,WH0009,PRD0055,ocean,2026-07-16,2026-08-01,18,16,11035.13,277,"Zuniga, Wong and Lynch",supplier,India,Germany Warehouse 9,warehouse,Germany,FURN-Race-55,Furniture,-2,False,39.838
SHP000055,SUP0035,WH0005,PRD0128,ocean,2025-12-18,2026-01-18,30,31,10252.32,140,Allen PLC,supplier,Brazil,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,TEXT-Occur-128,Textiles,1,True,73.231
SHP000056,SUP0032,WH0006,PRD0102,ocean,2025-11-20,2025-12-20,33,30,37156.46,449,"Lynch, Hernandez and Farmer",supplier,Vietnam,United States Warehouse 6,warehouse,United States,TEXT-Artist-102,Textiles,-3,False,82.754
SHP000057,SUP0024,WH0006,PRD0118,ocean,2025-01-06,2025-01-13,7,7,3341.94,302,Campos Inc,supplier,Mexico,United States Warehouse 6,warehouse,United States,CHEM-Recently-118,Chemicals,0,False,11.066
SHP000058,SUP0018,WH0005,PRD0037,ocean,2026-02-15,2026-03-04,18,17,6672.09,158,Underwood LLC,supplier,Philippines,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,CHEM-Still-37,Chemicals,-1,False,42.228
SHP000059,SUP0033,WH0006,PRD0068,ocean,2024-12-31,2025-01-29,29,29,60257.93,866,"Sellers, George and Burns",supplier,China,United States Warehouse 6,warehouse,United States,FURN-List-68,Furniture,0,False,69.582
SHP000060,SUP0016,WH0002,PRD0036,ocean,2025-06-06,2025-07-13,38,37,20514.25,214,"Sanchez, Ford and Nelson",supplier,Mexico,Singapore Warehouse 2,warehouse,Singapore,ELEC-Eight-36,Electronics,-1,False,95.861
SHP000061,SUP0011,WH0004,PRD0064,ocean,2026-08-23,2026-09-13,18,21,4435.41,110,"Montgomery, Hensley and Ray",supplier,Indonesia,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,AUTO-Energy-64,Automotive Parts,3,True,40.322
SHP000062,SUP0002,WH0008,PRD0144,ocean,2025-12-12,2026-01-02,22,21,14279.94,271,Rhodes PLC,supplier,Germany,South Korea Warehouse 8,warehouse,South Korea,FURN-Today-144,Furniture,-1,False,52.694
SHP000063,SUP0032,WH0009,PRD0138,ocean,2025-10-13,2025-11-06,23,24,8833.23,158,"Lynch, Hernandez and Farmer",supplier,Vietnam,Germany Warehouse 9,warehouse,Germany,CHEM-Tonight-138,Chemicals,1,True,55.907
SHP000064,SUP0013,WH0005,PRD0068,air,2026-01-14,2026-01-17,3,3,41847.04,195,Delacruz Group,supplier,Germany,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,FURN-List-68,Furniture,0,False,214.6
SHP000065,SUP0008,WH0002,PRD0150,rail,2026-05-08,2026-05-15,8,7,5399.11,112,Davis Inc,supplier,Pakistan,Singapore Warehouse 2,warehouse,Singapore,TEXT-Training-150,Textiles,-1,False,48.206
SHP000066,SUP0029,WH0007,PRD0110,road,2026-03-21,2026-03-22,1,1,2097.86,184,Chavez Ltd,supplier,Poland,Germany Warehouse 7,warehouse,Germany,CHEM-Still-110,Chemicals,0,False,11.401
SHP000067,SUP0002,WH0001,PRD0150,road,2025-02-17,2025-02-18,1,1,277.48,69,Rhodes PLC,supplier,Germany,Germany Warehouse 1,warehouse,Germany,TEXT-Training-150,Textiles,0,False,4.021
SHP000068,SUP0010,WH0009,PRD0103,air,2024-09-27,2024-09-28,2,1,28662.65,210,"Martinez, Nielsen and Miller",supplier,Egypt,Germany Warehouse 9,warehouse,Germany,AUTO-Community-103,Automotive Parts,-1,False,136.489
SHP000069,SUP0020,WH0005,PRD0093,rail,2025-04-21,2025-04-24,4,3,9511.14,539,Lewis-Porter,supplier,Pakistan,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,TEXT-Economic-93,Textiles,-1,False,17.646
SHP000070,SUP0021,WH0005,PRD0057,ocean,2025-03-17,2025-03-26,8,9,2803.65,195,"Ellis, Baker and Wright",supplier,India,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,CHEM-Ask-57,Chemicals,1,True,14.378
SHP000071,SUP0008,WH0005,PRD0036,rail,2025-02-04,2025-02-07,3,3,2518.1,161,Davis Inc,supplier,Pakistan,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,ELEC-Eight-36,Electronics,0,False,15.64
SHP000072,SUP0019,WH0007,PRD0131,road,2026-07-20,2026-07-21,1,1,2150.41,542,Clark PLC,supplier,Germany,Germany Warehouse 7,warehouse,Germany,TEXT-Former-131,Textiles,0,False,3.968
SHP000073,SUP0002,WH0001,PRD0127,rail,2026-06-02,2026-06-03,1,1,475.88,213,Rhodes PLC,supplier,Germany,Germany Warehouse 1,warehouse,Germany,CHEM-Simply-127,Chemicals,0,False,2.234
SHP000074,SUP0012,WH0010,PRD0024,ocean,2025-04-20,2025-05-11,22,21,10865.96,212,Stanley LLC,supplier,Japan,Poland Warehouse 10,warehouse,Poland,MACH-Family-24,Machinery,-1,False,51.255
SHP000075,SUP0019,WH0001,PRD0013,rail,2025-12-23,2025-12-24,1,1,456.37,455,Clark PLC,supplier,Germany,Germany Warehouse 1,warehouse,Germany,CHEM-Program-13,Chemicals,0,False,1.003
SHP000076,SUP0025,WH0009,PRD0029,ocean,2025-06-18,2025-07-10,19,22,6402.08,146,Conner Group,supplier,Bangladesh,Germany Warehouse 9,warehouse,Germany,CHEM-Cause-29,Chemicals,3,True,43.85
SHP000077,SUP0023,WH0007,PRD0040,ocean,2026-06-29,2026-07-28,27,29,8181.05,124,Robinson-Bright,supplier,Indonesia,Germany Warehouse 7,warehouse,Germany,FURN-Investment-40,Furniture,2,True,65.976
SHP000078,SUP0017,WH0004,PRD0041,ocean,2025-08-03,2025-08-19,15,16,2570.37,81,"Hawkins, Cohen and Cameron",supplier,Nigeria,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,PACK-Customer-41,Packaging,1,True,31.733
SHP000079,SUP0028,WH0005,PRD0109,rail,2025-03-15,2025-03-22,8,7,14193.43,291,"Potter, Mack and Peterson",supplier,Germany,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,CHEM-Step-109,Chemicals,-1,False,48.775
SHP000080,SUP0039,WH0006,PRD0017,ocean,2025-03-02,2025-03-29,27,27,30758.77,478,"Campos, Vaughn and Marquez",supplier,South Korea,United States Warehouse 6,warehouse,United States,TEXT-Western-17,Textiles,0,False,64.349
SHP000081,SUP0030,WH0005,PRD0099,ocean,2025-10-16,2025-11-03,18,18,7397.52,176,Stanton-Gill,supplier,Indonesia,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,TEXT-Treatment-99,Textiles,0,False,42.031
SHP000082,SUP0036,WH0005,PRD0098,ocean,2025-03-13,2025-04-02,18,20,4898.4,116,Dennis Inc,supplier,South Korea,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,CHEM-Different-98,Chemicals,2,True,42.228
SHP000083,SUP0012,WH0006,PRD0120,ocean,2025-11-02,2025-11-29,25,27,17540.13,295,Stanley LLC,supplier,Japan,United States Warehouse 6,warehouse,United States,MACH-Message-120,Machinery,2,True,59.458
SHP000084,SUP0022,WH0008,PRD0136,air,2026-06-17,2026-06-20,3,3,74393.32,304,Burgess-Patterson,supplier,Pakistan,South Korea Warehouse 8,warehouse,South Korea,AUTO-Morning-136,Automotive Parts,0,False,244.715
SHP000085,SUP0016,WH0005,PRD0065,ocean,2025-06-20,2025-07-26,35,36,14010.66,162,"Sanchez, Ford and Nelson",supplier,Mexico,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,FURN-Dark-65,Furniture,1,True,86.486
SHP000086,SUP0016,WH0004,PRD0142,ocean,2025-02-10,2025-03-13,35,31,7532.57,86,"Sanchez, Ford and Nelson",supplier,Mexico,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,TEXT-Movie-142,Textiles,-4,False,87.588
SHP000087,SUP0028,WH0004,PRD0003,rail,2026-08-29,2026-09-08,9,10,6363.97,126,"Potter, Mack and Peterson",supplier,Germany,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,ELEC-Ground-3,Electronics,1,True,50.508
SHP000088,SUP0014,WH0008,PRD0030,ocean,2025-09-08,2025-10-02,26,24,10959.67,173,"Flowers, Martin and Kelly",supplier,United States,South Korea Warehouse 8,warehouse,South Korea,AUTO-Several-30,Automotive Parts,-2,False,63.351
SHP000089,SUP0001,WH0006,PRD0138,ocean,2024-11-09,2024-12-05,26,26,31642.47,502,"Rodriguez, Figueroa and Sanchez",supplier,South Korea,United States Warehouse 6,warehouse,United States,CHEM-Tonight-138,Chemicals,0,False,63.033
SHP000090,SUP0027,WH0010,PRD0069,air,2024-10-08,2024-10-12,4,4,33861.67,84,"Valencia, Smith and Le",supplier,Vietnam,Poland Warehouse 10,warehouse,Poland,FOOD-Challenge-69,Food & Beverage,0,False,403.115
SHP000091,SUP0016,WH0009,PRD0088,ocean,2024-11-22,2024-12-14,24,22,12757.15,219,"Sanchez, Ford and Nelson",supplier,Mexico,Germany Warehouse 9,warehouse,Germany,AUTO-Administration-88,Automotive Parts,-2,False,58.252
SHP000092,SUP0030,WH0007,PRD0029,air,2025-12-03,2025-12-08,5,5,64035.22,128,Stanton-Gill,supplier,Indonesia,Germany Warehouse 7,warehouse,Germany,CHEM-Cause-29,Chemicals,0,False,500.275
SHP000093,SUP0009,WH0004,PRD0076,ocean,2026-04-02,2026-05-01,31,29,65417.39,867,Munoz-Roman,supplier,United States,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,PACK-Wind-76,Packaging,-2,False,75.453
SHP000094,SUP0023,WH0004,PRD0112,ocean,2025-07-07,2025-07-27,18,20,19634.63,485,Robinson-Bright,supplier,Indonesia,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,FURN-Feeling-112,Furniture,2,True,40.484
SHP000095,SUP0032,WH0010,PRD0041,ocean,2024-10-20,2024-11-12,22,23,7242.14,138,"Lynch, Hernandez and Farmer",supplier,Vietnam,Poland Warehouse 10,warehouse,Poland,PACK-Customer-41,Packaging,1,True,52.479
SHP000096,SUP0025,WH0007,PRD0117,ocean,2025-06-08,2025-06-26,19,18,16716.16,379,Conner Group,supplier,Bangladesh,Germany Warehouse 7,warehouse,Germany,CHEM-Only-117,Chemicals,-1,False,44.106
SHP000097,SUP0001,WH0007,PRD0001,air,2026-08-28,2026-08-31,4,3,37866.19,97,"Rodriguez, Figueroa and Sanchez",supplier,South Korea,Germany Warehouse 7,warehouse,Germany,MACH-Down-1,Machinery,-1,False,390.373
SHP000098,SUP0004,WH0010,PRD0068,ocean,2025-09-23,2025-10-17,25,24,13427.4,225,"Johnson, Gonzalez and Santos",supplier,Mexico,Poland Warehouse 10,warehouse,Poland,FURN-List-68,Furniture,-1,False,59.677
SHP000099,SUP0004,WH0009,PRD0129,ocean,2026-08-10,2026-09-03,24,24,12371.16,216,"Johnson, Gonzalez and Santos",supplier,Mexico,Germany Warehouse 9,warehouse,Germany,ELEC-Ask-129,Electronics,0,False,57.274
SHP000100,SUP0007,WH0010,PRD0046,ocean,2026-05-21,2026-06-11,21,21,14588.02,301,Ramirez-Lewis,supplier,South Korea,Poland Warehouse 10,warehouse,Poland,FOOD-Health-46,Food & Beverage,0,False,48.465
SHP000101,SUP0036,WH0001,PRD0130,ocean,2024-09-12,2024-10-01,22,19,24488.46,474,Dennis Inc,supplier,South Korea,Germany Warehouse 1,warehouse,Germany,MACH-Small-130,Machinery,-3,False,51.663
SHP000102,SUP0016,WH0005,PRD0028,ocean,2026-02-09,2026-03-15,35,34,14097.15,163,"Sanchez, Ford and Nelson",supplier,Mexico,United Arab Emirates Warehouse 5,warehouse,United Arab Emirates,AUTO-Notice-28,Automotive Parts,-1,False,86.486
SHP000103,SUP0007,WH0001,PRD0077,ocean,2026-01-11,2026-01-30,22,19,19806.89,388,Ramirez-Lewis,supplier,South Korea,Germany Warehouse 1,warehouse,Germany,FURN-Bag-77,Furniture,-3,False,51.049
SHP000104,SUP0009,WH0006,PRD0130,road,2025-09-28,2025-09-29,1,1,1454.82,568,Munoz-Roman,supplier,United States,United States Warehouse 6,warehouse,United States,MACH-Small-130,Machinery,0,False,2.561
SHP000105,SUP0022,WH0004,PRD0051,ocean,2025-03-16,2025-03-19,7,3,676.1,69,Burgess-Patterson,supplier,Pakistan,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,AUTO-Shoulder-51,Automotive Parts,-4,False,9.799
SHP000106,SUP0027,WH0004,PRD0040,rail,2025-12-13,2025-12-21,10,8,5936.71,102,"Valencia, Smith and Le",supplier,Vietnam,United Arab Emirates Warehouse 4,warehouse,United Arab Emirates,FURN-Investment-40,Furniture,-2,False,58.203
SHP000107,SUP0037,WH0006,PRD0096,rail,2024-11-23,2024-11-25,1,2,693.19,230,"Cannon, Anderson and Alvarez",supplier,United States,United States Warehouse 6,warehouse,United States,CHEM-Mention-96,Chemicals,1,True,3.014
SHP000108,SUP0035,WH0006,PRD0042,air,2025-07-16,2025-07-20,4,4,131177.28,395,Allen PLC,supplier,Brazil,United States Warehouse 6,warehouse,United States,TEXT-Between-42,Textiles,0,False,332.094
SHP000109,SUP0034,WH0001,PRD0139,air,2025-07-30,2025-08-01,3,2,41330.03,142,Koch-Decker,supplier,India,Germany Warehouse 1,warehouse,Germany,FOOD-Nice-139,Food & Beverage,-1,False,291.057
SHP000110,SUP0018,WH0001,PRD0136,air,2026-07-28,2026-08-01,5,4,67679.67,149,Underwood LLC,supplier,Philippines,Germany Warehouse 1,warehouse,Germany,AUTO-Morning-136,Automotive Parts,-1,False,454.226
SHP000111,SUP0026,WH0002,PRD0001,ocean,2026-06-01,2026-06-20,21,19,10184.91,205,James-Ferrell,supplier,Egypt,Singapore Warehouse 2,warehouse,Singapore,MACH-Down-1,Machinery,-2,False,49.682
SHP000112,SUP0026,WH0009,PRD0083,rail,2025-03-14,2025-03-19,5,5,2634.74,88,James-Ferrell,supplier,Egypt,Germany Warehouse 9,warehouse,Germany,TEXT-Billion-83,Textiles,0,False,29.94
SHP000113,SUP0002,WH0009,PRD0126,road,2025-09-02,2025-09-03,1,1,587.69,241,Rhodes PLC,supplier,Germany,Germany Warehouse 9,warehouse,Germany,ELEC-Particularly-126,Electronics,0,False,2.439
SHP000114,SUP0019,WH0002,PRD0005,ocean,2025-01-11,2025-02-07,25,27,30907.15,511,Clark PLC,supplier,Germany,Singapore Warehouse 2,warehouse,Singapore,TEXT-Per-5,Textiles,2,True,60.484
SHP000115,SUP0039,WH0010,PRD0029,ocean,2026-06-28,2026-07-19,21,21,46528.93,946,"Campos, Vaughn and Marquez",supplier,South Korea,Poland Warehouse 10,warehouse,Poland,CHEM-Cause-29,Chemicals,0,False,49.185
SHP000116,SUP0028,WH0009,PRD0093,road,2026-05-28,2026-05-29,1,1,234.3,70,"Potter, Mack and Peterson",supplier,Germany,Germany Warehouse 9,warehouse,Germany,TEXT-Economic-93,Textiles,0,False,3.347
