edge_id,origin_node_id,dest_node_id,mode,avg_lead_time_days,avg_cost_per_unit,capacity,origin_name,origin_type,origin_country,origin_lat,origin_lon,dest_name,dest_type,dest_country,dest_lat,dest_lon
EDGE00035,DC0001,CUST0017,air,5.8,602.765,658,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United States Region 17,customer_region,United States,38.5056,-98.3238
EDGE00036,DC0001,CUST0017,ocean,31.6,80.369,533,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United States Region 17,customer_region,United States,38.5056,-98.3238
EDGE00037,DC0001,CUST0018,air,2.1,283.771,722,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 18,customer_region,Italy,39.7155,14.3832
EDGE00038,DC0001,CUST0018,ocean,16.8,37.836,518,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 18,customer_region,Italy,39.7155,14.3832
EDGE00039,DC0001,CUST0019,air,3.0,279.506,474,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 19,customer_region,Italy,39.3173,15.4913
EDGE00040,DC0001,CUST0019,ocean,16.6,37.267,395,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 19,customer_region,Italy,39.3173,15.4913
EDGE00041,DC0001,CUST0020,air,2.0,305.268,580,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Germany Region 20,customer_region,Germany,52.7935,8.6423
EDGE00042,DC0001,CUST0020,ocean,17.6,40.702,568,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Germany Region 20,customer_region,Germany,52.7935,8.6423
EDGE00043,DC0001,CUST0021,air,3.3,347.996,590,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 21,customer_region,Spain,37.4931,-1.8572
EDGE00044,DC0001,CUST0021,ocean,20.5,46.399,497,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Spain Region 21,customer_region,Spain,37.4931,-1.8572
EDGE00045,DC0001,CUST0022,air,4.8,508.717,304,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Canada Region 22,customer_region,Canada,57.3711,-104.976
EDGE00046,DC0001,CUST0022,ocean,27.6,67.829,399,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Canada Region 22,customer_region,Canada,57.3711,-104.976
EDGE00047,DC0001,CUST0023,air,3.5,342.426,555,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Australia Region 23,customer_region,Australia,-23.6424,131.2243
EDGE00048,DC0001,CUST0023,ocean,19.1,45.657,525,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Australia Region 23,customer_region,Australia,-23.6424,131.2243
EDGE00049,DC0001,CUST0024,air,2.0,262.395,559,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00050,DC0001,CUST0024,ocean,15.8,34.986,522,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00051,DC0001,CUST0024,rail,9.9,58.31,292,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00052,DC0001,CUST0025,air,3.0,297.837,739,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Germany Region 25,customer_region,Germany,53.3386,11.1898
EDGE00053,DC0001,CUST0025,ocean,17.3,39.712,684,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Germany Region 25,customer_region,Germany,53.3386,11.1898
EDGE00054,DC0001,CUST0026,air,3.4,336.392,323,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 26,customer_region,France,45.2154,-0.4086
EDGE00055,DC0001,CUST0026,ocean,18.6,44.852,480,India Distribution Center 1,distribution_center,India,20.9256,77.8785,France Region 26,customer_region,France,45.2154,-0.4086
EDGE00056,DC0001,CUST0027,air,2.5,294.6,663,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 27,customer_region,Italy,40.7359,11.5211
EDGE00057,DC0001,CUST0027,ocean,16.4,39.28,569,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Italy Region 27,customer_region,Italy,40.7359,11.5211
EDGE00058,DC0001,CUST0028,air,3.7,355.78,409,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Australia Region 28,customer_region,Australia,-23.8924,134.6053
EDGE00059,DC0001,CUST0028,ocean,20.3,47.437,434,India Distribution Center 1,distribution_center,India,20.9256,77.8785,Australia Region 28,customer_region,Australia,-23.8924,134.6053
EDGE00060,DC0001,CUST0029,air,3.5,339.889,499,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United Kingdom Region 29,customer_region,United Kingdom,57.7033,-3.6067
EDGE00061,DC0001,CUST0029,ocean,20.1,45.319,674,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United Kingdom Region 29,customer_region,United Kingdom,57.7033,-3.6067
EDGE00062,DC0001,CUST0030,air,3.7,337.775,462,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United Kingdom Region 30,customer_region,United Kingdom,53.0976,-2.1605
EDGE00063,DC0001,CUST0030,ocean,19.0,45.037,649,India Distribution Center 1,distribution_center,India,20.9256,77.8785,United Kingdom Region 30,customer_region,United Kingdom,53.0976,-2.1605
EDGE00064,DC0002,CUST0001,air,3.4,401.322,415,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00065,DC0002,CUST0001,ocean,23.0,53.51,650,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00066,DC0002,CUST0002,air,1.5,157.809,471,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 2,customer_region,India,23.3838,80.8104
EDGE00067,DC0002,CUST0002,ocean,11.0,21.041,350,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 2,customer_region,India,23.3838,80.8104
EDGE00068,DC0002,CUST0002,rail,4.8,35.069,407,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 2,customer_region,India,23.3838,80.8104
EDGE00069,DC0002,CUST0003,air,5.8,673.928,538,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00070,DC0002,CUST0003,ocean,35.2,89.857,357,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00071,DC0002,CUST0004,air,3.2,412.27,437,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00072,DC0002,CUST0004,ocean,22.6,54.969,407,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00073,DC0002,CUST0005,air,4.8,488.139,764,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 5,customer_region,France,43.9622,2.1811
EDGE00074,DC0002,CUST0005,ocean,26.4,65.085,719,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 5,customer_region,France,43.9622,2.1811
EDGE00075,DC0002,CUST0006,air,4.5,506.104,437,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00076,DC0002,CUST0006,ocean,28.0,67.481,642,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00077,DC0002,CUST0007,air,2.4,206.177,517,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00078,DC0002,CUST0007,ocean,11.9,27.49,467,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00079,DC0002,CUST0007,rail,8.3,45.817,289,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00080,DC0002,CUST0008,air,4.3,513.558,600,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00081,DC0002,CUST0008,ocean,27.2,68.474,551,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00082,DC0002,CUST0009,air,3.6,419.241,442,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00083,DC0002,CUST0009,ocean,21.9,55.899,644,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00084,DC0002,CUST0010,ocean,30.4,77.633,386,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Canada Region 10,customer_region,Canada,58.9475,-104.6992
EDGE00085,DC0002,CUST0011,air,4.3,476.618,557,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 11,customer_region,France,48.867,4.579
EDGE00086,DC0002,CUST0011,ocean,25.6,63.549,419,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 11,customer_region,France,48.867,4.579
EDGE00087,DC0002,CUST0012,air,6.7,751.325,291,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Brazil Region 12,customer_region,Brazil,-13.6526,-49.3988
EDGE00088,DC0002,CUST0012,ocean,39.7,100.177,570,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Brazil Region 12,customer_region,Brazil,-13.6526,-49.3988
EDGE00089,DC0002,CUST0013,air,1.6,155.754,376,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 13,customer_region,India,18.121,77.1359
EDGE00090,DC0002,CUST0013,ocean,10.3,20.767,643,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 13,customer_region,India,18.121,77.1359
EDGE00091,DC0002,CUST0013,rail,5.4,34.612,607,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,India Region 13,customer_region,India,18.121,77.1359
EDGE00092,DC0002,CUST0014,air,2.4,227.937,827,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00093,DC0002,CUST0014,ocean,13.7,30.392,618,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00094,DC0002,CUST0014,rail,8.8,50.653,589,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 14,customer_region,Japan,33.4714,137.202
EDGE00095,DC0002,CUST0015,air,5.0,456.305,383,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 15,customer_region,Italy,41.2021,11.1981
EDGE00096,DC0002,CUST0015,ocean,24.9,60.841,336,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 15,customer_region,Italy,41.2021,11.1981
EDGE00097,DC0002,CUST0016,air,4.3,473.682,326,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Netherlands Region 16,customer_region,Netherlands,54.1024,4.4305
EDGE00098,DC0002,CUST0016,ocean,24.4,63.158,392,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Netherlands Region 16,customer_region,Netherlands,54.1024,4.4305
EDGE00099,DC0002,CUST0017,air,5.3,680.341,532,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United States Region 17,customer_region,United States,38.5056,-98.3238
EDGE00100,DC0002,CUST0017,ocean,35.1,90.712,742,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United States Region 17,customer_region,United States,38.5056,-98.3238
EDGE00101,DC0002,CUST0018,air,3.0,444.306,280,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 18,customer_region,Italy,39.7155,14.3832
EDGE00102,DC0002,CUST0018,ocean,24.4,59.241,580,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 18,customer_region,Italy,39.7155,14.3832
EDGE00103,DC0002,CUST0019,air,3.3,440.015,321,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 19,customer_region,Italy,39.3173,15.4913
EDGE00104,DC0002,CUST0019,ocean,24.3,58.669,456,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 19,customer_region,Italy,39.3173,15.4913
EDGE00105,DC0002,CUST0020,air,4.3,461.883,194,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Germany Region 20,customer_region,Germany,52.7935,8.6423
EDGE00106,DC0002,CUST0020,ocean,25.7,61.584,274,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Germany Region 20,customer_region,Germany,52.7935,8.6423
EDGE00107,DC0002,CUST0021,air,4.8,508.452,524,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 21,customer_region,Spain,37.4931,-1.8572
EDGE00108,DC0002,CUST0021,ocean,27.0,67.794,489,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Spain Region 21,customer_region,Spain,37.4931,-1.8572
EDGE00109,DC0002,CUST0022,air,5.7,588.545,409,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Canada Region 22,customer_region,Canada,57.3711,-104.976
EDGE00110,DC0002,CUST0022,ocean,31.1,78.473,498,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Canada Region 22,customer_region,Canada,57.3711,-104.976
EDGE00111,DC0002,CUST0023,air,1.4,182.015,331,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 23,customer_region,Australia,-23.6424,131.2243
EDGE00112,DC0002,CUST0023,ocean,11.9,24.269,313,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 23,customer_region,Australia,-23.6424,131.2243
EDGE00113,DC0002,CUST0023,rail,6.4,40.448,689,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 23,customer_region,Australia,-23.6424,131.2243
EDGE00114,DC0002,CUST0024,air,2.4,230.049,398,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00115,DC0002,CUST0024,ocean,13.8,30.673,442,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00116,DC0002,CUST0024,rail,8.2,51.122,289,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Japan Region 24,customer_region,Japan,35.3508,135.9452
EDGE00117,DC0002,CUST0025,air,4.4,454.082,434,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Germany Region 25,customer_region,Germany,53.3386,11.1898
EDGE00118,DC0002,CUST0025,ocean,24.3,60.544,425,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Germany Region 25,customer_region,Germany,53.3386,11.1898
EDGE00119,DC0002,CUST0026,air,4.6,496.221,328,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 26,customer_region,France,45.2154,-0.4086
EDGE00120,DC0002,CUST0026,ocean,26.1,66.163,404,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,France Region 26,customer_region,France,45.2154,-0.4086
EDGE00121,DC0002,CUST0027,air,4.3,455.162,522,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 27,customer_region,Italy,40.7359,11.5211
EDGE00122,DC0002,CUST0027,ocean,24.7,60.688,441,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Italy Region 27,customer_region,Italy,40.7359,11.5211
EDGE00123,DC0002,CUST0028,air,2.8,195.222,371,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 28,customer_region,Australia,-23.8924,134.6053
EDGE00124,DC0002,CUST0028,ocean,12.5,26.03,472,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 28,customer_region,Australia,-23.8924,134.6053
EDGE00125,DC0002,CUST0028,rail,8.1,43.383,694,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,Australia Region 28,customer_region,Australia,-23.8924,134.6053
EDGE00126,DC0002,CUST0029,air,4.5,492.265,272,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United Kingdom Region 29,customer_region,United Kingdom,57.7033,-3.6067
EDGE00127,DC0002,CUST0029,ocean,26.5,65.635,452,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United Kingdom Region 29,customer_region,United Kingdom,57.7033,-3.6067
EDGE00128,DC0002,CUST0030,air,3.9,493.831,453,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United Kingdom Region 30,customer_region,United Kingdom,53.0976,-2.1605
EDGE00129,DC0002,CUST0030,ocean,27.0,65.844,637,Singapore Distribution Center 2,distribution_center,Singapore,0.7264,103.4191,United Kingdom Region 30,customer_region,United Kingdom,53.0976,-2.1605
EDGE00130,DC0003,CUST0001,air,3.1,407.913,908,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00131,DC0003,CUST0001,ocean,22.3,54.388,613,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 1,customer_region,South Africa,-33.1697,25.6333
EDGE00132,DC0003,CUST0002,air,1.3,160.342,399,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,India Region 2,customer_region,India,23.3838,80.8104
EDGE00133,DC0003,CUST0002,ocean,10.2,21.379,354,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,India Region 2,customer_region,India,23.3838,80.8104
EDGE00134,DC0003,CUST0002,rail,5.4,35.632,657,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,India Region 2,customer_region,India,23.3838,80.8104
EDGE00135,DC0003,CUST0003,air,5.5,668.847,452,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00136,DC0003,CUST0003,ocean,35.8,89.18,588,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,United States Region 3,customer_region,United States,38.6477,-100.994
EDGE00137,DC0003,CUST0004,air,3.4,418.947,552,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00138,DC0003,CUST0004,ocean,22.5,55.86,513,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 4,customer_region,South Africa,-29.4546,22.5809
EDGE00139,DC0003,CUST0005,air,4.3,490.878,500,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,France Region 5,customer_region,France,43.9622,2.1811
EDGE00140,DC0003,CUST0005,ocean,26.2,65.45,503,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,France Region 5,customer_region,France,43.9622,2.1811
EDGE00141,DC0003,CUST0006,air,4.7,509.457,333,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00142,DC0003,CUST0006,ocean,26.9,67.928,587,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Spain Region 6,customer_region,Spain,37.6663,-1.2941
EDGE00143,DC0003,CUST0007,air,2.7,200.765,589,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00144,DC0003,CUST0007,ocean,12.7,26.769,673,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00145,DC0003,CUST0007,rail,8.0,44.614,335,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Korea Region 7,customer_region,South Korea,34.4627,128.7451
EDGE00146,DC0003,CUST0008,air,4.2,516.701,453,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00147,DC0003,CUST0008,ocean,27.4,68.894,454,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Spain Region 8,customer_region,Spain,39.3303,-3.6296
EDGE00148,DC0003,CUST0009,air,3.6,425.905,305,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00149,DC0003,CUST0009,ocean,23.5,56.787,566,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,South Africa Region 9,customer_region,South Africa,-30.2797,21.0491
EDGE00150,DC0003,CUST0010,air,4.3,578.151,476,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Canada Region 10,customer_region,Canada,58.9475,-104.6992
EDGE00151,DC0003,CUST0010,ocean,30.1,77.087,680,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,Canada Region 10,customer_region,Canada,58.9475,-104.6992
EDGE00152,DC0003,CUST0011,air,4.3,478.849,272,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,France Region 11,customer_region,France,48.867,4.579
EDGE00153,DC0003,CUST0011,ocean,26.4,63.847,535,Singapore Distribution Center 3,distribution_center,Singapore,1.2182,104.6755,France Region 11,customer_region,France,48.867,4.579
